# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610030E20Rik	peak_793 (-872)
Aldh5a1	peak_232 (+449)
Alg3	peak_350 (+20004)
Alkal1	peak_2 (-68)
Alox15	peak_148 (+396)
Alox5	peak_813 (+543)
Alox8	peak_147 (+570)
Amdhd1	peak_113 (+5076)
Ampd3	peak_895 (-3706)
Ank1	peak_915 (+83670)
Ank2	peak_613 (-90105)
Ankef1	peak_541 (-101)
Ankrd29	peak_427 (-581)
Ankrd33b	peak_310 (+432), peak_309 (+141874)
Ankrd34b	peak_265 (+629)
Ankrd37	peak_928 (+90)
Ankrd53	peak_795 (+409)
Anks1	peak_389 (+166368)
Anks6	peak_643 (+502)
Ano5	peak_858 (-190)
Antxr1	peak_798 (+463)
Antxr2	peak_737 (-867)
Aoah	peak_225 (-702072)
Ap2m1	peak_349 (-3930)
Apbb1	peak_890 (+103)
Aph1b	peak_995 (+335)
Aptx	peak_634 (+229489)
Aqp11	peak_878 (+988)
Arap1	peak_882 (+25389)
Areg	peak_733 (+65)
Arg1	peak_86 (-271717)
Arhgap10	peak_940 (+617087)
Arhgap29	peak_609 (+810)
Arhgef10	peak_912 (+196)
Arhgef37	peak_451 (+18)
Arhgef9	peak_1034 (+137)
Armc2	peak_91 (+132657)
Armt1	peak_70 (+51027)
Arsb	peak_268 (+359)
Art1	peak_885 (+11493)
Art2b	peak_883 (+129597)
Art5	peak_884 (+5772)
As3mt	peak_488 (+947)
Asah2	peak_475 (-46663)
Aspdh	peak_854 (-3487)
Atg5	peak_93 (-119247)
Atoh1	peak_790 (+739)
Atoh7	peak_102 (-183)
Atp10a	peak_860 (+326)
Atp2b2	peak_809 (-107486)
Atp4a	peak_844 (+5198)
Atp6v0a1	peak_172 (+54688)
Atp6v1b1	peak_794 (-29082)
Atp8a2	peak_294 (+296)
Atp8b3	peak_107 (+364)
Atp8b5	peak_638 (-206595)
B3gat1	peak_970 (+306), peak_971 (+22211)
B9d2	peak_842 (-525)
BC048403	peak_117 (-98035)
BC051142	peak_398 (+700)
Bag2	peak_13 (+605)
Batf3	peak_67 (-261)
Bcl11a	peak_125 (+1712)
Bcl2l14	peak_825 (+19113)
Bcl3	peak_837 (-29039)
Bdp1	peak_271 (-4266)
Begain	peak_216 (-1126)
Bfsp1	peak_542 (+641)
Bhmt2	peak_267 (-107)
Bicd1	peak_829 (+216), peak_830 (+157273)
Bicdl2	peak_383 (+406)
Blk	peak_296 (+165619)
Bmp8b	peak_680 (+246)
Brdt	peak_744 (+109)
Btbd11	peak_111 (+211799)
Btn1a1	peak_230 (+371)
C130060K24Rik	peak_791 (+223)
C2cd4a	peak_996 (+1162)
C2cd4b	peak_996 (+71731)
C4b	peak_399 (+71513)
Cabyr	peak_429 (+17)
Cacna1c	peak_817 (+26)
Cacnb2	peak_498 (-110)
Cacnb4	peak_510 (-124)
Cand1	peak_116 (-213503)
Car13	peak_565 (+267)
Cartpt	peak_270 (+118)
Casp8	peak_26 (+392)
Casr	peak_362 (+734)
Catsperg1	peak_843 (+2178)
Ccdc105	peak_105 (+547)
Ccdc113	peak_953 (-832)
Ccdc114	peak_856 (-4747)
Ccdc125	peak_273 (-921)
Ccdc136	peak_775 (+6553)
Ccdc149	peak_723 (-2315)
Ccdc150	peak_25 (+368)
Ccdc158	peak_736 (-800)
Ccdc170	peak_70 (-26378)
Ccdc182	peak_164 (+533)
Ccdc83	peak_875 (-37030)
Ccdc89	peak_876 (+135)
Cckbr	peak_888 (-179)
Ccm2l	peak_550 (+6082)
Cd1d1	peak_584 (+135)
Cd302	peak_512 (-119)
Cd38	peak_720 (+634)
Cd83	peak_244 (-83)
Cdc20b	peak_276 (-1403)
Cdh22	peak_559 (+204)
Cdhr5	peak_910 (-1501)
Cdkl1	peak_195 (-269)
Cdkl4	peak_421 (-12420)
Cdkn2a	peak_660 (-14642), peak_659 (+19528)
Cdkn2b	peak_660 (+1737)
Cdx4	peak_1040 (+363)
Ceacam16	peak_837 (+9490)
Cebpa	peak_846 (-445)
Celf4	peak_433 (+74007)
Celf6	peak_991 (+248)
Cfap100	peak_800 (-46)
Cfap221	peak_44 (-10)
Cfap44	peak_365 (+600)
Cfap69	peak_704 (+90124)
Cfap70	peak_280 (-259)
Cfap73	peak_752 (+2858)
Ch25h	peak_477 (-122)
Chdh	peak_282 (+344647)
Chgb	peak_537 (-411)
Chn1	peak_519 (+189825)
Chrdl1	peak_1057 (-124330)
Chrna1	peak_519 (-5183)
Chrna10	peak_885 (+3477)
Chrna3	peak_988 (+479)
Chst11	peak_109 (+203)
Chst5	peak_961 (+820)
Chst9	peak_430 (-41855)
Chtop	peak_589 (-4493)
Cinp	peak_217 (+33771)
Cklf	peak_954 (-2376)
Cldn10	peak_304 (-46)
Cldn23	peak_921 (+45)
Clic6	peak_370 (+284)
Clstn3	peak_821 (-136)
Clvs1	peak_627 (+134)
Cmpk2	peak_187 (+238)
Cmtm5	peak_289 (-1285)
Cmtm8	peak_1021 (+537)
Cnfn	peak_841 (+2690)
Cnih3	peak_64 (+217)
Cnnm1	peak_485 (-280)
Cnrip1	peak_123 (+135)
Cntnap3	peak_253 (-24)
Coch	peak_191 (+277)
Col13a1	peak_100 (+458)
Col14a1	peak_319 (+579)
Col1a1	peak_166 (+1002)
Col1a2	peak_765 (-45)
Col23a1	peak_138 (+613)
Col25a1	peak_614 (+301)
Col27a1	peak_655 (-456)
Col8a2	peak_684 (+1434)
Colec12	peak_424 (+112)
Copz1	peak_342 (+33399)
Coq2	peak_742 (+104515)
Coq8a	peak_63 (-54401), peak_62 (+938)
Cox4i2	peak_547 (-1150)
Cpn1	peak_487 (+108)
Cpne2	peak_950 (-408)
Cpne3	peak_629 (-4974)
Cpne8	peak_331 (+75)
Cpq	peak_311 (+138)
Cr2	peak_69 (+109)
Crabp1	peak_987 (+340)
Cracr2a	peak_822 (-16703), peak_823 (+190432)
Crb2	peak_507 (-4441)
Crtam	peak_978 (-152325)
Cryba2	peak_32 (+477)
Crybb2	peak_750 (-6087)
Crybb3	peak_750 (+4906)
Crybg1	peak_93 (-144742), peak_92 (-921)
Crygc	peak_28 (-142)
Crygs	peak_354 (+5061)
Csf1	peak_602 (+983)
Cst6	peak_462 (+249)
Cthrc1	peak_316 (-142)
Ctsb	peak_295 (+46279)
Ctsg	peak_290 (-13168)
Ctsh	peak_1009 (+388)
Ctso	peak_580 (+238)
Ctxn2	peak_534 (-179)
Cwh43	peak_728 (+25)
Cx3cl1	peak_952 (+40)
Cxcl10	peak_734 (-43697)
Cxxc4	peak_618 (+1645)
Cyb5a	peak_458 (-12622)
Cyp1a1	peak_990 (+8865)
Cyp24a1	peak_561 (+505)
Cyp2d22	peak_326 (+534)
Cyp2j9	peak_662 (+120)
Cyp2r1	peak_896 (-192)
Cyp2u1	peak_615 (+115)
Cyp46a1	peak_214 (+222)
Cyp4v3	peak_926 (+72)
Cyp4x1	peak_675 (-176)
Cyp7b1	peak_566 (-60)
Cyth1	peak_180 (+10430)
D430041D05Rik	peak_526 (+101)
Dab1	peak_669 (-747372)
Dab2ip	peak_505 (-40381)
Dap	peak_309 (+1538)
Dazl	peak_409 (-350)
Dbndd2	peak_558 (-717)
Dcdc2a	peak_233 (-646)
Dchs1	peak_892 (+53)
Dclk2	peak_583 (+1441)
Dcp1a	peak_282 (-125942)
Ddx54	peak_752 (+18638)
Ddx60	peak_933 (-254)
Degs2	peak_215 (-418)
Dennd2d	peak_600 (-3401)
Derl3	peak_104 (-440)
Des	peak_34 (-184)
Dfna5	peak_783 (+2179)
Dgkg	peak_354 (-149176), peak_353 (+698)
Dhx36	peak_575 (-96735)
Dio2	peak_206 (+925592)
Dixdc1	peak_983 (-12051)
Dlc1	peak_922 (+219861)
Dlg3	peak_1036 (+117)
Dlk2	peak_407 (+68)
Dmgdh	peak_267 (-24)
Dmpk	peak_836 (+3339)
Dmrta1	peak_661 (+267)
Dnah1	peak_283 (-197)
Dnah11	peak_220 (+304)
Dnah17	peak_180 (-73093)
Dnah7a	peak_24 (+31)
Dnah7b	peak_20 (+633)
Dnah7c	peak_21 (-102)
Dnaic2	peak_178 (+453)
Dnajc6	peak_666 (-54194), peak_667 (-41745)
Dnhd1	peak_891 (+127)
Dok5	peak_562 (+24)
Dok7	peak_716 (+613)
Dpp6	peak_711 (-231263), peak_712 (+387), peak_713 (+212288)
Dpy19l2	peak_969 (-52)
Dram1	peak_112 (+369)
Drd5	peak_719 (-149)
Dsc2	peak_431 (+384)
Dtna	peak_432 (-104732)
Duox1	peak_532 (-1668)
Duoxa1	peak_532 (-311)
Dusp10	peak_65 (-424)
Dusp15	peak_548 (-11)
Dysf	peak_796 (+51)
Dzip1l	peak_1015 (+237)
Eci3	peak_240 (-641)
Edc3	peak_990 (-11747)
Edil3	peak_263 (+1099)
Ednra	peak_941 (+188)
Efcc1	peak_799 (+681)
Efemp1	peak_126 (+582)
Efhc1	peak_10 (+1430)
Efna1	peak_588 (-149)
Egflam	peak_306 (-346)
Egfr	peak_122 (+454)
Egln3	peak_192 (+873)
Ei24	peak_975 (-24452)
Eif4e3	peak_804 (+49)
Elavl4	peak_674 (-64458)
Elf4	peak_1028 (-9663)
Elfn2	peak_324 (-1325)
Elmo1	peak_225 (+1422)
Elmod1	peak_985 (+417)
Elovl2	peak_242 (+519)
Emilin3	peak_556 (+337)
Emp2	peak_346 (+517)
Emp3	peak_856 (-2800)
Enho	peak_635 (+805)
Enpp2	peak_318 (+5678)
Enpp6	peak_929 (+301491)
Epb41l3	peak_416 (+486)
Ephx4	peak_745 (+653)
Epm2a	peak_75 (-725)
Eps8l1	peak_831 (+6521)
Erich2	peak_517 (+171)
Erich5	peak_314 (+381)
Erich6	peak_572 (+850)
Ern2	peak_901 (-4715)
Esr2	peak_200 (+357324)
Esx1	peak_1050 (+771)
Etfb	peak_853 (-181)
Ets1	peak_974 (+192)
Exph5	peak_984 (+303)
Fa2h	peak_960 (+549)
Faim2	peak_338 (+180)
Fam107a	peak_278 (-7855)
Fam159b	peak_274 (-79)
Fam160b1	peak_490 (-46331)
Fam163a	peak_55 (+1196)
Fam163b	peak_501 (+572)
Fam171b	peak_523 (+350)
Fam174b	peak_866 (+698)
Fam184b	peak_722 (+119)
Fam189a1	peak_863 (+627)
Fam213a	peak_287 (+65769)
Fam214b	peak_637 (-5528)
Fam46a	peak_1004 (+124)
Fam46c	peak_595 (+267)
Fam46d	peak_1045 (-535)
Fam69a	peak_747 (-73376)
Fam69c	peak_457 (-31), peak_458 (+118474)
Fam81b	peak_262 (-79507)
Fam83b	peak_1002 (+80)
Fam84a	peak_184 (+1460)
Faxc	peak_631 (+125)
Fbln5	peak_211 (+123)
Fbn2	peak_449 (-273)
Fbp1	peak_252 (+209)
Fbxl21	peak_251 (+67)
Fbxo39	peak_154 (-701)
Fdft1	peak_295 (+10837)
Ferd3l	peak_188 (+264)
Fermt1	peak_538 (+367)
Fez1	peak_975 (-10959)
Fgd2	peak_390 (-5152)
Fgf16	peak_1043 (+274)
Fgf5	peak_738 (-68352)
Fhl2	peak_18 (-196)
Fibin	peak_527 (+368)
Fkbp6	peak_755 (-3396)
Flnc	peak_775 (-30038)
Fmn1	peak_528 (-431)
Fmo5	peak_594 (+109)
Fndc5	peak_688 (-352)
Foxi2	peak_908 (+821)
Foxr1	peak_980 (+293)
Frmd3	peak_657 (+405)
Frmpd3	peak_1054 (+80)
Frmpd4	peak_1067 (+453764)
Frrs1l	peak_648 (-113)
Fsip1	peak_529 (+185)
Fuca2	peak_79 (+177)
Fxyd4	peak_814 (-74395)
Fxyd6	peak_982 (+378)
Fxyd7	peak_845 (-866)
Fyb2	peak_670 (+234)
Galm	peak_420 (+723)
Galnt13	peak_511 (+368)
Galnt9	peak_749 (+587)
Gas2	peak_859 (+263)
Gas2l2	peak_162 (+1036)
Gata4	peak_296 (-6147)
Gata6	peak_426 (-1086)
Gatm	peak_533 (+103)
Gbp7	peak_621 (+377)
Gcc1	peak_773 (+23749)
Gcc2	peak_98 (+115720)
Gch1	peak_288 (+985)
Gchfr	peak_530 (-92)
Gcm2	peak_241 (+31211)
Gcnt4	peak_269 (+111)
Gcsam	peak_366 (+43662)
Gda	peak_469 (+452)
Gdap1	peak_9 (+308)
Gdpd4	peak_879 (+191449)
Gemin8	peak_1066 (+68950)
Gfra3	peak_436 (-146)
Ggta1	peak_505 (-120207)
Gimap5	peak_780 (-3463)
Gja3	peak_291 (+377)
Gja4	peak_686 (+880)
Gjb2	peak_292 (+70)
Gjb6	peak_293 (-267)
Glb1l2	peak_972 (-139), peak_971 (+50493)
Gldn	peak_986 (-320)
Glis3	peak_471 (+755)
Glra1	peak_141 (+47)
Glrb	peak_579 (+208)
Gltpd2	peak_149 (+958)
Gm10036	peak_430 (-72893)
Gm10065	peak_228 (+336)
Gm10139	peak_254 (-160445)
Gm10160	peak_870 (-3572)
Gm10283	peak_932 (-3206)
Gm10647	peak_995 (-1884)
Gm10944	peak_74 (+399690)
Gm11127	peak_401 (-52462)
Gm15091	peak_1058 (+499930)
Gm15821	peak_395 (+8966)
Gm1661	peak_678 (+71)
Gm1673	peak_715 (-11)
Gm17087	peak_376 (+41510)
Gm19410	peak_920 (-176537)
Gm20425	peak_1017 (+156)
Gm20441	peak_103 (+233)
Gm20696	peak_804 (+75)
Gm266	peak_218 (-260)
Gm35911	peak_741 (+320)
Gm45233	peak_853 (-226)
Gm45837	peak_882 (-37430)
Gm4952	peak_466 (-3529)
Gm5114	peak_849 (-74690)
Gm5294	peak_759 (-1)
Gm7030	peak_401 (+18592)
Gm7276	peak_454 (+263)
Gm7361	peak_711 (+560245)
Gm8888	peak_335 (-285453)
Gm9805	peak_382 (-15156)
Gmnc	peak_356 (+21951)
Gnal	peak_452 (-270)
Gng10	peak_653 (+348)
Gng11	peak_764 (+386)
Got1l1	peak_919 (-4248)
Gp5	peak_358 (+1745)
Gpatch1	peak_848 (+48552)
Gpc5	peak_302 (-47)
Gpc6	peak_303 (+1128)
Gpm6b	peak_1066 (-105247)
Gpnmb	peak_781 (+261)
Gpr139	peak_897 (+195)
Gpr143	peak_1060 (-393)
Gpr149	peak_575 (+1401)
Gpr155	peak_518 (+225)
Gpr6	peak_90 (+938)
Gpr65	peak_208 (+306173)
Gpr68	peak_209 (+9459)
Gpr75	peak_128 (+16)
Gpr84	peak_342 (+4128)
Gpr88	peak_605 (+1711)
Gprin3	peak_789 (-162)
Greb1l	peak_425 (+372)
Gria4	peak_964 (+357)
Grid1	peak_285 (+450)
Grin2b	peak_827 (+344)
Grin2d	peak_855 (+5026)
Grip1	peak_116 (-365954)
Grm1	peak_74 (+1318)
Grm4	peak_386 (+320)
Grwd1	peak_855 (-31159)
Gsap	peak_709 (+193)
Gsn	peak_504 (-25284)
Gstt3	peak_103 (+693)
Gtpbp10	peak_704 (-14577)
Gucy1a3	peak_581 (-63)
Gypc	peak_435 (-132)
Gzme	peak_290 (+4883)
H2-Ab1	peak_396 (+947)
H2-Eb1	peak_397 (+3907)
H2-Eb2	peak_397 (-15881)
H2-T23	peak_400 (+786)
H2-T3	peak_402 (-632)
Haao	peak_422 (-3753)
Hal	peak_113 (+46189)
Hapln1	peak_263 (-717186)
Hbq1a	peak_131 (+336)
Hbq1b	peak_130 (+275)
Hck	peak_550 (-36384)
Hdgfl3	peak_871 (+385)
Heatr4	peak_204 (-3565)
Hebp2	peak_81 (+30)
Hecw1	peak_224 (+684)
Heg1	peak_361 (+1004)
Heyl	peak_681 (-273), peak_682 (+5613)
Hfe	peak_231 (+69)
Hfm1	peak_743 (-306)
Hhat	peak_68 (+53)
Hhipl1	peak_213 (+457)
Hif3a	peak_835 (-163)
Hils1	peak_166 (-30367)
Hlx	peak_66 (-77260)
Hmcn1	peak_52 (-32)
Hmgcll1	peak_1001 (-80)
Hmgn3	peak_1003 (+441)
Hnrnpa2b1	peak_784 (+35997)
Hopx	peak_730 (-132)
Hormad2	peak_120 (+5)
Hoxc8	peak_341 (+935)
Hpgd	peak_931 (-193)
Hrasls	peak_357 (-46)
Hrasls5	peak_463 (+201)
Hrh2	peak_248 (+302)
Hs3st2	peak_900 (+401)
Hsd11b2	peak_957 (-1839)
Hsdl2	peak_654 (-584)
Htr1d	peak_696 (+858)
Htr6	peak_701 (+666)
Hydin	peak_959 (+60)
Ica1	peak_768 (+805)
Ica1l	peak_27 (+108)
Ido1	peak_916 (+1229)
Ido2	peak_916 (-19447)
Ifi47	peak_136 (+11844)
Ifih1	peak_515 (+68)
Ifnlr1	peak_694 (-634)
Igdcc3	peak_994 (+67670)
Igfbp7	peak_731 (-233)
Igfbpl1	peak_639 (-97)
Igfn1	peak_51 (-1074)
Igsf10	peak_574 (+312)
Igsf11	peak_363 (+533)
Igsf8	peak_60 (+13681)
Ikzf2	peak_30 (-2042)
Ikzf3	peak_169 (-243)
Il12a	peak_576 (-116851)
Il12rb1	peak_939 (-10657)
Il13ra1	peak_1026 (+127)
Il15ra	peak_495 (-200)
Il1r1	peak_17 (+41931)
Il1rap	peak_355 (+13), peak_356 (+386319)
Il1rl2	peak_17 (-57679)
Il20ra	peak_83 (+172)
Il22ra1	peak_695 (-737)
Il27ra	peak_944 (-747)
Il33	peak_473 (+2796)
Il7	peak_564 (+802)
Inpp1	peak_23 (-243)
Inpp4b	peak_942 (-240)
Ints4	peak_877 (-27292)
Ipo9	peak_50 (-153555)
Iqsec3	peak_819 (+312)
Irak4	peak_334 (+316)
Irf4	peak_237 (+917)
Itga4	peak_522 (-328)
Itgb3	peak_174 (+470)
Itpka	peak_531 (+16481)
Iws1	peak_434 (+66022)
Jph3	peak_962 (-52)
Kank4	peak_664 (-181)
Kantr	peak_1059 (-9267)
Kcnb2	peak_7 (-24821)
Kcne3	peak_881 (+2306)
Kcnf1	peak_186 (+743)
Kcng2	peak_455 (+584)
Kcnh8	peak_411 (-921)
Kcnj9	peak_60 (+3270)
Kcnk1	peak_963 (+144415)
Kcnk10	peak_208 (+3502)
Kcnn2	peak_446 (+36)
Kcnq1	peak_911 (+305)
Kctd10	peak_751 (+23104)
Kctd14	peak_877 (+2341)
Kctd19	peak_956 (-451), peak_955 (+34343)
Khdc3	peak_998 (+1769)
Klhdc1	peak_194 (+456)
Klhdc8a	peak_48 (-127)
Klhl32	peak_632 (+533)
Klhl40	peak_1024 (+255)
Krtap31-2	peak_171 (-4007)
L1cam	peak_1033 (-50)
L3mbtl1	peak_557 (+408)
Lama3	peak_428 (+326)
Lamc2	peak_53 (-549)
Lamc3	peak_502 (-4)
Larp6	peak_992 (+1468)
Larp7	peak_613 (+54185)
Ldlrad2	peak_698 (-3671)
Lhpp	peak_907 (+224)
Limk2	peak_118 (+56072)
Lims1	peak_98 (-23156)
Lin7a	peak_115 (+623)
Lingo1	peak_989 (+313)
Lipo3	peak_476 (+423)
Lor	peak_590 (+2239)
Loxl4	peak_483 (-374)
Lpar3	peak_623 (+10)
Lpcat2	peak_948 (+593)
Lpl	peak_937 (+587)
Lrmda	peak_281 (+413)
Lrp3	peak_848 (-54390)
Lrp6	peak_825 (+151482)
Lrrc10b	peak_464 (+152)
Lrrc15	peak_358 (-25778)
Lrrc36	peak_956 (+331)
Lrrd1	peak_703 (+467)
Lrrk1	peak_864 (-175)
Lrrk2	peak_333 (+159)
Lrrn1	peak_806 (+344)
Ltbp1	peak_418 (+748)
Ltbp2	peak_205 (+645)
Ltk	peak_531 (+1613)
Lurap1	peak_677 (+437)
Lvrn	peak_448 (-134)
Ly6a	peak_322 (+9554)
Ly6h	peak_323 (+1123)
Ly6i	peak_322 (-5047)
Ly6l	peak_323 (+116675)
Lypd1	peak_45 (-580435)
Lypd3	peak_839 (+2078)
Lypd6b	peak_508 (-39)
Mab21l2	peak_583 (-371128)
Madd	peak_525 (-9708)
Mael	peak_56 (+200)
Magee2	peak_1042 (+265)
Magel2	peak_861 (+301)
Mak	peak_241 (-8503)
Mamdc2	peak_470 (+558)
Man2b2	peak_717 (+300)
Mansc1	peak_826 (+427)
Map2k1	peak_993 (-4938)
Map2k6	peak_177 (-1469)
Map4k3	peak_421 (+151839)
Map7d2	peak_1062 (+189)
Marc1	peak_66 (+1318)
Mast3	peak_939 (-5355)
Matk	peak_108 (+769)
Matn2	peak_313 (-302)
Mbd3l1	peak_967 (-4487)
Mboat1	peak_235 (+284)
Mbp	peak_456 (+79361)
Mchr1	peak_325 (+36)
Mcmdc2	peak_4 (-59996), peak_5 (+273)
Mcoln2	peak_622 (+319)
Mctp1	peak_262 (-195095)
Mdfic	peak_769 (+386)
Mdga1	peak_391 (-60)
Me3	peak_874 (+89)
Med12l	peak_573 (+486)
Medag	peak_762 (+221)
Megf8	peak_841 (+49849)
Meig1	peak_491 (+4401)
Meiob	peak_384 (+268)
Meltf	peak_360 (+10698)
Meox1	peak_173 (-69804)
Meox2	peak_189 (-408)
Mesp1	peak_868 (+1066)
Mesp2	peak_869 (+683)
Mettl24	peak_89 (+288)
Mfhas1	peak_920 (+1455)
Mfsd2a	peak_679 (+54)
Mfsd2b	peak_183 (-85)
Mfsd4a	peak_47 (-230)
Mfsd7a	peak_748 (+325)
Mgst1	peak_828 (-1060)
Mid2	peak_1055 (-12684)
Mis12	peak_151 (+13680)
Mkrn3	peak_862 (-43298)
Mmp2	peak_947 (+157)
Mmp24	peak_552 (+533)
Mmp28	peak_163 (+248)
Mob3b	peak_633 (+443)
Morc4	peak_1053 (+201)
Morn3	peak_753 (-3283)
Mospd3	peak_758 (+26182)
Mpp6	peak_783 (+151442)
Mppe1	peak_453 (-552)
Mpzl3	peak_981 (-238)
Mrgprh	peak_378 (+3954)
Mroh5	peak_321 (+626)
Mtap	peak_659 (+138003)
Mtch1	peak_390 (-7886)
Mtf2	peak_747 (-5281)
Mtnr1a	peak_925 (-122)
Mtus2	peak_761 (+307528)
Muc13	peak_361 (-108488)
Mum1l1	peak_1051 (+83)
Mycbpap	peak_165 (+637)
Myh7b	peak_551 (+2748)
Myl9	peak_553 (-20)
Myo1h	peak_751 (+42438)
Myo5c	peak_999 (+981)
Myo7a	peak_879 (+8120)
Myof	peak_481 (+73)
Naglu	peak_172 (-5872)
Nanog	peak_820 (-4724)
Nap1l2	peak_1039 (+451)
Nap1l5	peak_788 (+283)
Nav1	peak_50 (+1651)
Nbas	peak_184 (+881461)
Nckap5	peak_45 (+337983)
Ncmap	peak_693 (+559)
Ndrg1	peak_320 (+118)
Nebl	peak_499 (+195)
Nedd9	peak_243 (+128063)
Nek5	peak_913 (+888)
Neto1	peak_459 (+428)
Neu3	peak_880 (+93)
Neurl1b	peak_385 (-399)
Neurog1	peak_250 (+656)
Nfasc	peak_49 (+449)
Nfe2l3	peak_784 (+1178)
Ngef	peak_41 (+63965), peak_40 (+98481)
Nhej1	peak_33 (-78149)
Nhlh1	peak_59 (+3543)
Nhsl2	peak_1037 (+857)
Nipal4	peak_135 (-321)
Nkapl	peak_227 (+226)
Nkx2-3	peak_486 (+967)
Nkx6-3	peak_915 (-94717)
Nlgn1	peak_567 (+179161)
Nlrp1a	peak_151 (+111413)
Nmbr	peak_80 (-15)
Nmi	peak_509 (+529)
Nmnat3	peak_1014 (+425)
Nmu	peak_729 (-630)
Nod2	peak_945 (+350)
Nol4	peak_432 (-270366)
Nov	peak_318 (+168766)
Npas1	peak_834 (+2139)
Npbwr1	peak_1 (+341)
Npffr1	peak_99 (-523)
Npl	peak_54 (+855)
Npnt	peak_617 (-758)
Npy	peak_782 (-464)
Npy1r	peak_936 (-134)
Npy5r	peak_935 (+217)
Nqo2	peak_238 (+393)
Nr1h3	peak_525 (+1509)
Nr3c2	peak_940 (+1094)
Nrg3	peak_286 (+219)
Nrgn	peak_976 (+167)
Nrsn1	peak_234 (+378)
Nudt12	peak_415 (+416)
Nudt16	peak_1018 (+88)
Nup54	peak_734 (+42640)
Nwd2	peak_725 (+643)
Nxph2	peak_500 (-104)
Nxph3	peak_168 (+458)
Nxt2	peak_1056 (+882)
Ociad2	peak_727 (+213)
Ocln	peak_272 (+464)
Oit1	peak_278 (+61122)
Olah	peak_491 (-21037)
Olfm2	peak_968 (+631)
Olfml2b	peak_58 (+17)
Olfr1396	peak_136 (+26443)
Olfr553	peak_886 (-2240)
Olfr94	peak_403 (-13343)
Olfr95	peak_403 (+1724)
Oma1	peak_669 (+306406)
Ophn1	peak_1035 (+254)
Oprd1	peak_691 (+689)
Osbp2	peak_119 (+150)
Osbpl6	peak_521 (+440)
Osmr	peak_305 (+170)
Otop1	peak_718 (-109)
P2rx5	peak_155 (+402)
P4ha2	peak_140 (+459)
Pabpc4	peak_682 (-43742)
Pacsin1	peak_387 (+610), peak_388 (+29916)
Pak3	peak_1057 (-147153)
Pak7	peak_540 (+786)
Palm2	peak_649 (+252), peak_650 (+133993)
Papolb	peak_760 (+617)
Papss1	peak_616 (-74464)
Parp11	peak_822 (+107549)
Parp16	peak_994 (-6286)
Patj	peak_663 (+298)
Pax4	peak_774 (-2105)
Pcdh18	peak_570 (+231)
Pcdha1	peak_437 (+947)
Pcdha11	peak_438 (+127)
Pcdhb19	peak_442 (+1980)
Pcdhb20	peak_442 (-5293), peak_443 (+1961)
Pcdhb21	peak_443 (-7396)
