# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
1190002N15Rik	peak_3590 (+145153)
Arhgap25	peak_3066 (+20060)
Arhgap26	peak_1730 (+75075)
Arhgap31	peak_1429 (+33296)
Arhgap40	peak_2060 (+26564)
Arhgap42	peak_3479 (-306144), peak_3478 (-87165)
Arhgap6	peak_3836 (+133438)
Arhgap8	peak_1371 (+65744)
Arhgef10l	peak_2638 (+81697)
Arhgef18	peak_3274 (-15992)
Arhgef26	peak_2199 (-132561)
Arhgef28	peak_1048 (+69418)
Arhgef3	peak_1126 (-36869)
Arhgef37	peak_1753 (-8479)
Arhgef7	peak_3289 (+7899)
Arid1a	peak_2627 (-34295)
Arid1b	peak_1545 (-646828)
Arl1	peak_484 (+8013)
Arl4a	peak_758 (+137740), peak_757 (+208728), peak_756 (+471484), peak_755 (+498260)
Arl6	peak_1468 (-261055), peak_1467 (-252869), peak_1466 (-145051), peak_1465 (-65541)
Arl6ip6	peak_1940 (+138168), peak_1941 (+175264)
Armc1	peak_2119 (+147241), peak_2118 (+310035), peak_2117 (+439875)
Arpp21	peak_3616 (-302055)
Arrdc3	peak_1018 (-859605), peak_1019 (-319036), peak_1020 (-200083)
Arx	peak_3747 (-343011)
Asap1	peak_1343 (-146105)
Asb9	peak_3827 (+62735)
Asns	peak_2943 (-6949)
Aspg	peak_869 (-45709)
Asph	peak_2353 (-54790)
Aspscr1	peak_713 (+14113)
Asrgl1	peak_1804 (-23964)
Astn2	peak_2481 (+326644), peak_2480 (+333650)
Asxl3	peak_1708 (+295865)
Atg10	peak_1041 (+57742)
Atp1a1	peak_2263 (+52998)
Atp23	peak_551 (+38824), peak_550 (+200543)
Atp2a2	peak_2895 (-24906)
Atp2b1	peak_496 (-363922), peak_497 (-325318)
Atp2c2	peak_3456 (+33912)
Atp5g3	peak_1977 (-60017)
Atp5j	peak_1521 (-107878)
Atp5o	peak_1535 (+40751)
Atp6ap1l	peak_1040 (+241544), peak_1039 (+312439)
Atp6v1g3	peak_272 (+38344)
Atp6v1h	peak_2 (-6120), peak_3 (+87160), peak_4 (+106137), peak_5 (+189448)
Atp8a1	peak_2776 (-69542)
Atp8a2	peak_1164 (-68886)
Atp9b	peak_1782 (+47363)
Atxn2	peak_2891 (-10730)
Atxn7l1	peak_743 (-58322)
Atxn7l3b	peak_529 (-460353), peak_528 (+56418)
Auh	peak_967 (+49708), peak_966 (+53502), peak_965 (+76605)
Aurkc	peak_3160 (-81634), peak_3161 (-18057)
Auts2	peak_2911 (-649200), peak_2910 (-30763)
Avil	peak_552 (+10745)
Avpr1a	peak_545 (-57014)
Awat2	peak_3755 (+117456)
Axin2	peak_699 (+21031)
Azin1	peak_1300 (-67527)
B020004C17Rik	peak_1163 (-16269)
B020004J07Rik	peak_2576 (+39853)
B3galnt1	peak_2216 (+78521)
B3galnt2	peak_904 (+10373)
B3galt1	peak_1966 (-178078)
B3galt2	peak_286 (-128574)
B430305J03Rik	peak_2198 (-276840), peak_2197 (-78544)
B4galt1	peak_2435 (-23027)
B930094E09Rik	peak_1721 (-40524)
BC030500	peak_3359 (-613161), peak_3360 (-440264)
BC030870	peak_3384 (-461384), peak_3383 (-413387), peak_3382 (-324453), peak_3381 (-274067), peak_3380 (-193415), peak_3379 (-168273), peak_3378 (-55187)
BC034090	peak_302 (+214)
BC048403	peak_541 (-32898)
BC052040	peak_2019 (-419232)
Bach1	peak_1528 (+30838)
Bach2	peak_2418 (-10836)
Bard1	peak_155 (+116127)
Barhl1	peak_1906 (-57784), peak_1905 (-27344)
Barhl2	peak_2860 (+256792)
Barx1	peak_956 (+31721)
Batf	peak_832 (+11500)
Baz2b	peak_1956 (+15633), peak_1955 (+37055), peak_1954 (+75522)
Bbox1	peak_2013 (+68566)
Bcat1	peak_3144 (+73888)
Bche	peak_2222 (-155624), peak_2221 (-148423)
Bcl11a	peak_594 (+204379), peak_595 (+518789), peak_596 (+733545), peak_597 (+803657)
Bcl2l10	peak_3568 (+27933)
Bcl2l14	peak_3132 (-27726)
Bcl7c	peak_3266 (+17042)
Begain	peak_860 (-163262)
Bend5	peak_2598 (-169927)
Bet1	peak_2934 (-195253)
Bid	peak_3117 (+12841)
Bmp7	peak_2082 (+168931)
Bmper	peak_3500 (+61516), peak_3501 (+385483)
Bmpr1b	peak_2318 (+215573)
Bod1	peak_611 (+79782)
Bpifa3	peak_2054 (-42687)
Brd7	peak_3422 (-20279)
Brinp1	peak_2492 (-474872), peak_2491 (-262372), peak_2490 (-209937), peak_2489 (+286214)
Brinp2	peak_305 (+24583)
Brinp3	peak_292 (-669432), peak_293 (-490346), peak_294 (-470254)
Bsn	peak_3613 (+6496)
Btbd7	peak_852 (+10929)
Btbd9	peak_1594 (+92497)
Btg1	peak_494 (+57020)
Btrc	peak_1844 (+87116)
C030005K15Rik	peak_495 (-319115)
C1d	peak_579 (+260898)
C1galt1	peak_2944 (+80126), peak_2945 (+84190), peak_2946 (+138727)
C1qb	peak_2634 (+24130)
C1qtnf7	peak_2737 (-17518)
C6	peak_1245 (-54437), peak_1246 (+48980)
C87414	peak_2835 (-77365), peak_2834 (+27661)
CN725425	peak_1375 (+85424)
Cabyr	peak_1697 (-9663)
Cachd1	peak_2572 (-120301)
Cacna1g	peak_682 (+40184)
Cacna1h	peak_1584 (+28024)
Cacna2d1	peak_2687 (+138303), peak_2688 (+233717)
Cacnb2	peak_1886 (+122867)
Cacul1	peak_1871 (-62984), peak_1870 (-21726)
Cacybp	peak_309 (-208485)
Cadm1	peak_3536 (+41833), peak_3537 (+173982)
Cadm2	peak_1488 (-926970), peak_1487 (-313503), peak_1486 (+229663), peak_1485 (+866295)
Cadps2	peak_2978 (-22750)
Calcr	peak_2933 (+117561)
Camk4	peak_1724 (+105191)
Camkmt	peak_1679 (+45659)
Cand1	peak_537 (-47598), peak_536 (+35398)
Cand2	peak_3108 (+16525)
Cap2	peak_951 (+74168)
Capn1	peak_1800 (-14776)
Capn3	peak_2024 (+31161)
Car10	peak_678 (-404944)
Car2	peak_2110 (+100854)
Car8	peak_2350 (+47177), peak_2349 (+103271), peak_2348 (+505002), peak_2347 (+610649)
Casp12	peak_3473 (+19706), peak_3474 (+184165)
Casp7	peak_1867 (+12930)
Casr	peak_1425 (+6822)
Cast	peak_1005 (-28245)
Casz1	peak_2650 (-14172), peak_2651 (+41204)
Cav3	peak_3100 (+12908)
Cavin4	peak_2444 (+138538)
Cbfa2t2	peak_2055 (+31003)
Cblb	peak_1452 (-302067)
Cbr4	peak_3368 (-106859), peak_3369 (+29172)
Cbx4	peak_711 (-42896)
Cc2d2a	peak_2738 (+10646)
Ccdc112	peak_1739 (-44321)
Ccdc115	peak_86 (+22119)
Ccdc150	peak_124 (+14863)
Ccdc162	peak_409 (+41063)
Ccdc171	peak_2533 (+42010), peak_2534 (+224669), peak_2535 (+433127)
Ccdc173	peak_1968 (+23258)
Ccdc178	peak_1707 (-76735)
Ccdc50	peak_1414 (+346928)
Ccdc54	peak_1451 (-77515), peak_1450 (+71414)
Ccdc59	peak_515 (-31737)
Ccdc70	peak_3302 (+18790)
Ccdc71l	peak_741 (+39655)
Ccdc7a	peak_3464 (+35431), peak_3463 (+116293)
Ccdc85a	peak_606 (+229976), peak_605 (+244193), peak_604 (+344073)
Ccdc88a	peak_608 (+65017)
Ccdc90b	peak_3230 (-489069)
Ccdc92	peak_2901 (+44958)
Ccl21a	peak_2437 (+6720)
Ccl25	peak_3277 (+30564), peak_3278 (+42020)
Ccl9	peak_668 (+10973)
Ccnd2	peak_3123 (-82955)
Ccnd3	peak_1621 (+41241)
Ccng1	peak_623 (-356421), peak_622 (-260964)
Ccng2	peak_2831 (+84707)
Ccnh	peak_1031 (-354546)
Ccnj	peak_1836 (+10969)
Ccser2	peak_1135 (+372246), peak_1134 (+423253)
Cd163l1	peak_3271 (+6080)
Cd180	peak_1057 (-272101), peak_1058 (-201441), peak_1059 (+195544)
Cd2	peak_2260 (-12748)
Cd209a	peak_3276 (-44930)
Cd226	peak_1794 (+172939)
Cd46	peak_353 (+35315)
Cd55	peak_262 (-28444)
Cdc42ep4	peak_705 (-104761)
Cdc42se2	peak_638 (-19305), peak_637 (-8842)
Cdh10	peak_1266 (-89079), peak_1267 (+759965), peak_1268 (+805855)
Cdh11	peak_3439 (+637379)
Cdh12	peak_1272 (+150577), peak_1273 (+231084)
Cdh18	peak_1274 (-548460), peak_1275 (-224743)
Cdh19	peak_225 (-301222)
Cdh2	peak_1702 (-825699), peak_1701 (-152503)
Cdh20	peak_213 (-550904), peak_214 (-488447), peak_215 (+200989)
Cdh22	peak_2068 (+12672), peak_2067 (+38771)
Cdh26	peak_2084 (+343817)
Cdh4	peak_2085 (-265041)
Cdh5	peak_3440 (-340069)
Cdh6	peak_1262 (-209510)
Cdh7	peak_223 (-947955), peak_224 (-915814)
Cdh8	peak_3437 (-864705), peak_3436 (-443720), peak_3435 (+571030), peak_3434 (+717120), peak_3433 (+987266)
Cdh9	peak_1264 (-869410), peak_1265 (-656260)
Cdhr3	peak_742 (-71371)
Cdk15	peak_131 (+111278)
Cdk5rap2	peak_2495 (+341396), peak_2494 (+623316), peak_2493 (+689084)
Cdk6	peak_2661 (-279084)
Cdkn2c	peak_2593 (+64602)
Cdkn3	peak_1150 (-15029)
Cdo1	peak_1740 (+35223)
Cdr1	peak_3695 (-80526), peak_3694 (-73090)
Cds1	peak_2846 (+97138)
Ceacam12	peak_3176 (+42197)
Ceacam5	peak_3175 (-18329)
Cecr2	peak_3116 (-21821)
Celf4	peak_1713 (-942712)
Cenpq	peak_1611 (-30373)
Cep126	peak_3476 (-186262)
Cep128	peak_836 (+106350)
Cep164	peak_3533 (+23155), peak_3532 (+29935)
Cep170	peak_332 (+259601)
Ces1f	peak_3424 (-19294)
Ces2a	peak_3441 (-38489)
Ces2b	peak_3442 (-6183)
Ces4a	peak_3443 (+6471)
Ces5a	peak_3426 (-48931), peak_3425 (+50123)
Cetn3	peak_1023 (+542581), peak_1024 (+552421), peak_1025 (+745969)
Cfap54	peak_490 (+21167)
Cfap69	peak_2664 (-13365), peak_2663 (+33471)
Cfap77	peak_1907 (+38348)
Cfhr1	peak_278 (-109595), peak_277 (-89784), peak_276 (-27082), peak_275 (+13578)
Cfl2	peak_787 (-27205)
Cgn	peak_2255 (+7226)
Chil6	peak_2270 (-8162)
Chl1	peak_3083 (+71183), peak_3084 (+208432)
Chmp7	peak_1174 (-16889)
Chordc1	peak_3491 (-435736), peak_3492 (-318406), peak_3493 (-282532)
Chrm2	peak_3002 (-298706), peak_3003 (+108990)
Chrm3	peak_898 (+58714)
Chrna9	peak_2773 (-16247)
Chst7	peak_3645 (-228142)
Chsy3	peak_1752 (-60021)
Cidea	peak_1761 (-12302), peak_1762 (+20995)
Cit	peak_2881 (+81514)
Cited2	peak_371 (-902629), peak_372 (-585884), peak_373 (-579508)
Cldn17	peak_1530 (-20330)
Cldn34a	peak_3816 (-39369)
Cldn34b3	peak_3716 (-27624)
Cldn34c1	peak_3783 (-118814), peak_3784 (-77516)
Cldn34c4	peak_3789 (-865826)
Clec14a	peak_793 (-230679)
Clec4b1	peak_3119 (-7182)
Cln8	peak_3292 (-160164)
Clnk	peak_2726 (-161527), peak_2725 (+38655)
Clrn1	peak_2191 (+32679)
Clvs2	peak_394 (-18299), peak_393 (+18819), peak_392 (+132949)
Cmklr1	peak_2875 (-11540), peak_2874 (+18723), peak_2873 (+69826)
Cnbd1	peak_2389 (-67617), peak_2388 (-27009), peak_2387 (+175679), peak_2386 (+515624)
Cnksr2	peak_3824 (-557597), peak_3823 (-69291)
Cnot2	peak_535 (-146767)
Cnot6l	peak_2839 (+41908)
Cnrip1	peak_578 (+47362)
Cntln	peak_2536 (+150880)
Cntn3	peak_3082 (-111712), peak_3081 (+531656)
Cntn4	peak_3085 (-215288), peak_3086 (-14755)
Cntn5	peak_3485 (-747291), peak_3484 (-512408), peak_3483 (-236084), peak_3482 (+346548), peak_3481 (+614120), peak_3480 (+680993)
Cntnap2	peak_3010 (-639539), peak_3011 (-500697), peak_3012 (-328668), peak_3013 (+426028)
Cntnap4	peak_3450 (-86676), peak_3451 (+81774), peak_3452 (+227696), peak_3453 (+262945)
Cntnap5a	peak_234 (-913748), peak_235 (-875534), peak_236 (+114797)
Cntnap5b	peak_201 (+51402), peak_202 (+863558)
Cntnap5c	peak_1637 (-110461), peak_1638 (-70568), peak_1639 (+204455), peak_1640 (+401518), peak_1641 (+555219)
Cobl	peak_570 (-914186), peak_569 (-851055), peak_568 (-441145)
Col11a1	peak_2281 (-183454)
Col12a1	peak_3575 (+315411), peak_3574 (+375918), peak_3573 (+464211)
Col17a1	peak_1845 (-13485)
Col19a1	peak_61 (+91091)
Col26a1	peak_2918 (+46746)
Col3a1	peak_102 (-352367), peak_103 (-145653), peak_104 (-105716)
Col8a1	peak_1459 (-250570)
Colec10	peak_1329 (+40018)
Commd3	peak_1892 (-115333)
Coq8a	peak_337 (+54311)
Cox6c	peak_1295 (-53933)
Cox7b2	peak_2784 (-8067), peak_2783 (+22840), peak_2782 (+158913)
Cox7c	peak_1035 (-543707), peak_1034 (-241508), peak_1033 (+111246), peak_1032 (+200764)
Cpa6	peak_24 (-85772)
Cpe	peak_3376 (+26395), peak_3375 (+129820)
Cpeb2	peak_2734 (-226689), peak_2735 (-162147), peak_2736 (+122241)
Cplx2	peak_969 (-39364)
Cpn1	peak_1842 (+5817)
Cps1	peak_146 (+419851)
Cpvl	peak_3025 (-7727)
Cpxcr1	peak_3778 (-243818)
Cpz	peak_2723 (+36514)
Cradd	peak_493 (-28471), peak_492 (-7871)
Crbn	peak_3089 (-340210), peak_3088 (-303015)
Creb3l1	peak_1997 (+29077)
Creb3l2	peak_3004 (-22633)
Creb5	peak_3024 (-105078)
Crim1	peak_1667 (-967833), peak_1668 (-371017), peak_1669 (-124554)
Cript	peak_1680 (+37691)
Crisp1	peak_1609 (-52621)
Crisp4	peak_44 (+67670)
Crispld1	peak_40 (-41349), peak_41 (-21836), peak_42 (+176859), peak_43 (+195789)
Crocc2	peak_186 (+21688)
Crot	peak_2673 (-51689)
Crtc1	peak_3392 (+20567)
Cryaa	peak_1595 (+68942)
Crygf	peak_144 (+53337)
Csf1	peak_2273 (-52073)
Csl	peak_502 (+19450), peak_501 (+91498), peak_500 (+159712), peak_499 (+163911)
Csmd1	peak_3297 (-498759), peak_3296 (+36173), peak_3295 (+344918)
Csmd3	peak_1318 (-457036), peak_1317 (-323153), peak_1316 (-302297), peak_1315 (+394161)
Csnk2a1	peak_2053 (-29341)
Csnka2ip	peak_1478 (-93591), peak_1477 (+28966), peak_1476 (+176686)
Csrnp3	peak_1962 (+26332)
Cstl1	peak_2049 (+7007)
Ctag2	peak_3700 (+105839)
Ctdp1	peak_1781 (-97707)
Ctdspl	peak_3617 (+14259), peak_3618 (+34059)
Ctif	peak_1775 (+133952)
Ctnna2	peak_3055 (-175979), peak_3054 (-47518)
Ctnna3	peak_443 (+205851)
Ctnnbl1	peak_2058 (+81621)
Ctnnd2	peak_1285 (-76633)
Cts3	peak_982 (-15766)
Cts7	peak_980 (-64126), peak_979 (-38989)
Ctsc	peak_3224 (-277087)
Ctsm	peak_981 (+78053)
Ctso	peak_2238 (-316300), peak_2239 (-220199), peak_2240 (-151521), peak_2241 (-96634)
Cul1	peak_3016 (-877145), peak_3017 (-21915)
Cul3	peak_170 (-43270)
Cux2	peak_2893 (+67561)
Cwc22	peak_1980 (-51408)
Cwc27	peak_1064 (+156234)
Cwf19l2	peak_3469 (-24227)
Cxcl12	peak_3113 (-81490)
Cxcl13	peak_2838 (-29895)
Cxcl15	peak_2826 (+24469)
Cxcl2	peak_2827 (+6039)
Cxcr4	peak_259 (-181034)
Cxcr5	peak_3529 (-6471)
Cxxc4	peak_2304 (+212787), peak_2305 (+261719)
Cyb5b	peak_3444 (+55172)
Cylc2	peak_2448 (-585675), peak_2449 (-516262), peak_2450 (-198100), peak_2451 (+82616), peak_2452 (+438348)
Cyld	peak_3423 (+116055)
Cyp11b2	peak_1355 (-6361)
Cyp2ab1	peak_1402 (+6160)
Cyp2c39	peak_1835 (+13025)
Cyp2c66	peak_1834 (+43490)
Cyp2d10	peak_1366 (-10299)
Cyp3a16	peak_2923 (-11889)
Cyp3a41a	peak_2924 (-13580)
Cyp4a29	peak_2603 (-41191), peak_2604 (+13409)
Cyp4a32	peak_2605 (-16947)
Cypt1	peak_3636 (-726537), peak_3637 (-613839), peak_3638 (-119973), peak_3639 (-82446)
Cypt12	peak_2115 (-762729), peak_2116 (-212954)
Cypt14	peak_3664 (-36601), peak_3663 (+57850), peak_3662 (+196221)
Cypt15	peak_3660 (-14167), peak_3661 (+248574)
Cysltr2	peak_1181 (+69783), peak_1180 (+100917)
Cystm1	peak_1727 (+43761)
Cyth3	peak_2921 (-13056)
Cyth4	peak_1359 (+14006)
D16Ertd472e	peak_1511 (+27554)
D1Ertd622e	peak_195 (+149185), peak_194 (+238536)
D1Pas1	peak_346 (+95367)
D330045A20Rik	peak_3801 (-16521)
D3Ertd751e	peak_2158 (+27420), peak_2159 (+373782), peak_2160 (+582255)
D430019H16Rik	peak_856 (+14419)
D630036H23Rik	peak_750 (-103143)
Dab1	peak_2582 (-277949)
Dab2	peak_1248 (-329825), peak_1249 (-110861)
Dab2ip	peak_1918 (-17718), peak_1919 (+21513)
Dach1	peak_1212 (-68666)
Dach2	peak_3772 (-47760), peak_3773 (+311427)
Dad1	peak_1160 (+117198)
Dap	peak_1286 (-23397)
Dapk1	peak_977 (-212069), peak_978 (-176082)
Dapk2	peak_3559 (+62321)
Dbr1	peak_3596 (+15008)
Dcaf4	peak_827 (-14003)
Dcbld2	peak_1460 (-168801)
Dcc	peak_1768 (-225905), peak_1767 (-155420)
Dclk2	peak_2244 (+57484)
Dcun1d4	peak_2790 (+22197)
Ddc	peak_567 (-68266), peak_566 (+41902)
Ddhd1	peak_1147 (-237682)
Ddit4l	peak_2308 (-23378), peak_2309 (+35280)
Ddost	peak_2636 (-15936)
Ddx10	peak_3545 (+255348)
Ddx18	peak_253 (-518501), peak_252 (-170116)
Ddx58	peak_2433 (+34103)
Ddx6	peak_3530 (-17242)
Defa17	peak_3301 (-15039)
Defb14	peak_3300 (-13929)
Defb30	peak_1169 (+12397)
Defb38	peak_3299 (-18775)
Defb41	peak_45 (-393793)
Dennd1b	peak_274 (+159390)
Dennd4c	peak_2540 (-39911)
Dennd6a	peak_1125 (-13452)
Dgkb	peak_753 (-36027)
