# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
0610009O20Rik	peak_540 (-9992)
Chdh	peak_343 (+120937)
Chil5	peak_729 (-19415)
Chrm3	peak_284 (-502419)
Chrna1	peak_635 (+18859)
Chrnb3	peak_1059 (-6636)
Chst1	peak_638 (-69949)
Cisd2	peak_741 (+12953)
Cited4	peak_792 (+31201)
Ckm	peak_979 (+15270)
Clasp1	peak_34 (+70022)
Clec2l	peak_922 (+14077)
Clic4	peak_817 (+66600)
Clmp	peak_1123 (+45002)
Clvs1	peak_751 (-132657)
Cmc2	peak_1100 (+57716)
Cnot10	peak_1177 (-10821)
Cntn1	peak_415 (-67687)
Cntnap4	peak_1098 (+284092)
Coa4	peak_1021 (+18769)
Col18a1	peak_101 (-64110)
Col4a2	peak_1051 (-33367)
Col8a2	peak_798 (-8169)
Commd3	peak_610 (-85695)
Commd7	peak_664 (+39623)
Coro2b	peak_1142 (-13869), peak_1141 (+66734)
Cotl1	peak_1103 (+9339)
Cox4i2	peak_660 (+9259)
Cox7a2l	peak_518 (-33249)
Cox8b	peak_1045 (-7418)
Cpm	peak_124 (-57926), peak_125 (+33500)
Cpsf6	peak_123 (-14281)
Cpxm1	peak_648 (+35341)
Crcp	peak_891 (+8731)
Crhr1	peak_218 (-59861)
Crtap	peak_1176 (+22471)
Crygn	peak_844 (-21054)
Csmd1	peak_1054 (-434899)
Csrp1	peak_42 (-43677)
Ctnna3	peak_97 (+126111)
Ctnnbl1	peak_668 (+14728)
Ctrb1	peak_1097 (+10451)
Ctsl	peak_316 (+26842)
Cxcl17	peak_982 (-9182)
Cxxc5	peak_533 (+43456)
Cyp26b1	peak_935 (+13927)
Cyp2j8	peak_780 (+43278)
Cyp4f17	peak_493 (-14083)
D630003M21Rik	peak_669 (+21565)
Dapl1	peak_628 (-136765)
Dars	peak_35 (-54989)
Dbx1	peak_1008 (-25269)
Dct	peak_376 (-37524)
Ddit4	peak_95 (+8615)
Ddx39	peak_1077 (+57725)
Defb42	peak_356 (+29184)
Deptor	peak_399 (-6742)
Dhcr24	peak_784 (-31610)
Dhx35	peak_670 (+44823)
Dhx38	peak_1094 (+29584)
Dio3	peak_282 (+41125)
Dirc2	peak_456 (+109535)
Disp3	peak_833 (+16534)
Dixdc1	peak_1133 (+28829)
Dlgap4	peak_666 (+35100)
Dlx2	peak_632 (-34626)
Dmrt3	peak_581 (+11857)
Dmrta1	peak_777 (-163807)
Dmrta2	peak_786 (+73246)
Dnaaf1	peak_1102 (+12329)
Dnajb1	peak_1076 (+14381)
Dnajb12	peak_94 (-65845)
Dnajc3	peak_377 (+69372)
Dock3	peak_1172 (+38350)
Dock9	peak_381 (-33073)
Dok2	peak_364 (+7007)
Drap1	peak_570 (+9374)
Dsel	peak_32 (-551699)
Dsn1	peak_667 (-33479)
Dstn	peak_652 (-25396)
Dtwd2	peak_544 (+8759)
Dtx4	peak_579 (-16247)
Dupd1	peak_340 (+28658)
Dusp15	peak_661 (+7970)
Dusp6	peak_117 (+90598)
Dusp7	peak_1170 (+15599)
Dynll2	peak_197 (+20315)
Dyrk1a	peak_473 (+143659)
Dyrk1b	peak_985 (+28873)
Dysf	peak_934 (+86607)
Dzank1	peak_653 (+68130)
Ebf2	peak_361 (-45512)
Edem3	peak_45 (+124233)
Ednra	peak_1073 (-182834)
Eef1a1	peak_1156 (-51475), peak_1155 (-46721)
Eef2k	peak_1032 (-11883)
Efna1	peak_717 (-20033)
Efna2	peak_103 (+10514)
Efnb1	peak_1198 (+80800)
Egln3	peak_254 (-113077)
Eif3d	peak_404 (-24780)
Elk3	peak_110 (+26235)
Eml4	peak_517 (-28062)
Enc1	peak_328 (-16117), peak_329 (+18877)
Eomes	peak_1179 (-88383)
Epb41l4a	peak_530 (-96795)
Epha8	peak_821 (+12024)
Ephb2	peak_820 (+79694)
Ephb3	peak_446 (+106496)
Erap1	peak_322 (-47939)
Erbb4	peak_16 (-269392)
Ercc1	peak_978 (-11660)
Erh	peak_268 (+17100)
Esr2	peak_267 (+24669), peak_266 (+171879)
Etnk1	peak_969 (+121674)
Exoc7	peak_229 (-13099)
Eya2	peak_681 (-12585)
F2rl3	peak_1072 (-12085)
Fabp5	peak_698 (-38188)
Fabp6	peak_157 (-24993)
Faim	peak_1164 (-6566)
Fam105a	peak_389 (-66839)
Fam109a	peak_882 (+64716)
Fam110b	peak_749 (+49659)
Fam110c	peak_248 (+38396)
Fam149a	peak_1062 (+23846)
Fam161a	peak_148 (+116660)
Fam19a4	peak_944 (+182943)
Fam43a	peak_448 (+57359)
Fam49a	peak_242 (+62109)
Fam50b	peak_301 (+7291)
Fam83a	peak_400 (-10642)
Fam83g	peak_172 (-13070)
Fbxo11	peak_522 (-186844)
Fbxo2	peak_832 (+32822)
Fbxo33	peak_259 (-104837)
Fbxo41	peak_937 (+18617)
Fcgr4	peak_60 (-20630)
Fech	peak_548 (+60536)
Fermt2	peak_348 (-35945)
Fgd2	peak_491 (+55310)
Fgf23	peak_961 (+7678)
Fgg	peak_711 (-12694)
Fitm2	peak_674 (-9170)
Fkbp5	peak_489 (+6663)
Flnb	peak_337 (-26377)
Flt1	peak_903 (-25253)
Fmnl3	peak_426 (-10418)
Fn1	peak_17 (+43866)
Foxf1	peak_1104 (-111818)
Foxi3	peak_931 (+56603)
Foxk1	peak_901 (-81659)
Foxl1	peak_1105 (+92601)
Foxo1	peak_703 (+132426)
Frmd6	peak_261 (-41209)
Frs2	peak_122 (-26199)
Fry	peak_914 (-64187)
Fxyd4	peak_955 (-60219)
Fzd10	peak_889 (-48149)
Fzd2	peak_216 (+28682)
Fzd6	peak_396 (-15518)
Gan	peak_1101 (+45871)
Gap43	peak_458 (+34280), peak_457 (+149979)
Gata5	peak_696 (-51476)
Gatsl2	peak_892 (+19646)
Gbx2	peak_25 (-37402)
Gch1	peak_349 (+102019)
Gcm2	peak_303 (+18467)
Gdf6	peak_752 (-73782)
Gdpd2	peak_1201 (+9669)
Gfi1	peak_870 (+37357)
Ggt7	peak_665 (+8942)
Ggta1	peak_624 (+15727)
Gins1	peak_657 (+24192)
Gipc2	peak_746 (+65525)
Gja1	peak_93 (+52528)
Gjb5	peak_802 (-61290)
Glrx5	peak_277 (+30713)
Glt8d2	peak_105 (+23526)
Glyatl3	peak_501 (+9489)
Gm10073	peak_1091 (-384)
Gm10076	peak_374 (+51011)
Gm10181	peak_1118 (-136648)
Gm10295	peak_1012 (-353895)
Gm10428	peak_174 (-7176), peak_175 (+3881)
Gm10647	peak_1148 (+9022)
Gm10767	peak_318 (-189494), peak_319 (-97137), peak_320 (-36677)
Gm10837	peak_384 (+209)
Gm10945	peak_72 (+412166)
Gm10999	peak_1112 (-14693)
Gm11042	peak_265 (-573), peak_264 (+31919)
Gm11084	peak_633 (-51334)
Gm11116	peak_866 (-1221)
Gm11627	peak_215 (+5858)
Gm11733	peak_230 (-89314), peak_231 (-58348), peak_232 (+39273)
Gm12728	peak_783 (-195934)
Gm12830	peak_787 (+258)
Gm14085	peak_645 (-17636)
Gm14137	peak_643 (+14846)
Gm16432	peak_64 (-62917)
Gm1661	peak_789 (+9251)
Gm17067	peak_1001 (-23539)
Gm17190	peak_327 (-51647)
Gm17332	peak_152 (+12510)
Gm2381	peak_1002 (-11438)
Gm27027	peak_639 (+19914)
Gm43517	peak_252 (+16084)
Gm5150	peak_699 (-45558)
Gm5225	peak_486 (-7881)
Gm525	peak_201 (+113735)
Gm5346	peak_1061 (+23910)
Gm5447	peak_300 (+11529)
Gm5868	peak_858 (+340)
Gm6096	peak_995 (-9016)
Gm7145	peak_33 (+88676)
Gm7247	peak_350 (-3343)
Gm815	peak_582 (-40403)
Gm8251	peak_13 (+19623)
Gm8444	peak_407 (+7075)
Gm853	peak_806 (+22748)
Gm8909	peak_497 (-10821), peak_496 (+9413)
Gm9772	peak_484 (-73922)
Gmpr	peak_304 (-13392), peak_305 (+9322)
Gna12	peak_900 (-42602)
Golga2	peak_618 (+29969)
Got2	peak_1085 (-27719)
Gpatch2l	peak_272 (+63752)
Gpcpd1	peak_650 (+62477)
Gpd2	peak_627 (-55177)
Gpr151	peak_542 (-10226)
Gpr155	peak_634 (-50328)
Gpr157	peak_835 (+14641)
Gpr161	peak_54 (-13399)
Gpr35	peak_30 (-21754)
Gprc5a	peak_966 (+13361)
Gprc5b	peak_1030 (-38662)
Gpx6	peak_290 (+13372)
Gramd2	peak_1137 (-15688)
Grb7	peak_208 (+11662)
Grin2c	peak_227 (+9013)
Grm2	peak_1171 (+9924)
Gsta4	peak_1154 (-23843)
Gtf2h4	peak_495 (-8502)
Gtf2i	peak_893 (-27734)
Gtf2ird1	peak_894 (-32917)
Gtf3c5	peak_614 (-10217)
Guca2b	peak_791 (-75027)
Gxylt1	peak_416 (+159310)
H1foo	peak_952 (+17072)
H1fx	peak_939 (-12609)
H2-M10.1	peak_500 (+10782)
H2-T3	peak_499 (-25723), peak_498 (-16203)
H2al1j	peak_1184 (+337629)
H3f3a	peak_67 (+35896)
Hap1	peak_209 (-7108)
Hcn3	peak_716 (+10789)
Hdac7	peak_422 (-19260)
Hebp2	peak_78 (-45585), peak_77 (+19554)
Heg1	peak_452 (+31024)
Hes1	peak_447 (-226577)
Hey2	peak_84 (+32417)
Hif1an	peak_596 (+77439)
Hip1r	peak_886 (+24807)
Hipk4	peak_984 (+5791)
Hist1h2bj	peak_292 (+7786)
Hist1h2br	peak_291 (+49569)
Hivep2	peak_74 (+16606)
Hk3	peak_310 (+8521)
Hlcs	peak_472 (+10056)
Hmg20a	peak_1134 (+88162)
Hmga2	peak_128 (-76150)
Hmgb1	peak_911 (+37525), peak_910 (+46994)
Hnrnpa3	peak_636 (-69418)
Hnrnpf	peak_954 (-14919)
Hnrnpll	peak_515 (+43447)
Hook1	peak_779 (+14824)
Hoxa13	peak_927 (-13253)
Hoxb9	peak_204 (-10396)
Hoxc13	peak_429 (-10765), peak_430 (+6012)
Hoxc4	peak_432 (+25555), peak_433 (+51649)
Hoxc8	peak_431 (+9087)
Hpn	peak_994 (+7745)
Hps1	peak_591 (-15443)
Hs2st1	peak_743 (+123228)
Hs3st2	peak_1033 (-146371)
Hs6st1	peak_9 (-37627)
Hsbp1l1	peak_562 (+10297)
Hsd3b7	peak_1039 (+10827)
Hsf5	peak_195 (+22175)
Hsp90b1	peak_108 (+19607)
Id2	peak_245 (+13147)
Id4	peak_306 (-33801)
Idnk	peak_314 (-8860)
Ido2	peak_1055 (+21833)
Ier2	peak_1078 (+103883)
Ifnar1	peak_471 (+29235)
Ifnl2	peak_986 (+19582)
Ift22	peak_898 (+11129)
Igsf9	peak_62 (+8193)
Il12a	peak_708 (-13982), peak_709 (+30942)
Il17d	peak_354 (+18782)
Il17rd	peak_342 (+76050)
Il24	peak_36 (+9235)
Impdh1	peak_919 (+17335)
Impg2	peak_464 (-58715)
Inhba	peak_285 (-252209)
Inpp5f	peak_1040 (+60919)
Insr	peak_1048 (+58527)
Ipmk	peak_100 (+33942)
Ipo5	peak_378 (-107262), peak_379 (-78891)
Iqca	peak_27 (+28793)
Iqgap1	peak_1015 (-27692)
Iqsec1	peak_941 (+73548)
Iqsec3	peak_957 (+60442)
Irf2	peak_1063 (-52633)
Irf2bp2	peak_1111 (+27961)
Irs2	peak_1050 (+62113)
Itgbl1	peak_385 (+11526)
Itsn2	peak_240 (-50899)
Jak1	peak_782 (-27539)
Jakmip1	peak_848 (-9192)
Jun	peak_778 (-109348)
Kalrn	peak_453 (-59487)
Kap	peak_963 (+14939)
Katnal1	peak_909 (-56367), peak_908 (+42364), peak_907 (+96992)
Kbtbd8	peak_943 (+98810)
Kcng1	peak_687 (+12059), peak_686 (+18602)
Kcng2	peak_564 (+41289)
Kcnj1	peak_1120 (+15421)
Kcnk12	peak_520 (-28665)
Kcnk13	peak_273 (+8302)
Kcnn2	peak_543 (-122079)
Kcnq4	peak_793 (+15674)
Kcnu1	peak_1057 (+61062)
Kdf1	peak_813 (+9569)
Kdm8	peak_1034 (-50889)
Kif21b	peak_43 (-25946), peak_44 (+9463)
Kif2a	peak_332 (-51107)
Kif2c	peak_788 (-7499)
Kif3c	peak_238 (-7399)
Klf10	peak_395 (-83882)
Klf3	peak_854 (+23245)
Klhdc7a	peak_827 (+17561)
Klhl3	peak_313 (+34994)
Klhl30	peak_29 (-6869)
Klrb1c	peak_962 (-12031)
Kmt5b	peak_567 (-22939)
Kpna2	peak_220 (-19622)
Kras	peak_970 (-90065)
Krr1	peak_121 (-190130)
Lacc1	peak_373 (+225609)
Lactbl1	peak_819 (+15497)
Lamc1	peak_48 (-13095)
Lamc2	peak_47 (+113130)
Lamp2	peak_1189 (-48975)
Lbr	peak_68 (-39039)
Lbx1	peak_599 (-6908), peak_598 (+13210)
Lctl	peak_1147 (-32151)
Ldb3	peak_347 (+18825)
Ldhal6b	peak_475 (+76517), peak_474 (+147860)
Lef1	peak_739 (-25568)
Lemd1	peak_37 (-15439)
Lgmn	peak_276 (+50131)
Lhx1	peak_190 (-117292)
Lhx2	peak_625 (+28394)
Lix1	peak_481 (-56698)
Lmo1	peak_1027 (-70809)
Lmod3	peak_945 (-59604)
Lmtk3	peak_1005 (+13368)
Lmx1a	peak_55 (-28467), peak_56 (+113478), peak_57 (+198817), peak_58 (+240394)
Lmx1b	peak_622 (-18741), peak_621 (+23478), peak_620 (+71350)
Lnx2	peak_902 (+34552)
Loxhd1	peak_559 (+34330)
Lrfn3	peak_991 (-10933)
Lrif1	peak_730 (-49180)
Lrig1	peak_942 (-73751)
Lrig2	peak_727 (+70139)
Lrp10	peak_352 (-14880)
Lrp3	peak_996 (-18983)
Lrrc4	peak_918 (-100115)
Lrrn3	peak_251 (-79715)
Lsm5	peak_929 (+52412), peak_928 (+135725)
Lurap1l	peak_773 (+57054)
Lxn	peak_707 (+13949)
Ly75	peak_630 (+6641)
Ly86	peak_302 (+169238)
Mab21l1	peak_706 (+194708)
Macc1	peak_283 (-39950)
Macrod1	peak_572 (+10084)
Mafb	peak_671 (-84770)
Mageb16	peak_1195 (-87275)
Magee1	peak_1204 (+31981)
Manea	peak_757 (-372042)
Map2k6	peak_225 (+49528)
Map3k1	peak_335 (-169808)
Map3k11	peak_571 (+6731)
Map4k1	peak_988 (+36740)
Marveld3	peak_1095 (+13962)
Mast1	peak_1079 (+7802)
Matn1	peak_809 (+156632)
Mccc1	peak_701 (+26374)
Mcrs1	peak_425 (-9262)
Mdga1	peak_492 (-43441)
Mdm1	peak_127 (-12711)
Mdm2	peak_126 (+27116)
Med13l	peak_881 (+537284)
Med14	peak_1187 (-154617), peak_1186 (-111758)
Mefv	peak_436 (+28209)
Meis2	peak_642 (-10424)
Melk	peak_760 (+124390), peak_761 (+172654)
Mfap2	peak_828 (+15095)
Mfap3l	peak_1068 (-40895)
Mfap4	peak_171 (-7904)
Mfsd4b2	peak_85 (-2)
Mfsd4b3	peak_86 (+184)
Mgarp	peak_702 (+18641)
Mier3	peak_334 (+39601)
Mki67	peak_1042 (-331145)
Mkl2	peak_440 (+191588)
Mkln1	peak_921 (-131826)
Mlec	peak_876 (-9822)
Mlph	peak_28 (+13273)
Mmgt2	peak_173 (+25740)
Mobp	peak_1180 (+35236)
Morc2a	peak_136 (-20135), peak_137 (+56126)
Morf4l1	peak_1158 (-10547)
Mpdz	peak_774 (-366632)
Mpo	peak_196 (+8757)
Mrln	peak_99 (-15543)
Mrm1	peak_191 (+38593)
Mro	peak_554 (+71499)
Mrps24	peak_140 (-9201)
Mrps33	peak_923 (+29499)
Msi2	peak_198 (+21692)
Msrb3	peak_129 (+190998)
Mtdh	peak_390 (-45605)
Mtfr2	peak_80 (+52923)
Mtus2	peak_905 (-6352)
Musk	peak_769 (-25445)
Mvb12b	peak_623 (-78773)
Mycn	peak_243 (+131092)
Myh14	peak_1003 (+31256)
Myl10	peak_897 (+21355)
Myl2	peak_883 (+10682)
Myl4	peak_219 (+7238)
Mylk	peak_455 (-39514)
Myo10	peak_387 (+71497), peak_388 (+92159)
Myo18b	peak_872 (+47770)
Myo1f	peak_494 (+30516)
Myod1	peak_1006 (-27454)
Myof	peak_588 (+9926)
Myom2	peak_1053 (+565390)
Myom3	peak_818 (+9407)
Myoz3	peak_546 (+10878)
Myt1l	peak_246 (-237497)
N4bp1	peak_1081 (-152538)
Naa20	peak_654 (-18309)
Naaladl2	peak_700 (-360547)
Nans	peak_765 (+17853)
Nap1l2	peak_1203 (+57092)
Napepld	peak_842 (+25799)
Nav2	peak_1007 (+153708)
Ncoa2	peak_7 (-52961)
Ndrg1	peak_402 (-70647)
Ndst3	peak_735 (-1)
Neurl1a	peak_603 (+61583), peak_604 (+74571)
Neurog2	peak_737 (+7647), peak_738 (+62345)
Nfam1	peak_408 (+46470)
Nfatc2	peak_688 (+18799)
Nfyb	peak_106 (-31597)
Nhsl1	peak_76 (+22459)
Nhsl2	peak_1202 (+104451)
Nkain3	peak_756 (-48481)
Nkx1-1	peak_847 (-9327)
Nmbr	peak_75 (+163283)
Nmur1	peak_24 (+8231)
Noto	peak_936 (-14410)
Npas4	peak_569 (-12131)
Npc1	peak_528 (-32284)
Nphp4	peak_837 (+147444)
Npl	peak_49 (+17878)
Npm1	peak_155 (-17812)
Nr2e1	peak_88 (-7725)
Nr2f1	peak_325 (-159049), peak_324 (+35832)
Nr4a2	peak_626 (+348928)
Nrp2	peak_15 (+80122)
Nrsn2	peak_658 (+7783)
Nucb2	peak_1029 (+288240)
Nudt4	peak_114 (-53036), peak_113 (-41249)
Nufip1	peak_367 (+54225)
Nxn	peak_183 (+33567)
Nyap2	peak_23 (+366989)
Oaz1	peak_104 (+8158)
Ociad2	peak_859 (-21389)
Odc1	peak_244 (+12762)
Odf3l1	peak_1135 (+26124)
Olfm2	peak_1116 (+33692)
Olfr1394	peak_163 (+15259)
Olfr1423	peak_578 (+33227)
Olfr24	peak_1114 (-15658)
Olfr291	peak_1016 (-73927)
Olfr31	peak_338 (-14080)
Olfr545	peak_1022 (-13326)
Olig2	peak_470 (-13992)
Oprd1	peak_811 (+10315)
Osbp2	peak_138 (+101864)
Osbpl7	peak_206 (+14955)
Osbpl9	peak_785 (+45795)
Otub1	peak_574 (+39041), peak_573 (+47600)
Otud1	peak_612 (+252091)
Otud3	peak_826 (-8315)
P2rx4	peak_884 (+17675)
Pabpc1	peak_393 (-60996), peak_392 (-42152)
Paip2b	peak_933 (-35848)
Papd7	peak_321 (+44995)
Papola	peak_278 (+92527)
Paqr3	peak_868 (+23845)
Pard6b	peak_685 (+26148)
Pax2	peak_597 (-62900)
Pax5	peak_762 (+145081)
Pax6	peak_641 (-60043)
Pax9	peak_256 (-10360)
Pcdhb1	peak_537 (-46697)
Pcdhb22	peak_538 (+25797)
Pced1b	peak_421 (-73696)
Pck1	peak_693 (+18969)
Pcmtd1	peak_4 (+117316), peak_5 (+183178)
Pde4dip	peak_725 (+20759)
Pde6a	peak_547 (+38454)
Pdia4	peak_924 (+34114)
Pdp2	peak_1088 (-20533)
Pdxdc1	peak_441 (+34916)
Pear1	peak_714 (-9610)
Pgk1	peak_1205 (-15157)
Pglyrp1	peak_976 (-11122), peak_977 (+8423)
Phactr4	peak_812 (-10246)
Phb	peak_203 (-21873)
Phkb	peak_1080 (+13636)
Phkg1	peak_890 (+12716)
Phldb3	peak_981 (+8459)
Phyhip	peak_363 (+9015)
Pi16	peak_490 (+8445)
Pigb	peak_1152 (+13651)
Pigk	peak_748 (+49523)
Pigm	peak_61 (-6763)
Pigt	peak_675 (+10190), peak_676 (+24879)
Pim3	peak_412 (+13733)
Pimreg	peak_179 (+8830)
Pinx1	peak_357 (-65183)
Pitpnc1	peak_221 (+88043)
Pkdcc	peak_516 (+61216)
Pkp2	peak_442 (-15110)
Pla2g1b	peak_878 (-17111)
Pla2g2c	peak_825 (-46923)
Plb1	peak_846 (+70726)
Plekhm2	peak_829 (-8570)
Plekho1	peak_719 (+10000)
Pllp	peak_1084 (-7741)
Pls1	peak_1159 (+39675)
Pls3	peak_1194 (-139644)
Pmaip1	peak_551 (+51908)
Pmepa1	peak_694 (-64775)
Pmfbp1	peak_1093 (-418621)
Pml	peak_1136 (+14621)
Poll	peak_602 (+18201)
Polr2b	peak_864 (+47366)
Polr3c	peak_723 (+7946)
Pomc	peak_239 (+28031)
Pomp	peak_904 (-34882)
Pon1	peak_915 (+83850)
Pop5	peak_877 (-20021)
Pou5f2	peak_323 (+49595)
Ppp1r15b	peak_38 (+33065), peak_39 (+51303)
Ppp1r1c	peak_637 (+139783)
Ppp1r21	peak_523 (-22002)
Ppp2r3c	peak_255 (-18817)
Pqlc1	peak_563 (+39807)
Prag1	peak_1060 (+52391)
Prdm1	peak_90 (-70208), peak_89 (+77549)
Prelid3a	peak_552 (+7938)
Prex1	peak_683 (-33784), peak_682 (+138358)
Prkab2	peak_724 (+23223)
Prmt5	peak_353 (-9809)
Prph2	peak_507 (-6331)
Prps1l3	peak_257 (-19511)
