# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009O20Rik	peak_1729 (+18758)
Abcc2	peak_1841 (+147774)
Abcc3	peak_682 (-40940)
Abcc5	peak_1403 (+36154)
Abcg2	peak_3034 (+116043)
Abcg3	peak_2857 (-111039), peak_2856 (-39379)
Abhd2	peak_3214 (-45521)
Abra	peak_1304 (-267195), peak_1303 (-67111)
Acaa2	peak_1773 (+35721)
Acaca	peak_670 (+241177)
Acacb	peak_2877 (+64849)
Accsl	peak_1999 (-17299)
Acnat2	peak_2445 (+142186)
Aco1	peak_2432 (-290693), peak_2433 (+62644)
Acod1	peak_1218 (-51279), peak_1219 (-13457)
Acot10	peak_1271 (+129464), peak_1270 (+342665), peak_1269 (+773360)
Acot11	peak_2589 (-11303)
Acot12	peak_1042 (-12883)
Acpp	peak_3604 (+37003)
Acrv1	peak_3517 (-22191)
Acsl4	peak_3805 (-242209)
Acss3	peak_517 (+587848)
Actbl2	peak_1078 (-180250), peak_1079 (+71505)
Actl6a	peak_2148 (-49888)
Actl7b	peak_2465 (+12060), peak_2464 (+874314)
Actl9	peak_1596 (-18686)
Actr3	peak_257 (+463200), peak_256 (+513460)
Actrt1	peak_3672 (+213629), peak_3673 (+648582)
Acvr1	peak_1953 (-80905)
Acvr2a	peak_1934 (-704580), peak_1935 (-235431)
Adam10	peak_3563 (+224944)
Adam2	peak_1171 (+32891)
Adam20	peak_3330 (-17416)
Adam22	peak_2670 (+101992), peak_2669 (+109004), peak_2668 (+199027)
Adam25	peak_3330 (+23649)
Adam26a	peak_3335 (-18638)
Adam29	peak_3350 (+163697)
Adam32	peak_3305 (+8858)
Adam34	peak_3338 (-879271), peak_3337 (-267717), peak_3336 (-81450)
Adam5	peak_3305 (-115880)
Adam6a	peak_871 (+328363), peak_872 (+787136)
Adamts12	peak_1258 (+109778), peak_1259 (+159254)
Adamts15	peak_3511 (+49760)
Adamts19	peak_1751 (+86152), peak_1752 (+278616)
Adamts3	peak_2824 (-70149)
Adamts5	peak_1523 (-824219)
Adamts6	peak_1064 (+366229)
Adamtsl1	peak_2537 (-640530), peak_2538 (-162203), peak_2539 (+415191)
Adcy10	peak_318 (+41316)
Adcy2	peak_996 (-171241), peak_995 (-159593), peak_994 (+99627)
Adcy3	peak_715 (+39794)
Adcy8	peak_1345 (-483724), peak_1344 (-350121), peak_1343 (+393272)
Adcyap1	peak_1688 (-497374), peak_1689 (+90083)
Adgb	peak_360 (+344839)
Adgra1	peak_3270 (+41114)
Adgra3	peak_2748 (-796172), peak_2747 (-260570), peak_2746 (-55344), peak_2745 (+391852), peak_2744 (+514385)
Adgrb3	peak_64 (+238827), peak_63 (+303032), peak_62 (+709925)
Adgre4	peak_1635 (+90648)
Adgrg4	peak_3685 (-82466)
Adgrl3	peak_2803 (-852141), peak_2804 (-832170), peak_2805 (-105194), peak_2806 (+398586), peak_2807 (+891085), peak_2808 (+997659)
Adgrv1	peak_1022 (+47082), peak_1021 (+180334)
Adh4	peak_2311 (-19473)
Adh6b	peak_2311 (+43644)
Adipoq	peak_1408 (+18336), peak_1409 (+33067)
Adnp	peak_2074 (+69647)
Adra1b	peak_627 (-404777)
Adra2a	peak_1863 (+91369)
Adss	peak_333 (-139447)
Aff1	peak_2853 (-90285)
Aff2	peak_3706 (-212969), peak_3707 (-113723), peak_3708 (+212433)
Afm	peak_2825 (-11253)
Afp	peak_2825 (+16942)
Agap1	peak_184 (+11114)
Agbl1	peak_3210 (-232577), peak_3211 (+502741)
Agbl4	peak_2596 (-75645), peak_2597 (+320187), peak_2598 (+847288)
Agfg1	peak_176 (+121045)
Agmo	peak_752 (-80394), peak_753 (+603037)
Agpat4	peak_1553 (-820282), peak_1554 (-618709)
Agr3	peak_746 (-70847)
Agtpbp1	peak_976 (+448685)
Agtr1a	peak_929 (-69821)
Agtr1b	peak_2126 (-565214), peak_2125 (-466669), peak_2124 (-373877), peak_2123 (-256304)
Agtr2	peak_3647 (-222476), peak_3648 (-74637)
Ahi1	peak_374 (-303038), peak_375 (+125320)
Ahr	peak_746 (-319735), peak_745 (+30685)
Aif1l	peak_1909 (+11297)
Aig1	peak_367 (+263744)
Aipl1	peak_658 (+216027)
Ajap1	peak_2659 (+12393)
Ak4	peak_2575 (-91287)
Akain1	peak_1657 (+269366), peak_1658 (+463274), peak_1659 (+710723), peak_1660 (+884507)
Akap11	peak_1189 (-67518)
Akap6	peak_784 (+164301), peak_785 (+334102)
Akr1b7	peak_2998 (+19888)
Akr1c14	peak_884 (+27071)
Akr1c18	peak_884 (+74572)
Akr1d1	peak_3004 (-65394)
Akr1e1	peak_889 (-489465), peak_888 (-454978), peak_887 (-373562), peak_886 (-333706), peak_885 (-204875)
Alcam	peak_1453 (+173075)
Aldh1a1	peak_1815 (-28292)
Aldh1a7	peak_1816 (-27992)
Aldoart1	peak_2504 (-441779), peak_2503 (+139382), peak_2502 (+273116), peak_2501 (+309363), peak_2500 (+449213)
Alg10b	peak_1374 (-31396)
Alg13	peak_3807 (-89449), peak_3808 (-6263)
Alg14	peak_2288 (-11840)
Alk	peak_1662 (-31604)
Alkal2	peak_740 (-197716)
Alkbh8	peak_3466 (-218892), peak_3467 (-189747), peak_3468 (-159788), peak_3469 (+43887)
Alox5	peak_3110 (-19779)
Alpl	peak_2635 (+59980)
Alx1	peak_510 (-185289)
Ambn	peak_2820 (-46264)
Amd2	peak_399 (-564168), peak_398 (-424468), peak_397 (+189806), peak_396 (+791544)
Amelx	peak_3837 (-115343), peak_3836 (+258663)
Amer1	peak_3748 (+111184)
Amer2	peak_1165 (-50579)
Ammecr1	peak_3806 (+251535)
Amn	peak_865 (-34493), peak_866 (+30904)
Amot	peak_3809 (-421040)
Ampd3	peak_3252 (+37231)
Amph	peak_914 (+117007)
Amtn	peak_2820 (+33619)
Anapc4	peak_2750 (+37895)
Anapc7	peak_2894 (-11752)
Ang6	peak_1143 (-61192)
Angpt1	peak_1305 (-464517), peak_1304 (+540062), peak_1303 (+740146)
Angptl1	peak_304 (+83536)
Angptl7	peak_2649 (+41770)
Angptl8	peak_3499 (-19094)
Ank2	peak_2294 (+268039)
Ankfn1	peak_677 (-491455), peak_676 (+26705)
Ankmy2	peak_747 (+41951)
Ankrd16	peak_1878 (+164974), peak_1879 (+199533)
Ankrd36	peak_558 (+64901), peak_559 (+130308)
Ankrd46	peak_1296 (+115696)
Ankrd50	peak_2155 (-277846), peak_2154 (+359466)
Ankrd60	peak_2083 (-55443)
Ankrd63	peak_2022 (+13859)
Ankrd7	peak_2967 (+33776), peak_2968 (+122850)
Ankrd9	peak_864 (-49753)
Anks1	peak_1589 (+159590)
Anks1b	peak_486 (-611742)
Ano4	peak_485 (+211974)
Antxr2	peak_2840 (-12342)
Anxa1	peak_1815 (-182725)
Anxa10	peak_3372 (-532082), peak_3371 (-127348), peak_3370 (-39834)
Anxa5	peak_2153 (+184269)
Aoah	peak_915 (-257526), peak_916 (+66243)
Aox2	peak_129 (+54579)
Ap3b1	peak_1045 (+322960)
Apeh	peak_3613 (-89282)
Api5	peak_2001 (-976144)
Apln	peak_3675 (-19407)
Aplp2	peak_3512 (-14893)
Apob	peak_721 (-866180), peak_722 (-175985), peak_723 (+146374)
Apol7a	peak_1356 (+84717)
Apol7c	peak_1357 (-15973)
App	peak_1522 (-67194), peak_1521 (+230204)
Appbp2	peak_673 (-62509)
Aptx	peak_2434 (+25971)
Aqp4	peak_1699 (-85746)
Ar	peak_3751 (-314844), peak_3752 (-172072), peak_3753 (-45014), peak_3754 (+435021)
Araf	peak_3646 (-86104)
Arap2	peak_2769 (+338709), peak_2768 (+539404)
Arap3	peak_1728 (-70696)
Arfgap2	peak_1996 (+25955)
Arfgap3	peak_1368 (+12245), peak_1367 (+65360)
Arfgef1	peak_23 (-150256)
Arglu1	peak_3287 (-667891), peak_3286 (-278938)
Arhgap10	peak_3409 (-18631)
Arhgap11a	peak_2018 (-9668)
Arhgap15	peak_1929 (+862654)
Arhgap18	peak_385 (+587765)
Arhgap20	peak_3541 (-193880), peak_3542 (-144996)
Arhgap22	peak_1128 (-11105), peak_1129 (+111554)
Arhgap24	peak_2848 (-258538), peak_2849 (-72280), peak_2850 (+124226), peak_2851 (+169806), peak_2852 (+662722)
Arhgap25	peak_3066 (+20060)
Arhgap26	peak_1730 (+75075)
Arhgap28	peak_1655 (+288285)
Arhgap31	peak_1429 (+33296), peak_1428 (+109427)
Arhgap36	peak_3676 (+190288)
Arhgap40	peak_2060 (+26564)
Arhgap42	peak_3480 (-984681), peak_3479 (-306144), peak_3478 (-87165)
Arhgap5	peak_783 (-387800)
Arhgap6	peak_3836 (+133438)
Arhgap8	peak_1371 (+65744)
Arhgef10l	peak_2638 (+81697)
Arhgef18	peak_3274 (-15992)
Arhgef19	peak_2640 (-22560)
Arhgef26	peak_2197 (-893849), peak_2198 (-695553), peak_2199 (-132561)
Arhgef28	peak_1048 (+69418)
Arhgef3	peak_1126 (-36869)
Arhgef37	peak_1753 (-8479)
Arhgef7	peak_3289 (+7899)
Arhgef9	peak_3748 (-167202)
Arid1a	peak_2627 (-34295)
Arid1b	peak_1545 (-646828), peak_1546 (+393285)
Arl1	peak_484 (+8013)
Arl4a	peak_758 (+137740), peak_757 (+208728), peak_756 (+471484), peak_755 (+498260)
Arl6	peak_1468 (-261055), peak_1467 (-252869), peak_1466 (-145051), peak_1465 (-65541)
Arl6ip6	peak_1940 (+138168), peak_1941 (+175264), peak_1942 (+734186), peak_1943 (+799260), peak_1944 (+847842), peak_1945 (+872855)
Armc1	peak_2119 (+147241), peak_2118 (+310035), peak_2117 (+439875)
Armc2	peak_410 (-233122)
Armc3	peak_1893 (-122744)
Arpc3	peak_2894 (+18063)
Arpin	peak_3215 (-58978)
Arpp21	peak_3616 (-302055), peak_3615 (+382440)
Arrdc3	peak_1018 (-859605), peak_1019 (-319036), peak_1020 (-200083), peak_1021 (+569410), peak_1022 (+702662)
Arsj	peak_2293 (-397957)
Arx	peak_3746 (-573984), peak_3747 (-343011)
Asah2	peak_1829 (+124698)
Asap1	peak_1343 (-146105), peak_1342 (+196978)
Asb9	peak_3827 (+62735)
Ascc3	peak_426 (-483350)
Ascl1	peak_483 (+312855), peak_482 (+421673)
Asns	peak_2943 (-6949), peak_2942 (+79167)
Asnsd1	peak_123 (-260867)
Aspg	peak_867 (-107935), peak_868 (-93257), peak_869 (-45709)
Asph	peak_2353 (-54790)
Aspscr1	peak_713 (+14113)
Asrgl1	peak_1804 (-23964)
Astn1	peak_306 (+517397)
Astn2	peak_2485 (-370506), peak_2484 (-313625), peak_2483 (-277485), peak_2482 (-233526), peak_2481 (+326644), peak_2480 (+333650), peak_2479 (+413910), peak_2478 (+581304)
Asxl3	peak_1707 (-96958), peak_1708 (+295865)
Atad2b	peak_718 (+292457)
Atg10	peak_1041 (+57742)
Atg5	peak_413 (+141273)
Atp11b	peak_2151 (-958144), peak_2152 (-622730)
Atp11c	peak_3692 (+203064)
Atp1a1	peak_2263 (+52998), peak_2262 (+216689)
Atp23	peak_551 (+38824), peak_550 (+200543), peak_549 (+705665)
Atp2a2	peak_2895 (-24906)
Atp2b1	peak_495 (-869282), peak_496 (-363922), peak_497 (-325318), peak_498 (+159470)
Atp2c1	peak_3606 (-108842)
Atp2c2	peak_3456 (+33912)
Atp5g3	peak_1977 (-60017)
Atp5j	peak_1521 (-107878)
Atp5o	peak_1535 (+40751), peak_1534 (+103839)
Atp6ap1l	peak_1040 (+241544), peak_1039 (+312439)
Atp6v1c1	peak_1300 (-75111)
Atp6v1g3	peak_272 (+38344)
Atp6v1h	peak_2 (-6120), peak_3 (+87160), peak_4 (+106137), peak_5 (+189448), peak_6 (+267409)
Atp7b	peak_3302 (+70919)
Atp8a1	peak_2776 (-69542)
Atp8a2	peak_1164 (-68886)
Atp8b1	peak_1757 (-214701), peak_1756 (+104642)
Atp8b3	peak_476 (+24845)
Atp9b	peak_1782 (+47363)
Atxn2	peak_2891 (-10730)
Atxn7l1	peak_742 (-138269), peak_743 (-58322)
Atxn7l3b	peak_529 (-460353), peak_528 (+56418), peak_527 (+504213), peak_526 (+605605)
Auh	peak_967 (+49708), peak_966 (+53502), peak_965 (+76605)
Aurkc	peak_3160 (-81634), peak_3161 (-18057)
Auts2	peak_2911 (-649200), peak_2910 (-30763)
Avil	peak_552 (+10745)
Avpr1a	peak_544 (-334785), peak_545 (-57014), peak_546 (+183420)
Awat2	peak_3755 (+117456)
Axin2	peak_699 (+21031)
Azin1	peak_1300 (-67527), peak_1299 (+145003)
B020004C17Rik	peak_1163 (-16269)
B020004J07Rik	peak_2576 (+39853)
B130006D01Rik	peak_686 (+86416)
B3galnt1	peak_2216 (+78521)
B3galnt2	peak_904 (+10373)
B3galt1	peak_1966 (-178078)
B3galt2	peak_286 (-128574)
B3gat1	peak_3509 (-975294)
B3glct	peak_2929 (+327654)
B3gnt2	peak_592 (+213026)
B430305J03Rik	peak_2199 (-839832), peak_2198 (-276840), peak_2197 (-78544)
B4galt1	peak_2435 (-23027)
B930094E09Rik	peak_1721 (-40524)
BC004004	peak_1591 (+39320)
BC005561	peak_2855 (+266591)
BC029722	peak_2056 (+26647)
BC030500	peak_3358 (-925684), peak_3359 (-613161), peak_3360 (-440264)
BC030870	peak_3385 (-707256), peak_3384 (-461384), peak_3383 (-413387), peak_3382 (-324453), peak_3381 (-274067), peak_3380 (-193415), peak_3379 (-168273), peak_3378 (-55187)
BC034090	peak_302 (+214)
BC048403	peak_541 (-32898), peak_542 (+175814), peak_543 (+205101)
BC048507	peak_993 (+651931)
BC052040	peak_2019 (-419232)
Babam2	peak_2720 (+290408)
Bach1	peak_1527 (-81842), peak_1528 (+30838), peak_1529 (+405260)
Bach2	peak_2417 (-163317), peak_2418 (-10836), peak_2419 (+323778)
Bak1	peak_1588 (+33794)
Banf2	peak_2045 (+191573)
Bard1	peak_155 (+116127)
Barhl1	peak_1907 (-100306), peak_1906 (-57784), peak_1905 (-27344)
Barhl2	peak_2860 (+256792), peak_2859 (+434793)
Barx1	peak_956 (+31721), peak_957 (+120035), peak_958 (+185984)
Basp1	peak_1279 (+213397)
Batf	peak_832 (+11500)
Baz1a	peak_787 (+96425)
Baz2b	peak_1956 (+15633), peak_1955 (+37055), peak_1954 (+75522)
Bbox1	peak_2014 (-40476), peak_2013 (+68566)
Bbx	peak_1450 (-87350)
Bcat1	peak_3145 (-56424), peak_3144 (+73888)
Bche	peak_2224 (-762328), peak_2223 (-749830), peak_2222 (-155624), peak_2221 (-148423)
Bcl11a	peak_594 (+204379), peak_595 (+518789), peak_596 (+733545), peak_597 (+803657)
Bcl2l10	peak_3568 (+27933)
Bcl2l13	peak_3117 (+67774)
Bcl2l14	peak_3132 (-27726)
Bcl7c	peak_3266 (+17042)
Bcr	peak_467 (-16676)
Bdkrb2	peak_856 (-94951)
Begain	peak_860 (-163262), peak_859 (+95488)
Bend5	peak_2597 (-697028), peak_2598 (-169927)
Bet1	peak_2934 (-195253)
Bfsp1	peak_2044 (+231361)
Bhlhe40	peak_3093 (-430974), peak_3094 (-387798)
Bhlhe41	peak_3148 (+109493)
Bicd1	peak_3151 (-55267)
Bid	peak_3117 (+12841)
Bin1	peak_1723 (+58115)
Bmp10	peak_3066 (+84181)
Bmp2	peak_2035 (+954014)
Bmp4	peak_1150 (-354843)
Bmp5	peak_3569 (+203681)
Bmp7	peak_2082 (+168931), peak_2081 (+230600), peak_2080 (+304941)
Bmper	peak_3500 (+61516), peak_3501 (+385483), peak_3502 (+461783), peak_3503 (+758847)
Bmpr1b	peak_2318 (+215573)
Bnc2	peak_2535 (+716414), peak_2534 (+924872)
Bod1	peak_611 (+79782)
Bod1l	peak_2732 (-168761), peak_2731 (+62724)
Bpgm	peak_2998 (-43985)
Bpifa2	peak_2054 (+79384)
Bpifa3	peak_2054 (-42687)
Brap	peak_2891 (+40316)
Brd7	peak_3422 (-20279)
Brinp1	peak_2494 (-832730), peak_2493 (-766962), peak_2492 (-474872), peak_2491 (-262372), peak_2490 (-209937), peak_2489 (+286214)
Brinp2	peak_305 (+24583)
Brinp3	peak_292 (-669432), peak_293 (-490346), peak_294 (-470254)
Bsn	peak_3613 (+6496)
Btbd11	peak_478 (+263596)
Btbd7	peak_852 (+10929)
Btbd9	peak_1594 (+92497), peak_1593 (+369385)
Btg1	peak_494 (+57020)
Btg3	peak_1511 (-172293)
Btrc	peak_1844 (+87116)
Bves	peak_415 (+110646)
Bysl	peak_1621 (+65200)
Bzw1	peak_129 (-59993)
C030005K15Rik	peak_497 (-863079), peak_496 (-824475), peak_495 (-319115)
C1d	peak_579 (+260898), peak_580 (+410125)
C1galt1	peak_2943 (-145022), peak_2944 (+80126), peak_2945 (+84190), peak_2946 (+138727)
C1qb	peak_2634 (+24130)
C1ql3	peak_1880 (+66146)
C1qtnf7	peak_2736 (-160127), peak_2737 (-17518)
C1qtnf9	peak_1166 (-76176)
C4b	peak_1598 (+58167)
C6	peak_1245 (-54437), peak_1246 (+48980)
C87414	peak_2835 (-77365), peak_2834 (+27661), peak_2833 (+114387)
CN725425	peak_1375 (+85424)
Cabyr	peak_1697 (-9663)
Cachd1	peak_2572 (-120301), peak_2573 (+226257)
Cacna1g	peak_682 (+40184)
Cacna1h	peak_1584 (+28024)
Cacna2d1	peak_2686 (-127670), peak_2687 (+138303), peak_2688 (+233717)
Cacna2d2	peak_3612 (+73503)
Cacnb2	peak_1886 (+122867)
Cacul1	peak_1871 (-62984), peak_1870 (-21726)
Cacybp	peak_309 (-208485)
Cadm1	peak_3536 (+41833), peak_3537 (+173982)
Cadm2	peak_1488 (-926970), peak_1487 (-313503), peak_1486 (+229663), peak_1485 (+866295)
Cadps	peak_1095 (-294187), peak_1094 (+386099)
Cadps2	peak_2978 (-22750), peak_2977 (+163931)
Calcr	peak_2933 (+117561), peak_2932 (+179400)
Calcrl	peak_1989 (+230320), peak_1988 (+338156)
Calm5	peak_883 (+55926)
Camk2d	peak_2294 (+543814)
Camk4	peak_1724 (+105191)
Camkmt	peak_1679 (+45659)
Camsap3	peak_3275 (+19103)
Camta1	peak_2658 (+459797), peak_2657 (+561095)
Cand1	peak_538 (-530119), peak_537 (-47598), peak_536 (+35398)
Cand2	peak_3108 (+16525)
Cap2	peak_951 (+74168)
Capn1	peak_1800 (-14776)
Capn2	peak_340 (+55611)
Capn3	peak_2024 (+31161)
Capsl	peak_1254 (-79620)
Car10	peak_678 (-404944), peak_679 (+638851), peak_680 (+695977)
Car12	peak_3560 (-74235)
Car2	peak_2110 (+100854)
Car8	peak_2352 (-204261), peak_2351 (-159828), peak_2350 (+47177), peak_2349 (+103271), peak_2348 (+505002), peak_2347 (+610649), peak_2346 (+883722), peak_2345 (+959543)
Carmil1	peak_920 (+252694)
Cartpt	peak_1052 (-108368), peak_1051 (+342488)
Cask	peak_3632 (-343778)
Casp12	peak_3473 (+19706), peak_3474 (+184165)
Casp7	peak_1867 (+12930)
Casp8	peak_130 (+163347)
Casr	peak_1425 (+6822)
Cast	peak_1005 (-28245)
Casz1	peak_2650 (-14172), peak_2651 (+41204)
Catsperb	peak_850 (-299225)
Cav3	peak_3100 (+12908)
Cavin2	peak_119 (+144452)
Cavin4	peak_2444 (+138538)
Cbfa2t2	peak_2055 (+31003)
Cbfb	peak_3443 (-32403)
Cblb	peak_1452 (-302067), peak_1453 (+249450)
Cbln1	peak_3418 (+477752)
Cbr4	peak_3368 (-106859), peak_3369 (+29172)
Cbx4	peak_711 (-42896)
Cbx7	peak_1362 (-48728)
Cc2d1b	peak_2592 (+80625)
Cc2d2a	peak_2738 (+10646)
Ccbe1	peak_1758 (-123302)
Ccdc112	peak_1739 (-44321)
Ccdc115	peak_86 (+22119)
Ccdc122	peak_1185 (+85497)
Ccdc134	peak_1364 (-26506)
Ccdc136	peak_2992 (-8362)
