# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_1	Xkr4 (-181260), Rp1 (+507556)
peak_167	Farsb (+75416), Sgpp2 (+103098)
peak_168	Kcne4 (+309713), Scg2 (+313649)
peak_169	Scg2 (+59089), Kcne4 (+564273)
peak_170	Cul3 (-43270), Dock10 (+374698)
peak_171	Dock10 (-225525), Nyap2 (-93344)
peak_172	Gm9747 (-813069), Nyap2 (+342726)
peak_173	Gm9747 (-734479), Nyap2 (+421316)
peak_174	Gm9747 (-59239)
peak_175	Mff (-21579), Col4a3 (+116335)
peak_176	Slc19a3 (+77920), Agfg1 (+121045)
peak_177	Sphkap (-55349), Pid1 (+821096)
peak_178	Sphkap (-713990), Pid1 (+162455)
peak_179	Pid1 (-95233), Dner (+316343)
peak_180	Pid1 (-167340), Dner (+244236)
peak_181	Gigyf2 (-17438), Efhd1 (+45202)
peak_182	Usp40 (-26721), Ugt1a10 (-20156)
peak_183	Spp2 (-78401), Trpm8 (+21801)
peak_184	Agap1 (+11114), Gbx2 (+465259)
peak_185	Hdac4 (-237839), Ndufa10 (+55680)
peak_186	Sned1 (-45428), Crocc2 (+21688)
peak_187	Pdcd1 (-97945)
peak_188	Pdcd1 (-175807)
peak_189	Pdcd1 (-208217)
peak_190	Fam174a (-918980), Pdcd1 (-342090)
peak_191	Fam174a (-74642)
peak_192	St8sia4 (-115925)
peak_193	St8sia4 (-573452), Slco4c1 (+631148)
peak_194	Slco6c1 (-295332), D1Ertd622e (+238536)
peak_195	Slco6c1 (-384683), D1Ertd622e (+149185)
peak_196	Ppip5k2 (-95160), Pam (+230061)
peak_197	Slco6d1 (-219802), Pam (-105690)
peak_198	Pam (-289628), Slco6d1 (-35864)
peak_199	Slco6d1 (+230200)
peak_200	Cntnap5b (-883081), Slco6d1 (+468560)
peak_201	Cntnap5b (+51402)
peak_202	Cntnap5b (+863558)
peak_203	NONE
peak_204	NONE
peak_205	NONE
peak_206	NONE
peak_207	NONE
peak_208	NONE
peak_209	NONE
peak_210	NONE
peak_211	NONE
peak_212	NONE
peak_213	Cdh20 (-550904)
peak_214	Cdh20 (-488447)
peak_215	Cdh20 (+200989), Rnf152 (+387152)
peak_216	Rnf152 (-211493), Pign (+95499)
peak_217	Phlpp1 (-52108), Zcchc2 (+129238)
peak_218	Serpinb3d (-36815), Serpinb3b (+40793)
peak_219	Serpinb8 (+233219)
peak_220	Serpinb8 (+291732)
peak_221	Serpinb8 (+336546)
peak_222	Serpinb8 (+826593)
peak_223	Cdh7 (-947955)
peak_224	Cdh7 (-915814)
peak_225	Cdh19 (-301222), Dsel (+586333)
peak_226	Cdh19 (-603946), Dsel (+283609)
peak_227	Cdh19 (-648782), Dsel (+238773)
peak_228	Dsel (-355874)
peak_229	Dsel (-973640)
peak_230	NONE
peak_231	NONE
peak_232	NONE
peak_233	NONE
peak_234	Cntnap5a (-913748)
peak_235	Cntnap5a (-875534)
peak_236	Cntnap5a (+114797)
peak_237	Gm28363 (-834955), Gm19965 (+59193)
peak_238	Gm28363 (-529968), Gm19965 (+364180)
peak_239	Gm28363 (-492909), Gm19965 (+401239)
peak_240	Gm28363 (-320470), Gm19965 (+573678)
peak_241	Gm28363 (-262876), Gm19965 (+631272)
peak_242	Gm28363 (-211439), Gm19965 (+682709)
peak_243	Gm28363 (-109597), Gm19965 (+784551)
peak_244	Gm28363 (-13455), Gm19965 (+880693)
peak_245	Gm29106 (-103135), Gm7145 (+107468)
peak_246	Gm29106 (-71793), Gm7145 (+138810)
peak_247	Gm29106 (-48102), Gm7145 (+162501)
peak_248	Tfcp2l1 (-39343), Clasp1 (+199147)
peak_249	Tfcp2l1 (+197425), Gli2 (+228248)
peak_250	Epb41l5 (-95449), Ptpn4 (+93228)
peak_251	Insig2 (+333690), En1 (+391916)
peak_252	Ddx18 (-170116)
peak_253	Ddx18 (-518501)
peak_254	NONE
peak_255	Dpp10 (+188379)
peak_256	Dpp10 (-876528), Actr3 (+513460)
peak_257	Dpp10 (-926788), Actr3 (+463200)
peak_258	Lct (+23569), Ubxn4 (+60587)
peak_259	Thsd7b (-500020), Cxcr4 (-181034)
peak_260	Thsd7b (+64073)
peak_261	Thsd7b (+163150), Cd55b (+986515)
peak_262	Cd55 (-28444), Zp3r (+138433)
peak_263	Cd55 (-137757), Zp3r (+29120)
peak_264	Rab7b (-8450), Ctse (+41939)
peak_265	Elk4 (-29739), Slc45a3 (+7259)
peak_266	Tmcc2 (+30867), Nuak2 (+44288)
peak_267	Plekha6 (-36546), Ppp1r15b (+78417)
peak_268	Mgat4e (+19371), Rabif (+35663)
peak_269	Ipo9 (-48691), Nav1 (+106515)
peak_270	Zfp281 (-35602), Kif14 (+121364)
peak_271	Nr5a2 (-389865), Ptprc (+824954)
peak_272	Atp6v1g3 (+38344), Nek7 (+307667)
peak_273	Nek7 (-169302), Lhx9 (+53378)
peak_274	Dennd1b (+159390), Crb1 (+253978)
peak_275	Cfhr1 (+13578), F13b (+44992)
peak_276	Cfhr1 (-27082), Gm4788 (+193889)
peak_277	Cfhr1 (-89784), Gm4788 (+131187)
peak_278	Cfhr1 (-109595), Gm4788 (+111376)
peak_279	Cfhr1 (-156376), Gm4788 (+64595)
peak_280	Kcnt2 (+71882)
peak_281	Kcnt2 (+410485)
peak_282	Kcnt2 (+476796)
peak_283	Kcnt2 (+773362)
peak_284	Kcnt2 (+943649)
peak_285	NONE
peak_286	B3galt2 (-128574)
peak_287	Trove2 (+6219), Glrx2 (+31292)
peak_288	Uchl5 (+84860), Rgs2 (+142029)
peak_289	Rgs2 (+32636), Uchl5 (+194253)
peak_290	Rgs1 (-71863), Rgs21 (+230459)
peak_291	Rgs18 (-480062)
peak_292	Brinp3 (-669432)
peak_293	Brinp3 (-490346)
peak_294	Brinp3 (-470254)
peak_295	NONE
peak_296	NONE
peak_297	Pdc (-86604), Ptgs2 (+132782)
peak_298	Tpr (-54832), Pdc (+18589)
peak_299	Fam129a (-59178), Rnf2 (-11384)
peak_300	1700025G04Rik (-152013), Tsen15 (+144544)
peak_301	Lamc2 (+32612), Nmnat2 (+198837)
peak_302	BC034090 (+214)
peak_303	Tor1aip1 (-75570), Fam163a (+93029)
peak_304	Ralgps2 (+17289), Angptl1 (+83536)
peak_305	Brinp2 (+24583), Sec16b (+825015)
peak_306	Pappa2 (+78697), Astn1 (+517397)
peak_307	Rfwd2 (-210217), Pappa2 (-63742)
peak_308	Tnn (+7604), 4930523C07Rik (+70814)
peak_309	Cacybp (-208485), Rabgap1l (+371586)
peak_310	Fasl (+61093), Tnfsf18 (+232747)
peak_311	Suco (-55634), Pigc (-36912)
peak_312	Dnm3 (-11752), Mettl13 (+58765)
peak_313	Fmo4 (-6228), Fmo1 (+46710)
peak_314	Gorab (-306734), Mettl11b (+14829)
peak_315	Mettl11b (-46675), Kifap3 (-7676)
peak_316	Sele (-28645), Mettl18 (+24700)
peak_317	Xcl1 (-90688), Tbx19 (+134558)
peak_318	Adcy10 (+41316), Mpzl1 (+108030)
peak_319	Mpzl1 (-33116), Rcsd1 (+40403)
peak_320	Pou2f1 (-98085), Dusp27 (+27159)
peak_321	Pogk (-65608), Gm4846 (+22152)
peak_322	Fmo9 (-230636), Fam78b (-88936)
peak_323	Fmo9 (-257981), Fam78b (-61591)
peak_324	Uck2 (+88311), Fam78b (+195592)
peak_325	Lmx1a (-16530), Rxrg (+74643)
peak_326	Pbx1 (-197923), Nuf2 (+901644)
peak_327	Pbx1 (-288675), Nuf2 (+810892)
peak_328	Olfr16 (+20511), Olfr1408 (+166454)
peak_329	Ifi204 (-26794), Mndal (+86592)
peak_330	Grem2 (-21004), Rgs7 (+549453)
peak_331	Grem2 (-423497), Rgs7 (+146960)
peak_332	Pld5 (-279168), Cep170 (+259601)
peak_333	Adss (-139447), Gm16432 (-55477)
peak_334	Desi2 (-176371), Gm16432 (+19726)
peak_335	Kif26b (-25261), Efcab2 (+97761)
peak_336	Smyd3 (+380972), Kif26b (+607937)
peak_337	Coq8a (+54311), Cdc42bpa (+181124)
peak_338	Srp9 (-59275), Enah (-45814)
peak_339	Srp9 (+13037), Vmn1r1 (+20532)
peak_340	Trp53bp2 (+52741), Capn2 (+55611)
peak_341	Tlr5 (-139216), Susd4 (+50677)
peak_342	Tlr5 (+132485), Disp1 (+134212)
peak_343	Hlx (+98324), Dusp10 (+599914)
peak_344	Rab3gap2 (+43591), Iars2 (+81688)
peak_345	Lyplal1 (-481233), Tgfb2 (+107157)
peak_346	D1Pas1 (+95367), Spata17 (+152682)
peak_347	Cenpf (-29450), Ptpn14 (-10732)
peak_348	Prox1 (-312633), Rps6kc1 (+428423)
peak_349	Ppp2r5a (-14024), Dtl (+164479)
peak_350	Kcnh1 (+253264), Hhat (+327185)
peak_351	Hhat (+192753), Kcnh1 (+387696)
peak_352	Syt14 (-34218), Diexf (+60337)
peak_353	Cd46 (+35315), Cd34 (+118115)
peak_354	Gm10097 (-157216), Esr1 (+299987)
peak_355	Rgs17 (-40981), Gm10945 (+798380)
peak_356	Lrp11 (-97571), Ulbp1 (-18608)
peak_357	Tab2 (-307385), Ust (+255210)
peak_358	Tab2 (-363524), Ust (+199071)
peak_359	Ust (-61968), Sash1 (+305277)
peak_360	Stxbp5 (-183921), Adgb (+344839)
peak_361	Rab32 (-109427), Gm10944 (-13656)
peak_362	Grm1 (+107547), Gm10944 (+293461)
peak_363	Epm2a (+187993)
peak_364	Epm2a (+212134)
peak_365	Utrn (+506399)
peak_366	Utrn (+48200)
peak_367	Pex3 (-52074), Aig1 (+263744)
peak_368	Nmbr (+627035)
peak_369	NONE
peak_370	NONE
peak_371	Cited2 (-902629)
peak_372	Cited2 (-585884)
peak_373	Cited2 (-579508)
peak_374	Ahi1 (-303038), Pde7b (-101181)
peak_375	Myb (+83038), Ahi1 (+125320)
peak_376	Sgk1 (-24401), 1700020N01Rik (+264638)
peak_377	Slc2a12 (-23649), Raet1d (+260810)
peak_378	Tbpl1 (-72570), Tcf21 (+16157)
peak_379	Tcf21 (-39187), Eya4 (+490542)
peak_380	Eya4 (-126021), Rps12 (+311351)
peak_381	Eya4 (-131163), Rps12 (+306209)
peak_382	Eya4 (-151049), Rps12 (+286323)
peak_383	Eya4 (-281507), Rps12 (+155865)
peak_384	Smlr1 (-406961), Tmem200a (+135824)
peak_385	Lama2 (+256601), Arhgap18 (+587765)
peak_386	Lama2 (-424171), Ptprk (-33806)
peak_387	2310057J18Rik (+78506), Themis (+239437)
peak_388	Soga3 (-113495), 2310057J18Rik (-44041)
peak_389	Rnf146 (-78906), Rspo3 (+94519)
peak_390	Rspo3 (-238000), Cenpw (+426693)
peak_391	Rnf217 (-64252)
peak_392	Clvs2 (+132949), Trdn (+408337)
peak_393	Clvs2 (+18819), Trdn (+522467)
peak_394	Clvs2 (-18299), Sult3a2 (+143636)
peak_395	Sult3a1 (-36003), Sult3a2 (-35014)
peak_396	Frk (+436949), Amd2 (+791544)
peak_397	Amd2 (+189806)
peak_398	Amd2 (-424468), Hs3st5 (-370459)
peak_399	Amd2 (-564168), Hs3st5 (-230759)
peak_400	Marcks (-569596)
peak_401	Marcks (-796719), Rfpl4b (+886140)
peak_402	Marcks (-831790), Rfpl4b (+851069)
peak_403	Rfpl4b (+596965)
peak_404	Rfpl4b (+557169)
peak_405	Lama4 (-118665), Rfpl4b (-25071)
peak_406	Mfsd4b5 (-21104), Mfsd4b1 (+17525)
peak_407	Slc16a10 (-70549), Rpf2 (+34233)
peak_408	Gpr6 (+72672), Wasf1 (+115786)
peak_409	Ccdc162 (+41063), Cd164 (+46118)
peak_410	Armc2 (-233122), Foxo3 (+25250)
peak_411	Sec63 (-41980), Ostm1 (+40600)
peak_412	Scml4 (+102190), Sobp (+211970)
peak_413	Prdm1 (+49056), Atg5 (+141273)
peak_414	Prdm1 (-447028), Prep (-161488)
peak_415	Lin28b (+23783), Bves (+110646)
peak_416	Hace1 (+261184)
peak_417	Hace1 (+786839)
peak_418	Hace1 (+802579)
peak_419	NONE
peak_420	NONE
peak_421	NONE
peak_422	NONE
peak_423	NONE
peak_424	Grik2 (+763280)
peak_425	Grik2 (+563786)
peak_426	Ascc3 (-483350), Grik2 (-320553)
peak_427	Vgll2 (-278546), Rfx6 (+66200)
peak_428	Vgll2 (-31189), Rfx6 (+313557)
peak_429	Vgll2 (-23335), Rfx6 (+321411)
peak_430	Slc35f1 (-168956), Nus1 (+104030)
peak_431	Slc35f1 (-41483), Nus1 (+231503)
peak_432	Pln (-386344), Slc35f1 (+260816)
peak_433	Msl3l2 (-602103)
peak_434	Msl3l2 (-75723)
peak_435	Hsf2 (-456870), Gja1 (+650438)
peak_436	Hsf2 (-266939), Gja1 (+840369)
peak_437	Fabp7 (-18637), Pkib (+134263)
peak_438	Gm10322 (-91235), Oit3 (-83050)
peak_439	Gm17455 (+140212), Cdh23 (+156552)
peak_440	Pcbd1 (-225888), Unc5b (-31890)
peak_441	Npffr1 (-15309), Lrrc20 (+104382)
peak_442	Tacr2 (+33710), Hk1 (+93760)
peak_443	Ctnna3 (+205851), Gm10118 (+264073)
peak_444	Gm10118 (+185663), Ctnna3 (+284261)
peak_445	Lrrtm3 (-695342)
peak_446	NONE
peak_447	NONE
peak_448	NONE
peak_449	Reep3 (+830014)
peak_450	Reep3 (+675435)
peak_451	Reep3 (+628052)
peak_452	Reep3 (+514633)
peak_453	Reep3 (+86596)
peak_454	A930033H14Rik (+16728), Tmem26 (+472624)
peak_455	Rhobtb1 (+23288), Cdk1 (+116456)
peak_456	Rhobtb1 (+57295), Cdk1 (+82449)
peak_457	Slc16a9 (-22220), Mrln (+18213)
peak_458	Fam13c (+66115), Phyhipl (+92250)
peak_459	Zwint (-830180), Ipmk (+476879)
peak_460	Zwint (-161799)
peak_461	Pcdh15 (-883826), Zwint (+283162)
peak_462	Pcdh15 (-527024), Zwint (+639964)
peak_463	Pcdh15 (-384111), Zwint (+782877)
peak_464	Gnaz (-831051), Pcdh15 (+314243)
peak_465	Gnaz (-723452), Pcdh15 (+421842)
peak_466	Gnaz (-292072), Pcdh15 (+853222)
peak_467	Bcr (-16676), Rab36 (+6850)
peak_468	Ggt5 (+14927), Susd2 (+39724)
peak_469	Slc5a4a (-29544), Slc5a4b (-6946)
peak_470	Prmt2 (+14930), Slc5a4a (+75455)
peak_471	Dip2a (-29597), Pcnt (+67869)
peak_472	Tspear (-37031), Ube2g2 (+27263)
peak_473	Olfr1354 (-18428), Olfr1355 (+19325)
peak_474	Olfr8 (-10268), Olfr1354 (+27075)
peak_475	Mier2 (-24089), Theg (+8043)
peak_476	Onecut3 (+19444), Atp8b3 (+24845)
peak_477	Nuak1 (+285242), 1500009L16Rik (+432490)
peak_478	Pwp1 (-221421), Btbd11 (+263596)
peak_479	Timp3 (-65750), Fbxo7 (+212650)
peak_480	Nt5dc3 (+17683), Stab2 (+211337)
peak_481	Stab2 (+99080), Nt5dc3 (+129940)
peak_482	1700113H08Rik (+13941), Ascl1 (+421673)
peak_483	1700113H08Rik (+122759), Ascl1 (+312855)
peak_484	Arl1 (+8013), Utp20 (+87723)
peak_485	Slc5a8 (+159624), Ano4 (+211974)
peak_486	Anks1b (-611742), Uhrf1bp1l (+219784)
peak_487	Tmpo (-86599)
peak_488	Tmpo (-160999)
peak_489	Nedd1 (-86927), Cfap54 (+272249)
peak_490	Nedd1 (-338009), Cfap54 (+21167)
peak_491	Tmcc3 (-88071), Ndufa12 (+227782)
peak_492	Cradd (-7871), Socs2 (+84878)
peak_493	Cradd (-28471), Socs2 (+64278)
peak_494	Dcn (-805583), Btg1 (+57020)
peak_495	Atp2b1 (-869282), C030005K15Rik (-319115)
peak_496	C030005K15Rik (-824475), Atp2b1 (-363922)
peak_497	C030005K15Rik (-863079), Atp2b1 (-325318)
peak_498	Poc1b (-32414), Atp2b1 (+159470)
peak_499	Csl (+163911), Dusp6 (+332516)
peak_500	Csl (+159712), Dusp6 (+336715)
peak_501	Csl (+91498), Dusp6 (+404929)
peak_502	Csl (+19450), Dusp6 (+476977)
peak_503	Csl (-131489), Kitl (-124483)
peak_504	Gm4301 (-122964), Kitl (+197082)
peak_505	Mgat4c (-229754), 1700017N19Rik (+859348)
peak_506	Mgat4c (-50642)
peak_507	Nts (+175028), Mgat4c (+633971)
peak_508	Nts (+166310), Mgat4c (+642689)
peak_509	Nts (+57029), Mgat4c (+751970)
peak_510	Alx1 (-185289), Lrriq1 (+21979)
peak_511	Gm21293 (-459384), Slc6a15 (+317090)
peak_512	Gm21293 (-434246), Slc6a15 (+342228)
peak_513	Gm21293 (-389595), Slc6a15 (+386879)
peak_514	Gm21293 (-150925), Slc6a15 (+625549)
peak_515	Tmtc2 (-234895), Ccdc59 (-31737)
peak_516	Ppfia2 (-544827), Mettl25 (-84141)
peak_517	Ppfia2 (+65389), Acss3 (+587848)
peak_518	Lin7a (+94777), Myf5 (+119671)
peak_519	Pawr (-67120), Ppp1r12a (+102601)
peak_520	E2f7 (-520377), Nav3 (-224872)
peak_521	E2f7 (-380934), Nav3 (-364315)
peak_522	Nav3 (-627947), E2f7 (-117302)
peak_523	Csrp2 (-159253), E2f7 (+15068)
peak_524	Zdhhc17 (+23406), Csrp2 (+66871)
peak_525	Krr1 (-377822), Phlda1 (+88556)
peak_526	Kcnc2 (+52269), Atxn7l3b (+605605)
peak_527	Kcnc2 (+153661), Atxn7l3b (+504213)
peak_528	Atxn7l3b (+56418), Kcnc2 (+601456)
peak_529	Atxn7l3b (-460353)
peak_530	Trhde (+269098)
peak_531	Trhde (+265649)
peak_532	Trhde (-234564), Tph2 (+149094)
peak_533	Tph2 (-27178), Tbc1d15 (+39267)
peak_534	Ptprr (+5979), 4933416C03Rik (+89725)
peak_535	Cnot2 (-146767), Myrfl (+168652)
peak_536	Dyrk2 (-335508), Cand1 (+35398)
peak_537	Grip1 (-531859), Cand1 (-47598)
peak_538	Cand1 (-530119), Grip1 (-49338)
peak_539	Hmga2 (+79187), Llph (+170212)
peak_540	Rassf3 (+8417), Gns (+102840)
peak_541	Xpot (-80723), BC048403 (-32898)
peak_542	Srgap1 (+131564), BC048403 (+175814)
peak_543	Srgap1 (+102277), BC048403 (+205101)
peak_544	Avpr1a (-334785), Tmem5 (-16343)
peak_545	Tmem5 (-294114), Avpr1a (-57014)
peak_546	Ppm1h (-46863), Avpr1a (+183420)
peak_547	Mon2 (-8301), Usp15 (+112189)
peak_548	Slc16a7 (-372494), Lrig3 (-264796)
peak_549	Lrig3 (+229430), Atp23 (+705665)
peak_550	Atp23 (+200543), Lrig3 (+734552)
peak_551	Atp23 (+38824), Lrig3 (+896271)
peak_552	Avil (+10745), Tsfm (+19386)
peak_553	Myl6b (-18338), Esyt1 (+8847)
peak_554	Olfr782 (-7699), Olfr781 (+12297)
peak_555	Olfr796 (+18695), Olfr794 (+26220)
peak_556	Neurod4 (-22631), Tespa1 (-20007)
peak_557	Vmn2r85 (-15333), Vmn2r86 (+10949)
peak_558	Ankrd36 (+64901), Mrps24 (+73102)
peak_559	Mrps24 (+7695), Ankrd36 (+130308)
peak_560	Mrps24 (-21234), Urgcp (+12229)
peak_561	Igfbp3 (-656147), Tns3 (+794491)
peak_562	Abca13 (+173019)
peak_563	Vwc2 (-946524), Abca13 (+975757)
peak_564	Vwc2 (-64645)
peak_565	Vwc2 (+34185), Zpbp (+314000)
peak_566	Fignl1 (-47280), Ddc (+41902)
peak_567	Ddc (-68266), Grb10 (+70991)
