# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009O20Rik	peak_540 (-9992)
Adam26a	peak_1061 (-26659)
Adamts2	peak_164 (+190456)
Adamts7	peak_1158 (-37807)
Adcy2	peak_321 (-489328)
Add3	peak_606 (-88312), peak_607 (-34739)
Adgrb2	peak_805 (+15708)
Adgrg6	peak_74 (+562051)
Adgrl1	peak_1077 (-127108)
Adgrl3	peak_865 (+759175)
Adgrv1	peak_326 (+669342)
Adnp	peak_685 (+99960)
Adnp2	peak_561 (-18221)
Adra1b	peak_159 (+125000), peak_158 (+133734)
Adss	peak_64 (-132007)
Aftph	peak_147 (+78759)
Agmat	peak_830 (-11565)
Agtrap	peak_831 (+13128)
Ahctf1	peak_65 (-114272)
Ajap1	peak_837 (+857225)
Ak3	peak_583 (-19142)
Ak4	peak_782 (-126468)
Ak5	peak_747 (+190292)
Akain1	peak_513 (+36416)
Akap1	peak_200 (-8941), peak_199 (+61353)
Akap6	peak_253 (-95088)
Akip1	peak_1028 (-32258)
Alg14	peak_732 (+31607), peak_733 (+63861)
Alg2	peak_766 (+37525)
Alkal1	peak_2 (+23749), peak_3 (+82190)
Alox5ap	peak_912 (-5488)
Alpk1	peak_738 (+85047), peak_737 (+139745)
Alpl	peak_824 (+67115)
Als2cr12	peak_14 (+39712)
Amer3	peak_8 (+56151)
Amotl2	peak_1165 (+74673)
Amph	peak_286 (+317083)
Anapc15-ps	peak_115 (-7000), peak_114 (+56269), peak_113 (+68056)
Ank2	peak_736 (+150849)
Ankar	peak_18 (+59165)
Ankef1	peak_651 (+146833)
Ankrd26	peak_956 (-31502)
Ankrd29	peak_528 (+37027)
Ankrd33	peak_428 (-17340)
Ankrd45	peak_51 (+53169)
Ankrd46	peak_391 (+122247)
Ankrd55	peak_335 (-310019), peak_336 (-135746)
Ankrd66	peak_502 (+8713)
Anks1b	peak_109 (+392547)
Ano1	peak_1047 (+60011)
Ano2	peak_959 (-117317), peak_960 (-86399)
Ano6	peak_417 (-18386)
Anp32a	peak_1140 (+79975), peak_1141 (+128981)
Anp32e	peak_719 (+56755)
Antxr2	peak_869 (+95667)
Apaf1	peak_109 (+113706)
Apbb2	peak_857 (+142182)
Apc	peak_530 (-116983)
Apeh	peak_1174 (-64879)
Aph1c	peak_1148 (+28665)
Apob	peak_241 (-117349)
Apobec4	peak_46 (-20156)
Apof	peak_134 (-6123)
Apon	peak_134 (+8398)
App	peak_467 (+93329)
Aqp11	peak_1017 (-19543)
Arap3	peak_539 (-28039)
Arf1	peak_169 (-36821)
Arf2	peak_217 (+63147), peak_218 (+106123)
Arfgef2	peak_683 (-57972)
Arfgef3	peak_78 (+152288)
Arhgap12	peak_526 (+316378)
Arhgap18	peak_83 (-76839)
Arhgap22	peak_344 (+34133)
Arhgap33	peak_993 (-5942), peak_992 (+8452)
Arhgap36	peak_1190 (+23475)
Arhgap39	peak_403 (-35968)
Arhgap5	peak_253 (+100279)
Arhgef28	peak_330 (+190171)
Arhgef3	peak_342 (-123048)
Arhgef4	peak_8 (-165896)
Arid1b	peak_474 (+275833), peak_475 (+347176)
Arid2	peak_418 (-466885)
Arl11	peak_355 (-34538)
Arl4d	peak_213 (-19329)
Arl8b	peak_950 (-81692)
Armc10	peak_842 (+29716)
Arntl2	peak_971 (-180)
Arrb1	peak_1020 (+44439)
Arrdc3	peak_326 (+80402)
Asb16	peak_214 (+7879)
Asb18	peak_27 (-110031), peak_26 (+22217), peak_25 (+45996)
Asf1a	peak_92 (-16454)
Asic2	peak_187 (-460044)
Asph	peak_752 (-101428)
Ass1	peak_617 (-9060)
Astn2	peak_770 (-338513)
Atf6	peak_59 (+95739)
Atg5	peak_89 (+112780)
Atic	peak_17 (+52159)
Atl2	peak_515 (-122657)
Atp10a	peak_1009 (-259070)
Atp1a1	peak_726 (-108289)
Atp1b3	peak_1160 (-72750)
Atp2b1	peak_116 (-824456)
Atp2b4	peak_41 (+261)
Atp5j	peak_467 (-244753)
Atxn1	peak_305 (+448211)
Atxn7l1	peak_250 (-183182)
Aurkc	peak_972 (-53929), peak_973 (-46820)
Axl	peak_983 (+6860)
Aym1	peak_873 (+15589)
Azin1	peak_395 (+134677)
B3glct	peak_913 (+153283)
B4galt1	peak_759 (-54631), peak_758 (+15292)
B630019K06Rik	peak_1183 (+796)
BC048403	peak_133 (-46739)
BC049352	peak_1128 (-49807)
BC107364	peak_722 (-12171), peak_721 (+11261), peak_720 (+16070)
Baalc	peak_396 (+57673)
Baiap2l2	peak_405 (+14956)
Baz2b	peak_629 (+88502)
Bbs10	peak_120 (+37487)
Bbs5	peak_631 (-11497)
Bbx	peak_462 (+68137), peak_461 (+386273)
Bcar3	peak_734 (+86207)
Bcas1	peak_691 (+138915), peak_690 (+181787)
Bcas3	peak_193 (+39718)
Bcl11a	peak_149 (+227643)
Bcl2a1b	peak_1157 (-11828)
Bcl2a1c	peak_1176 (+38069)
Bcl2l1	peak_660 (+66313)
Bcl2l14	peak_964 (-147363), peak_965 (+43355)
Bcl7c	peak_1038 (+56494)
Bclaf1	peak_79 (-21953)
Bcor	peak_1185 (+274215), peak_1184 (+415102)
Begain	peak_281 (+107770)
Best1	peak_575 (+9243)
Bfsp1	peak_652 (-26981)
Bhlhe40	peak_948 (-95175), peak_949 (-89597), peak_950 (+40778)
Bmp1	peak_363 (+53769)
Bmp2k	peak_868 (+90039)
Bmp8b	peak_795 (-11891)
Bnip3	peak_1043 (-10203)
Bptf	peak_220 (+112759)
Braf	peak_923 (-56026)
Brcc3	peak_1193 (+58840)
Brd1	peak_411 (+71543)
Brf2	peak_1058 (-31802)
Bsn	peak_1174 (+30899)
Bsnd	peak_784 (-37145)
Btaf1	peak_587 (+92538)
Btbd11	peak_107 (+443242)
Btbd16	peak_1041 (-6535)
Btnl9	peak_163 (+17523)
Btrc	peak_599 (-121031), peak_600 (-61566), peak_601 (-46521), peak_602 (+178579)
C030005K15Rik	peak_116 (-363941)
C1qa	peak_821 (-45989)
CK137956	peak_802 (+551480)
Cabp1	peak_877 (-21434), peak_876 (+26380)
Cacna1a	peak_1078 (+143605)
Cacna1c	peak_956 (+514247)
Cacna1s	peak_43 (+52542)
Cacna2d2	peak_1173 (+81489)
Cacng2	peak_404 (+124424)
Cadm1	peak_1132 (-161490)
Calcoco1	peak_429 (-188160)
Calm1	peak_274 (-8251)
Calu	peak_920 (-12081)
Camk2b	peak_141 (+58094)
Camk2d	peak_736 (+661004)
Camkk2	peak_884 (+54163)
Capn10	peak_30 (+22792)
Capn11	peak_504 (+16948)
Capn2	peak_69 (-10853)
Capn8	peak_69 (-36635)
Capn9	peak_1108 (+41741)
Caprin1	peak_640 (-21319)
Car4	peak_192 (+153787)
Car7	peak_1088 (+30111)
Card11	peak_900 (+127549)
Casp3	peak_1063 (+69808)
Casz1	peak_834 (+53704)
Cavin1	peak_211 (+12256)
Cavin3	peak_1025 (+47475)
Cbfb	peak_1089 (-28021)
Cbln1	peak_1081 (+434813)
Cbln4	peak_692 (+500756)
Cbx2	peak_235 (-15140)
Cbx5	peak_435 (+57434)
Cc2d2b	peak_589 (+13089)
Ccdc14	peak_454 (-33153), peak_455 (+54791)
Ccdc162	peak_87 (-83926)
Ccdc175	peak_262 (-118821)
Ccdc177	peak_269 (+29737)
Ccdc180	peak_763 (-21614)
Ccdc182	peak_198 (+402351)
Ccdc184	peak_423 (+13213)
Ccdc54	peak_463 (-142032)
Ccdc57	peak_236 (+30219)
Ccdc59	peak_118 (-40405), peak_119 (-22564)
Ccdc6	peak_99 (+92003)
Ccdc61	peak_977 (+17312)
Ccdc63	peak_883 (+26397)
Ccdc68	peak_553 (-130682)
Ccdc85a	peak_150 (+218623)
Cckbr	peak_1025 (+9094)
Ccl22	peak_1084 (-41571)
Ccm2l	peak_662 (-12264), peak_663 (+15252)
Ccne1	peak_997 (-59802)
Ccnj	peak_589 (-69437)
Ccny	peak_527 (-104746)
Ccpg1	peak_1152 (+40443)
Ccr6	peak_477 (+18466)
Cct6b	peak_189 (+319225), peak_188 (+329366)
Cct7	peak_937 (+32755)
Cd163l1	peak_1044 (+16726)
Cd209c	peak_1049 (-140662)
Cd209f	peak_1049 (+18310)
Cd302	peak_630 (-92102)
Cd47	peak_461 (+190499), peak_462 (+508635)
Cdc23	peak_531 (-28083)
Cdc42bpa	peak_65 (-42633)
Cdca2	peak_362 (+107292)
Cdh20	peak_31 (+225516)
Cdh22	peak_680 (+19485), peak_679 (+23324), peak_678 (+32963), peak_677 (+122240)
Cdh8	peak_1086 (-944097)
Cdhr3	peak_250 (-26458), peak_249 (+63536)
Cdk17	peak_110 (+124010)
Cdk18	peak_37 (-73061)
Cdk5r1	peak_186 (+125956)
Cdk5r2	peak_21 (-50589)
Cdk6	peak_839 (-191656)
Cdkn1c	peak_1046 (+15666)
Cdkn2aip	peak_1066 (-36074)
Cdkn2b	peak_777 (-213359)
Cdrt4	peak_176 (+15931)
Cdyl2	peak_1100 (-130748)
Ceacam1	peak_982 (+55505)
Ceacam19	peak_980 (-24064)
Celf4	peak_529 (+163151)
Cep120	peak_545 (+96476)
Cep135	peak_861 (+280927)
Cep164	peak_1129 (+156184)
Cep19	peak_450 (+25002)
Cep57l1	peak_87 (+119092)
Cep83	peak_112 (-65853)
Cep85l	peak_92 (-200551)
Cept1	peak_730 (-124954)
Ces4a	peak_1089 (+10853)
Cetn1	peak_527 (+64582)
Cfap43	peak_605 (+81450)
Cfap74	peak_838 (+42051)
Cgnl1	peak_1149 (-37613)
Chac2	peak_152 (-183602), peak_151 (-30711)
Chd2	peak_1013 (+131702)
Chd6	peak_672 (-68329)
Chd7	peak_750 (+174700), peak_751 (+445295)
Chdh	peak_343 (+120937)
Chia1	peak_729 (-61000)
Chil5	peak_729 (-19415)
Chrm3	peak_284 (-502419)
Chrna1	peak_635 (+18859)
Chrnb3	peak_1059 (-6636)
Chst1	peak_638 (-69949)
Cisd2	peak_741 (+12953)
Cited4	peak_792 (+31201), peak_793 (+65002)
Ciz1	peak_618 (-34045)
Ckm	peak_979 (+15270)
Cks2	peak_308 (-49763)
Clasp1	peak_34 (+70022)
Clca3a1	peak_744 (+22419)
Cldn24	peak_1066 (-72138)
Cldn3	peak_895 (+14560)
Cldn34b3	peak_1194 (-297707)
Cldn5	peak_443 (-95759), peak_444 (-90016), peak_445 (-80471)
Clec2l	peak_922 (+14077)
Clic4	peak_817 (+66600), peak_816 (+143795)
Clip2	peak_894 (+62825)
Clmp	peak_1123 (+45002)
Clvs1	peak_750 (-403252), peak_751 (-132657)
Clybl	peak_382 (+252721), peak_383 (+269929)
Cmc1	peak_1179 (-239784)
Cmc2	peak_1100 (+57716)
Cmip	peak_1101 (-53058)
Cnn3	peak_732 (-103117), peak_733 (-70863)
Cnot10	peak_1177 (-10821)
Cntn1	peak_415 (-67687)
Cntnap4	peak_1098 (+284092)
Coa4	peak_1021 (+18769)
Cog6	peak_703 (+616475)
Col16a1	peak_805 (-40064)
Col18a1	peak_101 (-64110)
Col26a1	peak_897 (+168588)
Col4a2	peak_1051 (-33367)
Col8a2	peak_798 (-8169)
Colgalt1	peak_1071 (+43893)
Commd3	peak_610 (-85695)
Commd7	peak_664 (+39623)
Coq8a	peak_66 (-30392)
Coro2b	peak_1142 (-13869), peak_1141 (+66734), peak_1140 (+115740)
Cotl1	peak_1103 (+9339)
Cox4i2	peak_660 (+9259)
Cox7a2l	peak_518 (-33249)
Cox8b	peak_1045 (-7418)
Cpeb3	peak_587 (+188845)
Cpeb4	peak_153 (+77220)
Cpm	peak_123 (-238246), peak_124 (-57926), peak_125 (+33500), peak_126 (+54142)
Cpne4	peak_1169 (-160097)
Cpsf6	peak_124 (-194601), peak_123 (-14281)
Cpxm1	peak_648 (+35341)
Crcp	peak_891 (+8731)
Crhr1	peak_217 (-102837), peak_218 (-59861)
Crk	peak_181 (+37208)
Crocc	peak_828 (+27983)
Crtap	peak_1176 (+22471)
Crygn	peak_844 (-21054)
Csl	peak_117 (+405829)
Csmd1	peak_1054 (-434899)
Csrp1	peak_42 (-43677)
Cst7	peak_656 (-44706)
Cstad	peak_615 (+164287)
Ctif	peak_557 (+202803), peak_556 (+296100)
Ctnna3	peak_97 (+126111)
Ctnnbl1	peak_668 (+14728)
Ctrb1	peak_1097 (+10451)
Ctsb	peak_356 (-46287)
Ctsl	peak_316 (+26842)
Cttnbp2nl	peak_728 (+84846)
Cul4b	peak_1189 (+70767)
Cux1	peak_896 (+314711)
Cux2	peak_882 (+136140)
Cwh43	peak_859 (-45694)
Cxcl12	peak_953 (+659284)
Cxcl17	peak_982 (-9182)
Cxcr4	peak_35 (+119942)
Cxx1b	peak_1191 (-46502)
Cxxc5	peak_533 (+43456), peak_534 (+108459)
Cyp26a1	peak_588 (+335843)
Cyp26b1	peak_935 (+13927), peak_934 (+482642)
Cyp2j11	peak_780 (-115446)
Cyp2j13	peak_779 (+95476)
Cyp2j8	peak_780 (+43278)
Cyp4f17	peak_493 (-14083)
Cyp4f39	peak_493 (+23917)
Cyp4v3	peak_1062 (-25229)
Cypt2	peak_1204 (-347413)
Cyth2	peak_1005 (+15563)
D630003M21Rik	peak_669 (+21565)
Dapl1	peak_628 (-136765)
Dars	peak_35 (-54989)
Dbx1	peak_1008 (-25269), peak_1007 (+236297)
Dbx2	peak_417 (-116497)
Dchs1	peak_1026 (+25396)
Dcp1a	peak_343 (-349652)
Dct	peak_376 (-37524)
Dcun1d1	peak_701 (-40832)
Ddhd1	peak_348 (+92035)
Ddi2	peak_830 (-11688)
Ddit4	peak_95 (+8615)
Ddr1	peak_495 (+22358)
Ddx19a	peak_1096 (+47909)
Ddx39	peak_1077 (+57725)
Ddx6	peak_1126 (+41652), peak_1127 (+50662)
Defb42	peak_356 (+29184)
Deptor	peak_399 (-6742)
Dhcr24	peak_784 (-31610)
Dhx35	peak_670 (+44823)
Dhx37	peak_887 (+27702)
Dhx38	peak_1094 (+29584)
Dhx58	peak_210 (+30612)
Dhx9	peak_49 (-44559)
Dio3	peak_282 (+41125)
Dirc2	peak_456 (+109535)
Disc1	peak_1109 (+465724)
Disp3	peak_833 (+16534), peak_832 (+94522)
Dixdc1	peak_1133 (+28829)
Dlat	peak_1133 (-39366)
Dlg3	peak_1201 (-28138)
Dlgap1	peak_513 (-949052), peak_514 (+282971)
Dlgap3	peak_801 (+41170)
Dlgap4	peak_666 (+35100)
Dlx2	peak_632 (-34626)
Dmrt2	peak_581 (-50026)
Dmrt3	peak_581 (+11857)
Dmrta1	peak_777 (-163807)
Dmrta2	peak_786 (+73246)
Dnaaf1	peak_1102 (+12329)
Dnajb1	peak_1076 (+14381)
Dnajb12	peak_94 (-65845), peak_95 (+63644)
Dnajc1	peak_610 (-193859)
Dnajc22	peak_424 (+16073)
Dnajc3	peak_377 (+69372)
Dnase2a	peak_1079 (+20991)
Dnm3	peak_52 (+357641)
Dnmbp	peak_592 (+92402)
Dock3	peak_1172 (+38350)
Dock9	peak_381 (-33073)
Dok2	peak_364 (+7007)
Dok5	peak_692 (+810903)
Drap1	peak_570 (+9374)
Drd3	peak_459 (-51215)
Dscaml1	peak_1129 (+242216)
Dscc1	peak_399 (-15084)
Dsel	peak_32 (-551699)
Dsn1	peak_667 (-33479)
Dstn	peak_652 (-25396)
Dtwd2	peak_544 (+8759)
Dtx4	peak_579 (-16247)
Dupd1	peak_340 (+28658)
Dusp11	peak_938 (+24421)
Dusp15	peak_661 (+7970)
Dusp6	peak_117 (+90598)
Dusp7	peak_1170 (+15599)
Dync1i1	peak_916 (+453548)
Dync1li1	peak_1177 (-37895)
Dynll2	peak_197 (+20315)
Dyrk1a	peak_473 (+143659)
Dyrk1b	peak_985 (+28873)
Dysf	peak_934 (+86607), peak_935 (+555322)
Dzank1	peak_653 (+68130)
E030025P04Rik	peak_223 (-145462), peak_222 (-100511)
ENSMUSG00000112187	peak_248 (-128513)
Ebf2	peak_361 (-45512), peak_362 (+374732)
Ebf4	peak_648 (+66294)
Eda	peak_1200 (-121869)
Edem3	peak_45 (+124233)
Edn3	peak_695 (-87009)
Ednra	peak_1073 (-182834)
Eea1	peak_115 (-260299)
Eef1a1	peak_1156 (-51475), peak_1155 (-46721)
Eef1akmt1	peak_354 (+28053)
Eef2k	peak_1032 (-11883)
Efna1	peak_717 (-20033)
Efna2	peak_103 (+10514)
Efna3	peak_717 (+23287)
Efnb1	peak_1198 (+80800)
Efr3b	peak_239 (+55933)
Egln3	peak_254 (-113077)
Ehd4	peak_644 (+77894)
Eid2	peak_985 (-58742)
Eif3d	peak_404 (-24780)
Elavl4	peak_786 (+235590)
Elf2	peak_702 (-37244)
Elk3	peak_110 (+26235)
Eml4	peak_516 (-74423), peak_517 (-28062)
Emp2	peak_438 (-61053)
Enah	peak_68 (+138243)
Enc1	peak_328 (-16117), peak_329 (+18877)
Enpp6	peak_1064 (+282286)
Enpp7	peak_235 (+19634)
Eomes	peak_1179 (-88383)
Epb41l4a	peak_530 (-96795)
Epdr1	peak_287 (+180746)
Epha8	peak_821 (+12024)
Ephb2	peak_820 (+79694), peak_819 (+197838)
Ephb3	peak_446 (+106496)
Epop	peak_207 (+39864)
Epor	peak_1117 (-17669)
Erap1	peak_322 (-47939)
Erbb4	peak_16 (-269392)
Ercc1	peak_978 (-11660)
Erh	peak_268 (+17100)
Erich1	peak_1052 (+97091)
Espnl	peak_29 (+22072)
Esr2	peak_267 (+24669), peak_266 (+171879)
Esrp1	peak_753 (-68770)
Esrrb	peak_272 (-116034)
Etl4	peak_612 (-380070)
Etnk1	peak_969 (+121674)
Etv6	peak_964 (+213255)
Evx1	peak_927 (-39365)
Exoc7	peak_229 (-13099)
Extl1	peak_814 (+15383)
Eya2	peak_681 (-12585)
Ezh2	peak_924 (-184286)
F2rl3	peak_1072 (-12085)
Fabp5	peak_698 (-38188)
Fabp6	peak_157 (-24993)
Fadd	peak_1047 (-96069)
Faim	peak_1164 (-6566)
Fam105a	peak_389 (-66839)
Fam109a	peak_882 (+64716)
Fam110b	peak_749 (+49659)
Fam110c	peak_248 (+38396)
Fam111a	peak_579 (-49955)
Fam149a	peak_1062 (+23846)
Fam160b1	peak_609 (+50837)
Fam161a	peak_148 (+116660)
Fam178b	peak_11 (+101563)
Fam186b	peak_425 (+25957)
Fam19a4	peak_944 (+182943)
Fam222a	peak_875 (+80326)
Fam35a	peak_345 (+75516)
Fam43a	peak_448 (+57359), peak_449 (+274634)
Fam49a	peak_242 (+62109), peak_243 (+548683)
Fam50b	peak_301 (+7291)
Fam53a	peak_847 (+186319)
Fam71f1	peak_920 (+16868)
Fam83a	peak_400 (-10642)
Fam83g	peak_172 (-13070)
Fasn	peak_236 (-78106)
Fbln5	peak_275 (+82975)
Fbxo11	peak_522 (-186844)
Fbxo16	peak_358 (+65835)
Fbxo2	peak_832 (+32822), peak_833 (+110810)
Fbxo33	peak_259 (-104837)
Fbxo41	peak_937 (+18617)
Fcgr1	peak_721 (-147076), peak_720 (-142267)
Fcgr2b	peak_60 (-22163)
Fcgr4	peak_60 (-20630)
Fcmr	peak_36 (+12550)
Fech	peak_548 (+60536)
Fermt2	peak_348 (-35945)
Fgd2	peak_491 (+55310)
Fgf18	peak_154 (+221463)
Fgf23	peak_961 (+7678)
Fgfr1	peak_1056 (-277860)
Fgg	peak_711 (-12694)
Fggy	peak_778 (-395937)
Fhdc1	peak_713 (+145849)
Fignl2	peak_428 (-19848), peak_427 (+186458)
Fis1	peak_898 (-42798)
Fitm2	peak_674 (-9170)
Fkbp5	peak_489 (+6663), peak_488 (+142441)
Fli1	peak_1120 (+132189)
Flnb	peak_337 (-26377)
Flrt1	peak_574 (-61546), peak_573 (-52987), peak_572 (+38877)
Flt1	peak_904 (-99568), peak_903 (-25253)
Flywch2	peak_485 (-9125)
Fmnl3	peak_426 (-10418)
Fn1	peak_17 (+43866)
Fnbp1l	peak_734 (+113568)
Fosb	peak_978 (-23067)
Foxe1	peak_764 (-140763)
Foxf1	peak_1104 (-111818)
Foxi3	peak_931 (+56603)
Foxj1	peak_229 (+15566)
Foxk1	peak_901 (-81659)
Foxl1	peak_1105 (+92601)
Foxl2	peak_1164 (+24520)
Foxn2	peak_522 (-188576), peak_523 (+67405)
Foxn4	peak_874 (+123856)
Foxo1	peak_703 (+132426)
Foxq1	peak_300 (-570401)
Foxs1	peak_661 (-10278)
Frem2	peak_704 (+131337)
Frmd4b	peak_945 (+175442)
Frmd6	peak_261 (-41209)
Frs2	peak_122 (-26199)
Fry	peak_914 (-64187)
Fth1	peak_575 (+9687)
Fxyd3	peak_994 (-26548)
Fxyd4	peak_955 (-60219)
Fzd10	peak_889 (-48149)
Fzd2	peak_216 (+28682)
Fzd6	peak_396 (-15518)
Gabrb3	peak_1009 (+808014)
Galnt10	peak_167 (+141289)
Galnt16	peak_268 (+108455)
Gan	peak_1101 (+45871)
Gap43	peak_458 (+34280), peak_457 (+149979)
Gas1	peak_315 (+338794)
Gas8	peak_1107 (+124892)
Gata5	peak_696 (-51476)
Gatsl2	peak_892 (+19646)
Gbx2	peak_26 (-61181), peak_25 (-37402)
Gch1	peak_349 (+102019)
Gcm2	peak_303 (+18467)
Gdf6	peak_752 (-73782)
Gdpd2	peak_1201 (+9669)
Gfi1	peak_870 (+37357)
Gfi1b	peak_614 (+28576)
Gfm1	peak_707 (+19881)
Gfra2	peak_364 (-108819)
Gfra3	peak_531 (+40569)
Ggt7	peak_665 (+8942)
Ggta1	peak_624 (+15727)
Gins1	peak_657 (+24192)
Gipc1	peak_1076 (-30103)
Gipc2	peak_746 (+65525)
Gja1	peak_93 (+52528)
Gjb5	peak_802 (-61290)
Gk2	peak_869 (-478274)
Gli3	peak_285 (+295662)
Glod4	peak_183 (-121848)
Glrx5	peak_277 (+30713)
Glt8d2	peak_105 (+23526)
Glyatl3	peak_501 (+9489)
Gm10073	peak_1091 (-384)
Gm10076	peak_374 (+51011)
Gm10118	peak_97 (+343813)
Gm10139	peak_317 (-201591)
Gm10181	peak_1118 (-136648)
Gm10234	peak_943 (-105562)
Gm10260	peak_330 (-255364), peak_329 (+500650)
Gm10295	peak_1012 (-353895)
Gm10300	peak_811 (+59474)
Gm10320	peak_331 (-80486)
Gm10338	peak_337 (-195988)
Gm10384	peak_394 (-75603)
Gm10428	peak_174 (-7176), peak_175 (+3881)
Gm10647	peak_1148 (+9022)
Gm10767	peak_318 (-189494), peak_319 (-97137), peak_320 (-36677)
Gm10837	peak_384 (+209)
Gm10945	peak_72 (+412166)
Gm10999	peak_1112 (-14693)
Gm11042	peak_265 (-573), peak_264 (+31919)
Gm11084	peak_633 (-51334)
Gm11116	peak_866 (-1221)
Gm11492	peak_194 (-120885)
Gm11627	peak_215 (+5858)
Gm11733	peak_230 (-89314), peak_231 (-58348), peak_232 (+39273), peak_233 (+111642)
Gm12728	peak_783 (-195934)
Gm12830	peak_787 (+258)
Gm12888	peak_794 (+93568)
Gm14085	peak_645 (-17636)
Gm14137	peak_643 (+14846)
Gm15023	peak_1206 (+141557)
Gm16286	peak_562 (+29910)
Gm16405	peak_1192 (-556324)
Gm16432	peak_64 (-62917)
Gm1661	peak_789 (+9251), peak_788 (+61779)
Gm17067	peak_1001 (-23539)
Gm17190	peak_327 (-51647)
Gm17332	peak_152 (+12510), peak_151 (+165401)
Gm1979	peak_845 (+235975)
Gm20425	peak_1167 (+17419)
Gm2381	peak_1002 (-11438)
Gm27027	peak_639 (+19914)
Gm29106	peak_33 (-121927)
Gm43517	peak_252 (+16084)
Gm44511	peak_962 (+25580)
Gm4791	peak_1130 (-662362), peak_1131 (-646152), peak_1132 (+369980)
Gm5150	peak_699 (-45558)
Gm5218	peak_406 (+18602)
Gm5225	peak_486 (-7881)
Gm525	peak_201 (+113735)
Gm5346	peak_1061 (+23910)
Gm5447	peak_300 (+11529)
Gm5737	peak_1032 (+18583)
Gm5868	peak_858 (+340)
Gm6096	peak_995 (-9016)
Gm6133	peak_560 (+405661)
Gm7030	peak_496 (-29699)
Gm7145	peak_33 (+88676)
Gm7247	peak_350 (-3343)
Gm815	peak_582 (-40403)
Gm8251	peak_13 (+19623)
Gm8444	peak_407 (+7075)
Gm853	peak_807 (-42076), peak_806 (+22748)
Gm8888	peak_420 (-186213)
Gm8909	peak_497 (-10821), peak_496 (+9413)
Gm9747	peak_23 (-788806)
Gm9772	peak_484 (-73922)
Gm9881	peak_470 (-40157)
