# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_1	Xkr4 (-181260), Rp1 (+507556)
peak_111	Map2 (-341862), Crygf (+53337)
peak_112	Map2 (-44061), Crygf (+351138)
peak_113	Cps1 (+419851)
peak_114	Erbb4 (+702057)
peak_115	Erbb4 (+638601)
peak_116	Erbb4 (+518277)
peak_117	Erbb4 (+509557)
peak_118	Erbb4 (+483408)
peak_119	Vwc2l (-756494), Spag16 (+142233)
peak_120	Vwc2l (-516944), Spag16 (+381783)
peak_121	Vwc2l (-90498), Spag16 (+808229)
peak_122	Bard1 (+116127), Vwc2l (+261304)
peak_123	Smarcal1 (-34999), March4 (-11322)
peak_124	Igfbp2 (-85065), Rpl37a (+28148)
peak_125	Tnp1 (-308396), Tns1 (+800142)
peak_126	Slc4a3 (+765933)
peak_127	Slc4a3 (+805255)
peak_128	Slc4a3 (+913508)
peak_129	Sgpp2 (-63156), Pax3 (-50351)
peak_130	Kcne4 (+309713), Scg2 (+313649)
peak_131	Scg2 (+59089), Kcne4 (+564273)
peak_132	Dock10 (-225525), Nyap2 (-93344)
peak_133	Gm9747 (-813069), Nyap2 (+342726)
peak_134	Gm9747 (-734479), Nyap2 (+421316)
peak_135	Gm9747 (-59239)
peak_136	Mff (-21579), Col4a3 (+116335)
peak_137	Sphkap (-55349), Pid1 (+821096)
peak_138	Sphkap (-713990), Pid1 (+162455)
peak_139	Pid1 (-95233), Dner (+316343)
peak_140	Pid1 (-167340), Dner (+244236)
peak_141	Gigyf2 (-17438), Efhd1 (+45202)
peak_142	Usp40 (-26721), Ugt1a10 (-20156)
peak_143	Hdac4 (-237839), Ndufa10 (+55680)
peak_144	Pdcd1 (-97945)
peak_145	Pdcd1 (-175807)
peak_146	Pdcd1 (-208217)
peak_147	Fam174a (-918980), Pdcd1 (-342090)
peak_148	Fam174a (-74642)
peak_149	St8sia4 (-115925)
peak_150	St8sia4 (-573452), Slco4c1 (+631148)
peak_151	Slco6c1 (-295332), D1Ertd622e (+238536)
peak_152	Ppip5k2 (-95160), Pam (+230061)
peak_153	Slco6d1 (-219802), Pam (-105690)
peak_154	Pam (-289628), Slco6d1 (-35864)
peak_155	Slco6d1 (+230200)
peak_156	Cntnap5b (-883081), Slco6d1 (+468560)
peak_157	Cntnap5b (+51402)
peak_158	Cntnap5b (+863558)
peak_159	NONE
peak_160	NONE
peak_161	NONE
peak_162	NONE
peak_163	NONE
peak_164	NONE
peak_165	NONE
peak_166	NONE
peak_167	NONE
peak_168	Cdh20 (-550904)
peak_169	Cdh20 (-488447)
peak_170	Cdh20 (+200989), Rnf152 (+387152)
peak_171	Rnf152 (-211493), Pign (+95499)
peak_172	Phlpp1 (-52108), Zcchc2 (+129238)
peak_173	Serpinb3d (-36815), Serpinb3b (+40793)
peak_174	Serpinb8 (+233219)
peak_175	Serpinb8 (+291732)
peak_176	Serpinb8 (+336546)
peak_177	Serpinb8 (+826593)
peak_178	Cdh7 (-947955)
peak_179	Cdh7 (-915814)
peak_180	Cdh19 (-301222), Dsel (+586333)
peak_181	Cdh19 (-603946), Dsel (+283609)
peak_182	Cdh19 (-648782), Dsel (+238773)
peak_183	Dsel (-355874)
peak_184	Dsel (-973640)
peak_185	NONE
peak_186	NONE
peak_187	NONE
peak_188	NONE
peak_189	Cntnap5a (-913748)
peak_190	Cntnap5a (-875534)
peak_191	Cntnap5a (+114797)
peak_192	Gm28363 (-834955), Gm19965 (+59193)
peak_193	Gm28363 (-529968), Gm19965 (+364180)
peak_194	Gm28363 (-492909), Gm19965 (+401239)
peak_195	Gm28363 (-320470), Gm19965 (+573678)
peak_196	Gm28363 (-262876), Gm19965 (+631272)
peak_197	Gm28363 (-109597), Gm19965 (+784551)
peak_198	Gm28363 (-13455), Gm19965 (+880693)
peak_199	Gm29106 (-103135), Gm7145 (+107468)
peak_200	Gm29106 (-71793), Gm7145 (+138810)
peak_201	Gm29106 (-48102), Gm7145 (+162501)
peak_202	Tfcp2l1 (-39343), Clasp1 (+199147)
peak_203	Epb41l5 (-95449), Ptpn4 (+93228)
peak_204	Insig2 (+333690), En1 (+391916)
peak_205	Ddx18 (-170116)
peak_206	Ddx18 (-518501)
peak_207	NONE
peak_208	Dpp10 (+188379)
peak_209	Dpp10 (-876528), Actr3 (+513460)
peak_210	Dpp10 (-926788), Actr3 (+463200)
peak_211	Thsd7b (-500020), Cxcr4 (-181034)
peak_212	Thsd7b (+64073)
peak_213	Thsd7b (+163150), Cd55b (+986515)
peak_214	Cd55 (-28444), Zp3r (+138433)
peak_215	Rab7b (-8450), Ctse (+41939)
peak_216	Zfp281 (-35602), Kif14 (+121364)
peak_217	Nr5a2 (-389865), Ptprc (+824954)
peak_218	Atp6v1g3 (+38344), Nek7 (+307667)
peak_219	Nek7 (-169302), Lhx9 (+53378)
peak_220	Dennd1b (+159390), Crb1 (+253978)
peak_221	Cfhr1 (+13578), F13b (+44992)
peak_222	Cfhr1 (-27082), Gm4788 (+193889)
peak_223	Cfhr1 (-89784), Gm4788 (+131187)
peak_224	Cfhr1 (-109595), Gm4788 (+111376)
peak_225	Cfhr1 (-156376), Gm4788 (+64595)
peak_226	Kcnt2 (+71882)
peak_227	Kcnt2 (+410485)
peak_228	Kcnt2 (+476796)
peak_229	Kcnt2 (+773362)
peak_230	Kcnt2 (+943649)
peak_231	NONE
peak_232	B3galt2 (-128574)
peak_233	Uchl5 (+84860), Rgs2 (+142029)
peak_234	Rgs2 (+32636), Uchl5 (+194253)
peak_235	Rgs1 (-71863), Rgs21 (+230459)
peak_236	Rgs18 (-480062)
peak_237	Brinp3 (-669432)
peak_238	Brinp3 (-490346)
peak_239	Brinp3 (-470254)
peak_240	NONE
peak_241	NONE
peak_242	Pdc (-86604), Ptgs2 (+132782)
peak_243	Tpr (-54832), Pdc (+18589)
peak_244	Fam129a (-59178), Rnf2 (-11384)
peak_245	1700025G04Rik (-152013), Tsen15 (+144544)
peak_246	Ralgps2 (+17289), Angptl1 (+83536)
peak_247	Brinp2 (+24583), Sec16b (+825015)
peak_248	Pappa2 (+78697), Astn1 (+517397)
peak_249	Rfwd2 (-210217), Pappa2 (-63742)
peak_250	Tnn (+7604), 4930523C07Rik (+70814)
peak_251	Cacybp (-208485), Rabgap1l (+371586)
peak_252	Dnm3 (-11752), Mettl13 (+58765)
peak_253	Fmo4 (-6228), Fmo1 (+46710)
peak_254	Gorab (-306734), Mettl11b (+14829)
peak_255	Mettl11b (-46675), Kifap3 (-7676)
peak_256	Xcl1 (-90688), Tbx19 (+134558)
peak_257	Adcy10 (+41316), Mpzl1 (+108030)
peak_258	Pogk (-65608), Gm4846 (+22152)
peak_259	Fmo9 (-230636), Fam78b (-88936)
peak_260	Fmo9 (-257981), Fam78b (-61591)
peak_261	Uck2 (+88311), Fam78b (+195592)
peak_262	Pbx1 (-197923), Nuf2 (+901644)
peak_263	Pbx1 (-288675), Nuf2 (+810892)
peak_264	Olfr16 (+20511), Olfr1408 (+166454)
peak_265	Ifi204 (-26794), Mndal (+86592)
peak_266	Grem2 (-21004), Rgs7 (+549453)
peak_267	Grem2 (-423497), Rgs7 (+146960)
peak_268	Pld5 (-279168), Cep170 (+259601)
peak_269	Adss (-139447), Gm16432 (-55477)
peak_270	Desi2 (-176371), Gm16432 (+19726)
peak_271	Kif26b (-25261), Efcab2 (+97761)
peak_272	Smyd3 (+380972), Kif26b (+607937)
peak_273	Hlx (+98324), Dusp10 (+599914)
peak_274	Rab3gap2 (+43591), Iars2 (+81688)
peak_275	Lyplal1 (-481233), Tgfb2 (+107157)
peak_276	D1Pas1 (+95367), Spata17 (+152682)
peak_277	Hhat (+192753), Kcnh1 (+387696)
peak_278	Cd46 (+35315), Cd34 (+118115)
peak_279	Rgs17 (-40981), Gm10945 (+798380)
peak_280	Tab2 (-307385), Ust (+255210)
peak_281	Stxbp5 (-183921), Adgb (+344839)
peak_282	Grm1 (+107547), Gm10944 (+293461)
peak_283	Epm2a (+187993)
peak_284	Epm2a (+212134)
peak_285	Utrn (+506399)
peak_286	Pex3 (-52074), Aig1 (+263744)
peak_287	Nmbr (+627035)
peak_288	NONE
peak_289	NONE
peak_290	Cited2 (-902629)
peak_291	Cited2 (-585884)
peak_292	Cited2 (-579508)
peak_293	Ahi1 (-303038), Pde7b (-101181)
peak_294	Slc2a12 (-23649), Raet1d (+260810)
peak_295	Tbpl1 (-72570), Tcf21 (+16157)
peak_296	Tcf21 (-39187), Eya4 (+490542)
peak_297	Eya4 (-126021), Rps12 (+311351)
peak_298	Eya4 (-131163), Rps12 (+306209)
peak_299	Eya4 (-151049), Rps12 (+286323)
peak_300	Eya4 (-281507), Rps12 (+155865)
peak_301	Smlr1 (-406961), Tmem200a (+135824)
peak_302	Lama2 (+256601), Arhgap18 (+587765)
peak_303	Lama2 (-424171), Ptprk (-33806)
peak_304	2310057J18Rik (+78506), Themis (+239437)
peak_305	Rnf146 (-78906), Rspo3 (+94519)
peak_306	Rspo3 (-238000), Cenpw (+426693)
peak_307	Rnf217 (-64252)
peak_308	Clvs2 (+132949), Trdn (+408337)
peak_309	Clvs2 (+18819), Trdn (+522467)
peak_310	Clvs2 (-18299), Sult3a2 (+143636)
peak_311	Sult3a1 (-36003), Sult3a2 (-35014)
peak_312	Frk (+436949), Amd2 (+791544)
peak_313	Amd2 (+189806)
peak_314	Amd2 (-424468), Hs3st5 (-370459)
peak_315	Amd2 (-564168), Hs3st5 (-230759)
peak_316	Marcks (-569596)
peak_317	Marcks (-796719), Rfpl4b (+886140)
peak_318	Marcks (-831790), Rfpl4b (+851069)
peak_319	Rfpl4b (+596965)
peak_320	Rfpl4b (+557169)
peak_321	Lama4 (-118665), Rfpl4b (-25071)
peak_322	Scml4 (+102190), Sobp (+211970)
peak_323	Prdm1 (-447028), Prep (-161488)
peak_324	Hace1 (+261184)
peak_325	Hace1 (+786839)
peak_326	Hace1 (+802579)
peak_327	NONE
peak_328	NONE
peak_329	NONE
peak_330	NONE
peak_331	NONE
peak_332	Grik2 (+763280)
peak_333	Grik2 (+563786)
peak_334	Ascc3 (-483350), Grik2 (-320553)
peak_335	Vgll2 (-278546), Rfx6 (+66200)
peak_336	Vgll2 (-31189), Rfx6 (+313557)
peak_337	Vgll2 (-23335), Rfx6 (+321411)
peak_338	Slc35f1 (-168956), Nus1 (+104030)
peak_339	Slc35f1 (-41483), Nus1 (+231503)
peak_340	Pln (-386344), Slc35f1 (+260816)
peak_341	Msl3l2 (-602103)
peak_342	Msl3l2 (-75723)
peak_343	Hsf2 (-456870), Gja1 (+650438)
peak_344	Fabp7 (-18637), Pkib (+134263)
peak_345	Ctnna3 (+205851), Gm10118 (+264073)
peak_346	Gm10118 (+185663), Ctnna3 (+284261)
peak_347	Lrrtm3 (-695342)
peak_348	NONE
peak_349	NONE
peak_350	NONE
peak_351	Reep3 (+830014)
peak_352	Reep3 (+675435)
peak_353	Reep3 (+628052)
peak_354	Reep3 (+514633)
peak_355	A930033H14Rik (+16728), Tmem26 (+472624)
peak_356	Rhobtb1 (+23288), Cdk1 (+116456)
peak_357	Slc16a9 (-22220), Mrln (+18213)
peak_358	Zwint (-830180), Ipmk (+476879)
peak_359	Zwint (-161799)
peak_360	Pcdh15 (-883826), Zwint (+283162)
peak_361	Pcdh15 (-527024), Zwint (+639964)
peak_362	Pcdh15 (-384111), Zwint (+782877)
peak_363	Gnaz (-831051), Pcdh15 (+314243)
peak_364	Gnaz (-723452), Pcdh15 (+421842)
peak_365	Gnaz (-292072), Pcdh15 (+853222)
peak_366	Dip2a (-29597), Pcnt (+67869)
peak_367	Olfr1354 (-18428), Olfr1355 (+19325)
peak_368	Olfr8 (-10268), Olfr1354 (+27075)
peak_369	Nuak1 (+285242), 1500009L16Rik (+432490)
peak_370	Pwp1 (-221421), Btbd11 (+263596)
peak_371	Nt5dc3 (+17683), Stab2 (+211337)
peak_372	Stab2 (+99080), Nt5dc3 (+129940)
peak_373	1700113H08Rik (+13941), Ascl1 (+421673)
peak_374	1700113H08Rik (+122759), Ascl1 (+312855)
peak_375	Slc5a8 (+159624), Ano4 (+211974)
peak_376	Anks1b (-611742), Uhrf1bp1l (+219784)
peak_377	Tmpo (-86599)
peak_378	Tmpo (-160999)
peak_379	Nedd1 (-86927), Cfap54 (+272249)
peak_380	Nedd1 (-338009), Cfap54 (+21167)
peak_381	Tmcc3 (-88071), Ndufa12 (+227782)
peak_382	Dcn (-805583), Btg1 (+57020)
peak_383	Atp2b1 (-869282), C030005K15Rik (-319115)
peak_384	C030005K15Rik (-824475), Atp2b1 (-363922)
peak_385	Poc1b (-32414), Atp2b1 (+159470)
peak_386	Csl (+91498), Dusp6 (+404929)
peak_387	Csl (+19450), Dusp6 (+476977)
peak_388	Csl (-131489), Kitl (-124483)
peak_389	Gm4301 (-122964), Kitl (+197082)
peak_390	Mgat4c (-229754), 1700017N19Rik (+859348)
peak_391	Mgat4c (-50642)
peak_392	Nts (+175028), Mgat4c (+633971)
peak_393	Nts (+57029), Mgat4c (+751970)
peak_394	Alx1 (-185289), Lrriq1 (+21979)
peak_395	Gm21293 (-459384), Slc6a15 (+317090)
peak_396	Gm21293 (-389595), Slc6a15 (+386879)
peak_397	Gm21293 (-150925), Slc6a15 (+625549)
peak_398	Tmtc2 (-234895), Ccdc59 (-31737)
peak_399	Ppfia2 (-544827), Mettl25 (-84141)
peak_400	Lin7a (+94777), Myf5 (+119671)
peak_401	Pawr (-67120), Ppp1r12a (+102601)
peak_402	E2f7 (-520377), Nav3 (-224872)
peak_403	E2f7 (-380934), Nav3 (-364315)
peak_404	Kcnc2 (+52269), Atxn7l3b (+605605)
peak_405	Kcnc2 (+153661), Atxn7l3b (+504213)
peak_406	Atxn7l3b (+56418), Kcnc2 (+601456)
peak_407	Atxn7l3b (-460353)
peak_408	Trhde (+269098)
peak_409	Trhde (+265649)
peak_410	Trhde (-234564), Tph2 (+149094)
peak_411	Ptprr (+5979), 4933416C03Rik (+89725)
peak_412	Grip1 (-531859), Cand1 (-47598)
peak_413	Cand1 (-530119), Grip1 (-49338)
peak_414	Hmga2 (+79187), Llph (+170212)
peak_415	Xpot (-80723), BC048403 (-32898)
peak_416	Srgap1 (+131564), BC048403 (+175814)
peak_417	Srgap1 (+102277), BC048403 (+205101)
peak_418	Tmem5 (-294114), Avpr1a (-57014)
peak_419	Ppm1h (-46863), Avpr1a (+183420)
peak_420	Lrig3 (+229430), Atp23 (+705665)
peak_421	Atp23 (+200543), Lrig3 (+734552)
peak_422	Olfr782 (-7699), Olfr781 (+12297)
peak_423	Olfr796 (+18695), Olfr794 (+26220)
peak_424	Neurod4 (-22631), Tespa1 (-20007)
peak_425	Mrps24 (-21234), Urgcp (+12229)
peak_426	Igfbp3 (-656147), Tns3 (+794491)
peak_427	Vwc2 (-946524), Abca13 (+975757)
peak_428	Vwc2 (-64645)
peak_429	Vwc2 (+34185), Zpbp (+314000)
peak_430	Cobl (-441145)
peak_431	Cobl (-851055)
peak_432	Cobl (-914186)
peak_433	NONE
peak_434	NONE
peak_435	NONE
peak_436	NONE
peak_437	Vstm2a (-479555)
peak_438	Sec61g (+122700), Vstm2a (+128060)
peak_439	Ppp3r1 (-60083), Cnrip1 (+47362)
peak_440	C1d (+260898), Etaa1 (+435383)
peak_441	Etaa1 (+286156), C1d (+410125)
peak_442	Etaa1 (-10139)
peak_443	Etaa1 (-98541), Meis1 (+966553)
peak_444	Etaa1 (-244660), Meis1 (+820434)
peak_445	Etaa1 (-343494), Meis1 (+721600)
peak_446	Etaa1 (-669562), Meis1 (+395532)
peak_447	Etaa1 (-682423), Meis1 (+382671)
peak_448	Spred2 (-841849), Meis1 (-63624)
peak_449	Otx1 (+94450), Wdpcp (+334930)
peak_450	Bcl11a (+518789)
peak_451	Bcl11a (+733545)
peak_452	Bcl11a (+803657)
peak_453	Gm6899 (-166901), Fancl (+40205)
peak_454	Gm6899 (-125697), Fancl (+81409)
peak_455	Vrk2 (-138955)
peak_456	Vrk2 (-768881)
peak_457	Vrk2 (-795467)
peak_458	Ccdc85a (+344073)
peak_459	Ccdc85a (+229976)
peak_460	Pnpt1 (-100095), Efemp1 (+177449)
peak_461	Ccdc88a (+65017), Prorsd1 (+76358)
peak_462	4931440F15Rik (-135718), Eml6 (+64647)
peak_463	Eml6 (-47683), Sptbn1 (+194453)
peak_464	Smim23 (-202414), Fgf18 (+120381)
peak_465	Lcp2 (-32886), Kcnmb1 (+51021)
peak_466	Wwc1 (-361873), Tenm2 (+893482)
peak_467	Tenm2 (-777131)
peak_468	NONE
peak_469	NONE
peak_470	Mat2b (+443363)
peak_471	Mat2b (+31440)
peak_472	Ccng1 (-260964), Gabrg2 (+984257)
peak_473	Ccng1 (-356421), Gabrg2 (+888800)
peak_474	Ccng1 (-625801), Gabrg2 (+619420)
peak_475	Ccng1 (-954781), Gabrg2 (+290440)
peak_476	Gabrg2 (+111058)
peak_477	Adra1b (-404777), Il12b (-94076)
peak_478	Sox30 (+33922), Gm12166 (+38079)
peak_479	Timd4 (-43733), Havcr1 (+15899)
peak_480	Timd4 (+100419), Sgcd (+468303)
peak_481	Sgcd (-88773)
peak_482	Sgcd (-414943)
peak_483	Rack1 (-77638)
peak_484	Cdkn2aipnl (-69481), Jade2 (-40527)
peak_485	Glra1 (-62745), Nmur2 (+370444)
peak_486	Gria1 (-808085), Nmur2 (-162715)
peak_487	Nmur2 (-691057), Gria1 (-279743)
peak_488	Nmur2 (-766177), Gria1 (-204623)
peak_489	Fam114a2 (+172745), Gria1 (+334048)
peak_490	Obscn (+11562), Trim11 (+146698)
peak_491	Hs3st3b1 (+116953), Pmp22 (+676355)
peak_492	Dnah9 (-292249), Shisa6 (+65182)
peak_493	Wscd1 (-543268), Nlrp1b (-6652)
peak_494	Olfr380 (-12378), Olfr381 (+21642)
peak_495	Ankfn1 (-491455), Pctp (+92491)
peak_496	Car10 (-404944)
peak_497	Utp18 (+147625), Car10 (+638851)
peak_498	Utp18 (+90499), Car10 (+695977)
peak_499	Phospho1 (-14497), B130006D01Rik (+86416)
peak_500	Tanc2 (+121840), Cyb561 (+232581)
peak_501	Kcnj16 (-218196), Map2k6 (+350715)
peak_502	Kcnj16 (-172194), Map2k6 (+396717)
peak_503	Sdk2 (-562348), Rpl38 (-40043)
peak_504	Aspscr1 (+14113), Cenpx (+26627)
peak_505	Dnmt3a (-181403), Dtnb (+53236)
peak_506	Klhl29 (-109742)
peak_507	Klhl29 (-859361)
peak_508	Apob (-866180)
peak_509	Apob (-175985)
peak_510	Ldah (-84085), Apob (+146374)
peak_511	Nt5c1b (-686380), Osr1 (+109152)
peak_512	Kcns3 (+118968), Rdh14 (+640633)
peak_513	Fam49a (-713518), Rad51ap2 (+92542)
peak_514	Fam49a (+205548), Mycn (+474227)
peak_515	Fam84a (-242577)
peak_516	Fam84a (-569862)
peak_517	Fam84a (-873933), Trib2 (+790798)
peak_518	Trib2 (+438533)
peak_519	Trib2 (+393376)
peak_520	Trib2 (-598791), Lpin1 (+174194)
peak_521	Gm10479 (-788648)
peak_522	Id2 (-650434), Rnf144a (+667680)
peak_523	Sox11 (-561110), Dcdc2c (+644653)
peak_524	Alkal2 (-197716), Tmem18 (+102180)
peak_525	Nampt (-401976), Ccdc71l (+39655)
peak_526	Atxn7l1 (-138269), Cdhr3 (-71371)
peak_527	Prps1l1 (-251125), Hdac9 (-204762)
peak_528	Ahr (-319735), Agr3 (-70847)
peak_529	Lrrc72 (+19137), Ankmy2 (+41951)
peak_530	Lrrc72 (-67107), Sostdc1 (-28830)
peak_531	Ispd (-38260), Sostdc1 (+29120)
peak_532	Meox2 (-623216), D630036H23Rik (-103143)
peak_533	D630036H23Rik (-569805), Meox2 (-156554)
peak_534	Agmo (-80394), Meox2 (+52707)
peak_535	Etv1 (-252531), Dgkb (+646846)
peak_536	Arl4a (+498260), Etv1 (+759087)
peak_537	Arl4a (+471484), Etv1 (+785863)
peak_538	Arl4a (+208728)
peak_539	Arl4a (+137740)
peak_540	NONE
peak_541	NONE
peak_542	NONE
peak_543	NONE
peak_544	NONE
peak_545	Dnajb9 (+479595)
peak_546	Dnajb9 (+461458)
peak_547	Dnajb9 (+281112)
peak_548	Pnpla8 (-38033), Dnajb9 (-20789)
peak_549	Nrcam (+154253), Stxbp6 (+591473)
peak_550	Stxbp6 (+337060), Nrcam (+408666)
peak_551	Stxbp6 (-888031), Nova1 (+856189)
peak_552	Stxbp6 (-970237), Nova1 (+773983)
peak_553	Nova1 (-766705)
peak_554	NONE
peak_555	NONE
peak_556	Foxg1 (-957530)
peak_557	Foxg1 (-372739)
peak_558	Foxg1 (-325240)
peak_559	Foxg1 (-189911)
peak_560	Gm43517 (+316849), Prkd1 (+947075)
peak_561	Prkd1 (-519141), G2e3 (-180049)
peak_562	Arhgap5 (-387800), Nubpl (+18479)
peak_563	Cfl2 (-27205), Baz1a (+96425)
peak_564	Nkx2-1 (-47695), Nkx2-9 (+28681)
peak_565	Sstr1 (-269649), Ttc6 (+366338)
peak_566	Sstr1 (-55155), Ttc6 (+580832)
peak_567	Sstr1 (-17687), Ttc6 (+618300)
peak_568	Clec14a (-230679), Sec23a (+512048)
peak_569	Clec14a (-500616), Sec23a (+242111)
peak_570	Fbxo33 (-278769)
peak_571	NONE
peak_572	NONE
peak_573	Lrfn5 (-369300)
peak_574	Lrfn5 (-154019)
peak_575	Lrfn5 (+104886)
peak_576	Lrfn5 (+181519)
peak_577	Lrfn5 (+239649)
peak_578	Lrfn5 (+652732)
peak_579	Fscb (+782957)
peak_580	Fscb (+565463)
peak_581	Mdga2 (-765564)
peak_582	Rps29 (+752616)
peak_583	Rps29 (+717955)
peak_584	Snapc1 (-11055), Hif1a (+45567)
peak_585	Syt16 (+55602), Gm11042 (+263131)
peak_586	Gphb5 (+37366), Rhoj (+71093)
peak_587	Gm6657 (-418683), Fut8 (+536494)
peak_588	Rgs6 (+172636), Dpf3 (+698135)
peak_589	Dio2 (+656220)
peak_590	Dio2 (-102819), Cep128 (+543152)
peak_591	Dio2 (-539621), Cep128 (+106350)
peak_592	Flrt2 (-837200)
peak_593	Flrt2 (-444218)
peak_594	Flrt2 (-351591)
peak_595	Flrt2 (-106579)
peak_596	Flrt2 (-74465)
