# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1110032F04Rik	peak_1566 (-115438)
Acacb	peak_2063 (+64849)
Accsl	peak_1405 (-17299)
Acnat2	peak_1740 (+142186)
Aco1	peak_1736 (-290693)
Acod1	peak_850 (-51279)
Acot10	peak_890 (+129464), peak_889 (+773360)
Acot12	peak_729 (-12883)
Acrv1	peak_2530 (-22191)
Actbl2	peak_750 (-180250)
Actl7b	peak_1757 (+12060)
Actl9	peak_1123 (-18686)
Actr3	peak_210 (+463200), peak_209 (+513460)
Actrt1	peak_2629 (+213629), peak_2630 (+648582)
Acvr1	peak_1375 (-80905)
Acvr2a	peak_1356 (-704580), peak_1357 (-235431)
Adam10	peak_2553 (+224944)
Adam2	peak_809 (+32891)
Adam20	peak_2380 (-17416)
Adam22	peak_1900 (+109004), peak_1899 (+199027)
Adam25	peak_2380 (+23649)
Adam26a	peak_2385 (-18638)
Adam29	peak_2398 (+163697)
Adam32	peak_2357 (+8858)
Adam34	peak_2388 (-879271), peak_2387 (-267717), peak_2386 (-81450)
Adam5	peak_2357 (-115880)
Adamts12	peak_882 (+159254)
Adamts15	peak_2527 (+49760)
Adamts19	peak_1238 (+86152), peak_1239 (+278616)
Adamts3	peak_2028 (-70149)
Adamts5	peak_1078 (-824219)
Adamts6	peak_740 (+366229)
Adamtsl1	peak_1823 (-640530), peak_1824 (-162203), peak_1825 (+415191)
Adcy10	peak_257 (+41316)
Adcy2	peak_689 (-171241), peak_688 (-159593), peak_687 (+99627)
Adcy8	peak_955 (-483724), peak_954 (-350121), peak_953 (+393272)
Adcyap1	peak_1192 (-497374), peak_1193 (+90083)
Adgb	peak_281 (+344839)
Adgra3	peak_1965 (-796172), peak_1964 (-260570), peak_1963 (-55344), peak_1962 (+391852), peak_1961 (+514385)
Adgrb3	peak_51 (+238827), peak_50 (+303032), peak_49 (+709925)
Adgre4	peak_1154 (+90648)
Adgrg4	peak_2639 (-82466)
Adgrl3	peak_2008 (-852141), peak_2009 (-832170), peak_2010 (-105194), peak_2011 (+398586), peak_2012 (+891085), peak_2013 (+997659)
Adgrv1	peak_711 (+47082), peak_710 (+180334)
Adh4	peak_1637 (-19473)
Adh6b	peak_1637 (+43644)
Adipoq	peak_984 (+18336)
Adnp	peak_1451 (+69647)
Adra1b	peak_477 (-404777)
Adra2a	peak_1311 (+91369)
Adss	peak_269 (-139447)
Aff2	peak_2658 (-212969), peak_2659 (-113723), peak_2660 (+212433)
Agbl1	peak_2291 (+502741)
Agbl4	peak_1868 (-75645), peak_1869 (+320187), peak_1870 (+847288)
Agmo	peak_534 (-80394)
Agpat4	peak_1093 (-820282), peak_1094 (-618709)
Agr3	peak_528 (-70847)
Agtr1b	peak_1488 (-565214), peak_1487 (-466669), peak_1486 (-373877)
Agtr2	peak_2607 (-222476), peak_2608 (-74637)
Ahi1	peak_293 (-303038)
Ahr	peak_528 (-319735)
Aig1	peak_286 (+263744)
Akain1	peak_1171 (+269366), peak_1172 (+463274), peak_1173 (+710723), peak_1174 (+884507)
Akr1b7	peak_2143 (+19888)
Akr1c14	peak_618 (+27071)
Akr1c18	peak_618 (+74572)
Akr1d1	peak_2149 (-65394)
Akr1e1	peak_622 (-489465), peak_621 (-454978), peak_620 (-333706), peak_619 (-204875)
Alcam	peak_1013 (+173075)
Aldh1a1	peak_1280 (-28292)
Aldh1a7	peak_1281 (-27992)
Aldoart1	peak_1792 (-441779), peak_1791 (+139382), peak_1790 (+273116), peak_1789 (+309363), peak_1788 (+449213)
Alg10b	peak_970 (-31396)
Alg13	peak_2739 (-89449)
Alk	peak_1175 (-31604)
Alkal2	peak_524 (-197716)
Alkbh8	peak_2491 (-218892), peak_2492 (-189747), peak_2493 (-159788), peak_2494 (+43887)
Alox5	peak_2223 (-19779)
Alx1	peak_394 (-185289)
Ambn	peak_2024 (-46264)
Amd2	peak_315 (-564168), peak_314 (-424468), peak_313 (+189806), peak_312 (+791544)
Amelx	peak_2762 (+258663)
Amer1	peak_2692 (+111184)
Amer2	peak_807 (-50579)
Ammecr1	peak_2738 (+251535)
Amot	peak_2740 (-421040)
Ampd3	peak_2326 (+37231)
Amph	peak_638 (+117007)
Amtn	peak_2024 (+33619)
Ang6	peak_793 (-61192)
Angpt1	peak_918 (-464517), peak_917 (+540062)
Angptl1	peak_246 (+83536)
Ank2	peak_1623 (+268039)
Ankfn1	peak_495 (-491455)
Ankmy2	peak_529 (+41951)
Ankrd16	peak_1321 (+164974), peak_1322 (+199533)
Ankrd50	peak_1513 (-277846), peak_1512 (+359466)
Ankrd7	peak_2117 (+33776), peak_2118 (+122850)
Ankrd9	peak_609 (-49753)
Anks1b	peak_376 (-611742)
Ano4	peak_375 (+211974)
Antxr2	peak_2041 (-12342)
Anxa1	peak_1280 (-182725)
Anxa10	peak_2419 (-532082), peak_2418 (-127348), peak_2417 (-39834)
Anxa5	peak_1511 (+184269)
Aoah	peak_639 (-257526), peak_640 (+66243)
Api5	peak_1407 (-976144)
Apob	peak_508 (-866180), peak_509 (-175985), peak_510 (+146374)
Apol7c	peak_964 (-15973)
App	peak_1077 (-67194), peak_1076 (+230204)
Aqp4	peak_1198 (-85746)
Ar	peak_2694 (-314844), peak_2695 (-172072), peak_2696 (-45014), peak_2697 (+435021)
Araf	peak_2606 (-86104)
Arap2	peak_1985 (+338709), peak_1984 (+539404)
Arap3	peak_1222 (-70696)
Arfgef1	peak_14 (-150256)
Arglu1	peak_2345 (-667891)
Arhgap11a	peak_1423 (-9668)
Arhgap15	peak_1351 (+862654)
Arhgap18	peak_302 (+587765)
Arhgap20	peak_2541 (-193880), peak_2542 (-144996)
Arhgap24	peak_2044 (-258538), peak_2045 (-72280), peak_2046 (+124226), peak_2047 (+662722)
Arhgap36	peak_2632 (+190288)
Arhgap42	peak_2503 (-984681), peak_2502 (-306144), peak_2501 (-87165)
Arhgap5	peak_562 (-387800)
Arhgap6	peak_2762 (+133438)
Arhgef26	peak_1551 (-893849), peak_1552 (-695553), peak_1553 (-132561)
Arhgef3	peak_779 (-36869)
Arhgef37	peak_1240 (-8479)
Arhgef9	peak_2692 (-167202)
Arid1b	peak_1090 (-646828), peak_1091 (+393285)
Arl4a	peak_539 (+137740), peak_538 (+208728), peak_537 (+471484), peak_536 (+498260)
Arl6	peak_1027 (-261055), peak_1026 (-252869), peak_1025 (-145051), peak_1024 (-65541)
Arl6ip6	peak_1362 (+138168), peak_1363 (+175264), peak_1364 (+734186), peak_1365 (+799260), peak_1366 (+847842), peak_1367 (+872855)
Armc1	peak_1483 (+147241), peak_1482 (+310035), peak_1481 (+439875)
Armc3	peak_1335 (-122744)
Arpp21	peak_2587 (-302055), peak_2586 (+382440)
Arrdc3	peak_707 (-859605), peak_708 (-319036), peak_709 (-200083), peak_710 (+569410), peak_711 (+702662)
Arsj	peak_1622 (-397957)
Arx	peak_2690 (-573984), peak_2691 (-343011)
Asah2	peak_1288 (+124698)
Asap1	peak_953 (-146105)
Asb9	peak_2755 (+62735)
Ascc3	peak_334 (-483350)
Ascl1	peak_374 (+312855), peak_373 (+421673)
Asns	peak_2094 (-6949), peak_2093 (+79167)
Aspg	peak_610 (-45709)
Asph	peak_1670 (-54790)
Aspscr1	peak_504 (+14113)
Asrgl1	peak_1273 (-23964)
Astn1	peak_248 (+517397)
Astn2	peak_1775 (-370506), peak_1774 (-313625), peak_1773 (-277485), peak_1772 (-233526), peak_1771 (+326644), peak_1770 (+333650), peak_1769 (+413910), peak_1768 (+581304)
Asxl3	peak_1206 (-96958), peak_1207 (+295865)
Atg10	peak_728 (+57742)
Atp11b	peak_1510 (-622730)
Atp11c	peak_2645 (+203064)
Atp23	peak_421 (+200543), peak_420 (+705665)
Atp2b1	peak_383 (-869282), peak_384 (-363922), peak_385 (+159470)
Atp2c1	peak_2580 (-108842)
Atp2c2	peak_2484 (+33912)
Atp5j	peak_1076 (-107878)
Atp6ap1l	peak_727 (+241544), peak_726 (+312439)
Atp6v1g3	peak_218 (+38344)
Atp6v1h	peak_2 (-6120), peak_3 (+106137), peak_4 (+267409)
Atp7b	peak_2354 (+70919)
Atp8a1	peak_1987 (-69542)
Atp8a2	peak_806 (-68886)
Atp8b1	peak_1243 (-214701)
Atp9b	peak_1257 (+47363)
Atxn7l1	peak_526 (-138269)
Atxn7l3b	peak_407 (-460353), peak_406 (+56418), peak_405 (+504213), peak_404 (+605605)
Auh	peak_672 (+53502)
Auts2	peak_2071 (-649200), peak_2070 (-30763)
Avpr1a	peak_418 (-57014), peak_419 (+183420)
Awat2	peak_2698 (+117456)
B020004C17Rik	peak_805 (-16269)
B020004J07Rik	peak_1854 (+39853)
B130006D01Rik	peak_499 (+86416)
B3galt2	peak_232 (-128574)
B3gat1	peak_2526 (-975294)
B430305J03Rik	peak_1553 (-839832), peak_1552 (-276840), peak_1551 (-78544)
BC005561	peak_2049 (+266591)
BC029722	peak_1444 (+26647)
BC030500	peak_2406 (-925684), peak_2407 (-613161), peak_2408 (-440264)
BC030870	peak_2431 (-707256), peak_2430 (-461384), peak_2429 (-413387), peak_2428 (-324453), peak_2427 (-274067), peak_2426 (-193415), peak_2425 (-168273), peak_2424 (-55187)
BC048403	peak_415 (-32898), peak_416 (+175814), peak_417 (+205101)
BC052040	peak_1424 (-419232)
Babam2	peak_1942 (+290408)
Bach1	peak_1082 (+30838), peak_1083 (+405260)
Bak1	peak_1121 (+33794)
Banf2	peak_1438 (+191573)
Bard1	peak_122 (+116127)
Barhl2	peak_2052 (+434793)
Barx1	peak_667 (+120035)
Basp1	peak_898 (+213397)
Baz1a	peak_563 (+96425)
Bbox1	peak_1419 (-40476), peak_1418 (+68566)
Bbx	peak_1011 (-87350)
Bcat1	peak_2251 (+73888)
Bche	peak_1574 (-762328), peak_1573 (-749830), peak_1572 (-155624), peak_1571 (-148423)
Bcl11a	peak_450 (+518789), peak_451 (+733545), peak_452 (+803657)
Bcl2l14	peak_2240 (-27726)
Begain	peak_607 (-163262), peak_606 (+95488)
Bend5	peak_1869 (-697028), peak_1870 (-169927)
Bet1	peak_2085 (-195253)
Bfsp1	peak_1437 (+231361)
Bhlhe40	peak_2216 (-387798)
Bicd1	peak_2253 (-55267)
Bmp2	peak_1428 (+954014)
Bmp4	peak_798 (-354843)
Bmp5	peak_2555 (+203681)
Bmper	peak_2517 (+61516), peak_2518 (+385483), peak_2519 (+461783), peak_2520 (+758847)
Bmpr1b	peak_1642 (+215573)
Bnc2	peak_1821 (+716414)
Bod1l	peak_1951 (-168761)
Bpgm	peak_2143 (-43985)
Bpifa2	peak_1443 (+79384)
Bpifa3	peak_1443 (-42687)
Brinp1	peak_1783 (-832730), peak_1782 (-474872), peak_1781 (-262372), peak_1780 (-209937), peak_1779 (+286214)
Brinp2	peak_247 (+24583)
Brinp3	peak_237 (-669432), peak_238 (-490346), peak_239 (-470254)
Btbd11	peak_370 (+263596)
Btg1	peak_382 (+57020)
C030005K15Rik	peak_384 (-824475), peak_383 (-319115)
C1d	peak_440 (+260898), peak_441 (+410125)
C1galt1	peak_2094 (-145022), peak_2095 (+80126), peak_2096 (+84190), peak_2097 (+138727)
C1ql3	peak_1323 (+66146)
C1qtnf7	peak_1955 (-17518)
C6	peak_874 (-54437), peak_875 (+48980)
C87414	peak_2037 (-77365), peak_2036 (+27661), peak_2035 (+114387)
Cabyr	peak_1196 (-9663)
Cachd1	peak_1852 (-120301)
Cacna2d1	peak_1916 (-127670), peak_1917 (+138303), peak_1918 (+233717)
Cacnb2	peak_1329 (+122867)
Cacul1	peak_1316 (-62984), peak_1315 (-21726)
Cacybp	peak_251 (-208485)
Cadm2	peak_1045 (-926970), peak_1044 (-313503), peak_1043 (+229663), peak_1042 (+866295)
Cadps2	peak_2128 (-22750), peak_2127 (+163931)
Calcr	peak_2084 (+117561), peak_2083 (+179400)
Calcrl	peak_1398 (+230320), peak_1397 (+338156)
Camk2d	peak_1623 (+543814)
Camk4	peak_1219 (+105191)
Cand1	peak_413 (-530119), peak_412 (-47598)
Cap2	peak_664 (+74168)
Car10	peak_496 (-404944), peak_497 (+638851), peak_498 (+695977)
Car12	peak_2551 (-74235)
Car2	peak_1474 (+100854)
Car8	peak_1669 (-204261), peak_1668 (-159828), peak_1667 (+47177), peak_1666 (+505002), peak_1665 (+610649), peak_1664 (+883722), peak_1663 (+959543)
Carmil1	peak_642 (+252694)
Cask	peak_2594 (-343778)
Casp12	peak_2497 (+19706)
Casp7	peak_1312 (+12930)
Cast	peak_696 (-28245)
Cavin2	peak_97 (+144452)
Cavin4	peak_1739 (+138538)
Cblb	peak_1012 (-302067), peak_1013 (+249450)
Cbln1	peak_2457 (+477752)
Cbr4	peak_2416 (+29172)
Cc2d1b	peak_1865 (+80625)
Ccdc115	peak_72 (+22119)
Ccdc122	peak_819 (+85497)
Ccdc134	peak_967 (-26506)
Ccdc150	peak_99 (+14863), peak_100 (+136368)
Ccdc171	peak_1820 (+42010), peak_1821 (+433127)
Ccdc178	peak_1206 (-76735)
Ccdc34	peak_1418 (+219358)
Ccdc50	peak_989 (+346928)
Ccdc54	peak_1011 (+71414)
Ccdc59	peak_398 (-31737)
Ccdc70	peak_2354 (+18790)
Ccdc71l	peak_525 (+39655)
Ccdc7a	peak_2489 (+35431), peak_2488 (+116293), peak_2487 (+252153)
Ccdc7b	peak_2490 (+56916)
Ccdc81	peak_2305 (+144567)
Ccdc85a	peak_459 (+229976), peak_458 (+344073)
Ccdc88a	peak_461 (+65017)
Ccdc90b	peak_2307 (-489069)
Ccl25	peak_2337 (+30564)
Ccng1	peak_475 (-954781), peak_474 (-625801), peak_473 (-356421), peak_472 (-260964)
Ccng2	peak_2033 (+84707), peak_2034 (+114647)
Ccnh	peak_717 (-748202), peak_718 (-354546)
Ccnl1	peak_1559 (+202445)
Ccser2	peak_785 (+372246), peak_784 (+423253)
Cd109	peak_2559 (+638761), peak_2560 (+787561)
Cd180	peak_734 (-272101), peak_735 (-201441)
Cd2	peak_1599 (-75592)
Cd209a	peak_2336 (-44930)
Cd209e	peak_2336 (+60395)
Cd226	peak_1265 (+172939)
Cd34	peak_278 (+118115)
Cd36	peak_1922 (-59704)
Cd46	peak_278 (+35315)
Cd55	peak_214 (-28444)
Cd55b	peak_213 (+986515)
Cd83	peak_662 (+624992)
Cdc5l	peak_1141 (+406672)
Cdca8	peak_1881 (+37143)
Cdh10	peak_886 (-89079), peak_887 (+759965), peak_888 (+805855)
Cdh11	peak_2474 (-975914), peak_2473 (+637379)
Cdh12	peak_891 (+150577), peak_892 (+231084)
Cdh13	peak_2483 (-305408)
Cdh18	peak_893 (-548460), peak_894 (-224743)
Cdh19	peak_182 (-648782), peak_181 (-603946), peak_180 (-301222)
Cdh2	peak_1201 (-825699), peak_1200 (-152503), peak_1199 (+520134)
Cdh20	peak_168 (-550904), peak_169 (-488447), peak_170 (+200989)
Cdh26	peak_1453 (+343817), peak_1454 (+746783)
Cdh4	peak_1453 (-668007), peak_1454 (-265041)
Cdh5	peak_2474 (-340069)
Cdh7	peak_178 (-947955), peak_179 (-915814)
Cdh8	peak_2471 (-864705), peak_2470 (-443720), peak_2469 (+571030), peak_2468 (+717120), peak_2467 (+987266)
Cdh9	peak_884 (-869410), peak_885 (-656260)
Cdhr3	peak_526 (-71371)
Cdk1	peak_356 (+116456)
Cdk14	peak_1894 (+436232)
Cdk5rap2	peak_1783 (+623316), peak_1782 (+981174)
Cdk6	peak_1893 (-279084)
Cdkn2aipnl	peak_484 (-69481)
Cdkn2b	peak_1833 (-307775)
Cdkn2c	peak_1866 (+64602)
Cdkn3	peak_798 (-15029)
Cdo1	peak_1231 (+35223)
Cdr1	peak_2648 (-80526), peak_2647 (-73090)
Cdyl	peak_653 (-603031)
Ceacam12	peak_2271 (+42197)
Ceacam5	peak_2269 (-329536), peak_2270 (-18329)
Celf4	peak_1211 (-942712)
Cenpq	peak_1136 (-979504), peak_1135 (-758027), peak_1134 (-30373)
Cenpw	peak_306 (+426693)
Cenpx	peak_504 (+26627)
Cep126	peak_2500 (-243343), peak_2499 (-186262)
Cep128	peak_591 (+106350), peak_590 (+543152)
Cep170	peak_268 (+259601)
Cep44	peak_2399 (+200296)
Cers4	peak_2337 (-113047)
Cers6	peak_1385 (-163280)
Ces1f	peak_2459 (-19294)
Ces1g	peak_2459 (+38267)
Ces1h	peak_2460 (-105859)
Ces2a	peak_2475 (-38489), peak_2476 (+91386)
Ces2b	peak_2476 (-6183)
Ces5a	peak_2461 (-48931), peak_2460 (+50123)
Cetn3	peak_712 (+552421), peak_713 (+745969), peak_714 (+911381)
Cfap53	peak_1252 (+144453)
Cfap54	peak_380 (+21167), peak_379 (+272249)
Cfap69	peak_1895 (+33471)
Cfhr1	peak_225 (-156376), peak_224 (-109595), peak_223 (-89784), peak_222 (-27082), peak_221 (+13578)
Cfl2	peak_563 (-27205)
Cga	peak_1725 (+148578)
Cggbp1	peak_1036 (+148428), peak_1037 (+195646), peak_1038 (+210212)
Chil6	peak_1605 (-8162)
Chl1	peak_2207 (+71183), peak_2208 (+208432)
Chm	peak_2711 (-64980), peak_2710 (+345207)
Chmp2b	peak_1039 (-189047)
Chmp7	peak_811 (-16889)
Chordc1	peak_2512 (-435736), peak_2513 (-318406)
Chrm2	peak_2146 (-610059), peak_2147 (-298706), peak_2148 (+108990)
Chrm3	peak_628 (+58714)
Chst7	peak_2604 (-407816), peak_2605 (-228142)
Chst9	peak_1198 (+228616)
Chsy3	peak_1238 (-252485), peak_1239 (-60021)
Cidea	peak_1245 (-12302)
Cited2	peak_290 (-902629), peak_291 (-585884), peak_292 (-579508)
Ckmt2	peak_730 (+61863)
Clasp1	peak_202 (+199147)
Cldn1	peak_987 (+243392)
Cldn17	peak_1084 (-20330)
Cldn34a	peak_2746 (-39369)
Cldn34b3	peak_2665 (-312978), peak_2666 (-27624)
Cldn34c1	peak_2721 (-77516)
Cldn34c4	peak_2726 (-865826)
Cldn8	peak_1084 (+35875)
Clec14a	peak_569 (-500616), peak_568 (-230679)
Clec4a4	peak_2230 (+52449)
Clec4b1	peak_2230 (-7182)
Clic5	peak_1140 (-73895)
Clmp	peak_2538 (-193699)
Cln8	peak_2346 (-691769)
Clnk	peak_1948 (-843674), peak_1947 (-699922), peak_1946 (-161527), peak_1945 (+38655)
Clrn1	peak_1547 (-102625), peak_1546 (+32679), peak_1545 (+122713)
Clstn2	peak_2577 (-216914)
Clvs2	peak_310 (-18299), peak_309 (+18819), peak_308 (+132949)
Cmklr1	peak_2061 (+18723)
Cnbd1	peak_1702 (-67617), peak_1701 (-27009), peak_1700 (+175679), peak_1699 (+515624), peak_1698 (+694246), peak_1697 (+900734)
Cnep1r1	peak_2458 (-81044)
Cnga2	peak_2661 (+115393)
Cngb3	peak_1701 (-131315), peak_1702 (-90707)
Cnksr2	peak_2753 (-826602), peak_2752 (-557597), peak_2751 (-69291)
Cnot6l	peak_2040 (+41908)
Cnrip1	peak_439 (+47362)
Cntln	peak_1822 (+150880)
Cntn3	peak_2206 (+531656), peak_2205 (+811513)
Cntn4	peak_2209 (-215288), peak_2210 (-14755), peak_2211 (+719848)
Cntn5	peak_2507 (-747291), peak_2506 (-512408), peak_2505 (-236084), peak_2504 (+346548), peak_2503 (+680993)
Cntn6	peak_2207 (-910671), peak_2208 (-773422), peak_2209 (+969535)
Cntnap2	peak_2154 (-639539), peak_2155 (-500697), peak_2156 (-328668), peak_2157 (+426028)
Cntnap3	peak_683 (+254698)
Cntnap4	peak_2479 (-86676), peak_2480 (+81774), peak_2481 (+227696), peak_2482 (+262945)
Cntnap5a	peak_189 (-913748), peak_190 (-875534), peak_191 (+114797)
Cntnap5b	peak_156 (-883081), peak_157 (+51402), peak_158 (+863558)
Cntnap5c	peak_1155 (-110461), peak_1156 (-70568), peak_1157 (+204455), peak_1158 (+401518), peak_1159 (+555219)
Cobl	peak_432 (-914186), peak_431 (-851055), peak_430 (-441145)
Cog6	peak_1533 (+579931)
Col11a1	peak_1612 (-360804), peak_1613 (-183454)
Col12a1	peak_2560 (+315411), peak_2559 (+464211)
Col19a1	peak_48 (+91091)
Col1a2	peak_2085 (-223268)
Col28a1	peak_2097 (+209048), peak_2096 (+263585), peak_2095 (+267649)
Col3a1	peak_81 (-352367), peak_82 (-145653), peak_83 (-105716)
Col4a3	peak_136 (+116335)
Col5a2	peak_84 (-151142)
Col8a1	peak_1020 (-484905), peak_1019 (-250570)
Col9a1	peak_48 (+318771)
Colec10	peak_940 (+40018)
Commd3	peak_1333 (-195360), peak_1334 (-115333)
Commd8	peak_1995 (+336536)
Corin	peak_1996 (-38271)
Cox18	peak_2028 (+270888)
Cox6c	peak_913 (-53933), peak_912 (+302388)
Cox7b2	peak_1994 (-8067), peak_1993 (+22840), peak_1992 (+158913), peak_1991 (+228754)
Cox7c	peak_722 (-543707), peak_721 (-241508), peak_720 (+111246), peak_719 (+200764)
Cpa6	peak_14 (+337019)
Cpe	peak_2422 (+129820)
Cpeb2	peak_1953 (-226689), peak_1954 (-162147), peak_1955 (+264850)
Cpne4	peak_2579 (+278930)
Cpq	peak_909 (+529817)
Cps1	peak_113 (+419851)
Crb1	peak_220 (+253978)
Crbn	peak_2212 (-303015)
Creb3l2	peak_2149 (-22633)
Creb5	peak_2165 (-105078)
Crim1	peak_1179 (-967833), peak_1180 (-371017), peak_1181 (-124554)
Crisp1	peak_1133 (-145134), peak_1132 (-52621)
Crisp3	peak_1131 (+24001)
Crisp4	peak_32 (+67670), peak_31 (+223025), peak_30 (+241955)
Crispld1	peak_28 (-41349), peak_29 (-21836), peak_30 (+176859), peak_31 (+195789), peak_32 (+351144)
