# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1110032F04Rik	peak_127 (-147220)
Olfr161	peak_81 (+98873)
Olfr291	peak_191 (-73927)
Olfr464	peak_39 (-46256)
Onecut2	peak_98 (+88166)
Oprd1	peak_156 (+10315)
Osbp	peak_106 (+42246)
Otub1	peak_104 (+39041)
Pax5	peak_138 (+236957)
Pcdha1	peak_96 (-128112)
Pcdhb22	peak_97 (+25797)
Pcmtd1	peak_2 (+117316), peak_3 (+183178)
Pde1a	peak_115 (+281376)
Pglyrp1	peak_187 (-11122)
Phkb	peak_206 (+13636)
Phlda1	peak_29 (+276248)
Pja1	peak_228 (-235354)
Pkp4	peak_113 (+187038)
Pla2g1b	peak_168 (-17111)
Plekhd1	peak_57 (+38359)
Pllp	peak_207 (-7741)
Plpp3	peak_147 (+436588)
Pls1	peak_222 (+39675)
Pmaip1	peak_100 (+51908)
Poll	peak_110 (+18201)
Polr2b	peak_166 (+47366)
Pou5f2	peak_66 (+49595)
Ppp1r1c	peak_115 (+139783)
Ppp1r3c	peak_108 (-80550)
Ppp2r5c	peak_59 (-165666)
Prdm13	peak_135 (+858915)
Prmt5	peak_71 (-9809)
Psd2	peak_95 (-26553)
Ptprt	peak_119 (-247495)
Ptpru	peak_155 (+737214)
Pwwp2a	peak_34 (-55465)
Rab11fip5	peak_179 (-34842)
Rabl2	peak_77 (-29717)
Rack1	peak_35 (-20667)
Rax	peak_99 (+13929)
Rbm4b	peak_103 (-17408)
Rgma	peak_190 (+34524)
Rgs17	peak_21 (-427195)
Rhd	peak_158 (+14902)
Rheb	peak_159 (+63562)
Rmi2	peak_82 (+8771)
Robo1	peak_85 (-739754)
Rpia	peak_177 (+703715)
Rybp	peak_182 (-282879)
S1pr1	peak_132 (+72916)
Samd12	peak_76 (-81590)
Samd4	peak_69 (+204540)
Sarm1	peak_37 (+8575)
Schip1	peak_126 (+612640)
Scn4b	peak_216 (+7564)
Scn8a	peak_79 (+21426)
Sel1l3	peak_162 (-44961)
Sema4c	peak_5 (-24094)
Sema5b	peak_84 (+118250)
Sept9	peak_47 (+226359)
Sh3glb1	peak_133 (-18099)
Sh3pxd2a	peak_111 (+211020)
Shcbp1l	peak_14 (-79281)
Shq1	peak_182 (+100793)
Skp1a	peak_36 (-8002)
Slc15a1	peak_74 (+48815)
Slc15a3	peak_105 (+16527)
Slc25a13	peak_174 (+37834)
Slc25a2	peak_97 (+95077)
Slc28a2	peak_116 (+40828)
Slc30a2	peak_157 (+13969)
Slc46a1	peak_37 (+23186)
Slc7a13	peak_134 (-51899)
Slco5a1	peak_4 (+125921)
Smad3	peak_218 (-196521)
Smad6	peak_219 (-28257), peak_218 (+67544)
Smad7	peak_101 (+34067)
Smim20	peak_162 (-8725)
Smu1	peak_137 (-80790)
Smug1	peak_80 (+98052)
Spata4	peak_200 (+16315)
Spire2	peak_211 (+21099)
Spred2	peak_32 (-95639)
Sptbn2	peak_103 (+27955)
Srcin1	peak_41 (-14623)
Srrm2	peak_89 (-8015)
Srsf6	peak_119 (-22886)
St18	peak_1 (-104264)
St3gal2	peak_210 (+29969)
Stard3nl	peak_62 (-43324), peak_61 (+130300)
Stim2	peak_163 (+975941)
Stk24	peak_74 (-77105)
Stoml3	peak_124 (+37291)
Sulf1	peak_4 (+172937)
Syne2	peak_56 (+334272)
Sypl	peak_51 (+75448)
Syt10	peak_77 (+220220)
Tagln2	peak_18 (-9540)
Tbx19	peak_16 (+141895)
Tbx20	peak_214 (-178490)
Tc2n	peak_58 (-17557)
Tcf12	peak_220 (-57692)
Tcf25	peak_211 (-20012)
Tgfbr1	peak_141 (+83586)
Thap12	peak_192 (+27456)
Thegl	peak_165 (+44923)
Tinagl1	peak_154 (-24531)
Tle4	peak_107 (+329983)
Tlr1	peak_164 (+106928)
Tlr4	peak_142 (-84460)
Tmem132a	peak_105 (+10869)
Tmem173	peak_94 (-11226)
Tmem28	peak_228 (-114394)
Tmem50a	peak_158 (+35586)
Tmtc2	peak_28 (-226227)
Tnfrsf11b	peak_76 (+294364)
Tnks2	peak_108 (-17029)
Tnrc6c	peak_48 (-58803)
Tpm3-rs7	peak_73 (+58703)
Treh	peak_215 (-26689)
Trim14	peak_140 (+29040)
Trim43b	peak_221 (-94546)
Trpc1	peak_222 (-55253)
Trpv4	peak_167 (+10079)
Tspan17	peak_64 (+123071)
Ttc29	peak_202 (-306072)
Tulp1	peak_90 (-9935)
Ube2d2a	peak_94 (-19779)
Ubl3	peak_173 (-333621), peak_172 (-278993)
Unc5a	peak_64 (-36963)
Uncx	peak_171 (+56342)
Usp29	peak_186 (+217980)
Usp32	peak_38 (+28463)
Vdr	peak_78 (+44748)
Vegfa	peak_92 (+226028)
Vmn1r223	peak_63 (+21309)
Vps37b	peak_170 (+33835)
Vstm2l	peak_118 (-162524)
Wdr17	peak_200 (+101583)
Wfs1	peak_161 (-52460)
Wnt10a	peak_6 (+12829)
Wnt11	peak_192 (-104572)
Wnt2b	peak_129 (-6379)
Wwp1	peak_134 (-57833)
Xcl1	peak_16 (-83351)
Xpa	peak_139 (-6535)
Xpo1	peak_33 (-130953)
Xylt1	peak_193 (-588370)
Ythdf3	peak_122 (-131241)
Zbtb8a	peak_153 (-28563)
Zbtb8b	peak_153 (+34139)
Zcchc6	peak_65 (-15000)
Zfand6	peak_191 (-89687)
Zfp229	peak_88 (+20596)
Zfp280d	peak_220 (-105340)
Zfp322a	peak_63 (+98661)
Zfp385c	peak_43 (-22966)
Zfp747	peak_194 (+12583)
Zfp768	peak_194 (-18044)
Zfp800	peak_175 (+47063)
Zfp820	peak_88 (+91439)
Zfp831	peak_121 (+30076)
Zfp960	peak_87 (-66684)
Zmat2	peak_96 (+8250)

