# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
Anti-GFP.mLb.mkD.sorted_peak_8	Rp1 (-134105), Sox17 (+1994)
Anti-GFP.mLb.mkD.sorted_peak_759	Nemp2 (+4)
Anti-GFP.mLb.mkD.sorted_peak_760	Mfsd6 (+300)
Anti-GFP.mLb.mkD.sorted_peak_766	1700019D03Rik (-466)
Anti-GFP.mLb.mkD.sorted_peak_771	Pms1 (-838), Gm28778 (+745), Ormdl1 (+761)
Anti-GFP.mLb.mkD.sorted_peak_772	Osgepl1 (+444)
Anti-GFP.mLb.mkD.sorted_peak_780	Dnah7a (+31)
Anti-GFP.mLb.mkD.sorted_peak_783	Stk17b (+611)
Anti-GFP.mLb.mkD.sorted_peak_788	Hecw2 (-562)
Anti-GFP.mLb.mkD.sorted_peak_797	Ankrd44 (-871)
Anti-GFP.mLb.mkD.sorted_peak_800	Coq10b (-222)
Anti-GFP.mLb.mkD.sorted_peak_823	Rftn2 (+558)
Anti-GFP.mLb.mkD.sorted_peak_826	Boll (0)
Anti-GFP.mLb.mkD.sorted_peak_844	1700066M21Rik (+373)
Anti-GFP.mLb.mkD.sorted_peak_849	Spats2l (-29)
Anti-GFP.mLb.mkD.sorted_peak_853	Kctd18 (-15350), Sgo2a (-10493)
Anti-GFP.mLb.mkD.sorted_peak_877	Cflar (+846)
Anti-GFP.mLb.mkD.sorted_peak_880	Casp8 (+392)
Anti-GFP.mLb.mkD.sorted_peak_882	Stradb (-81), Trak2 (-11)
Anti-GFP.mLb.mkD.sorted_peak_884	Tmem237 (-418)
Anti-GFP.mLb.mkD.sorted_peak_922	Bmpr2 (-39)
Anti-GFP.mLb.mkD.sorted_peak_923	Fam117b (+521)
Anti-GFP.mLb.mkD.sorted_peak_928	Ica1l (+108)
Anti-GFP.mLb.mkD.sorted_peak_929	Wdr12 (-665)
Anti-GFP.mLb.mkD.sorted_peak_934	Abi2 (+176)
Anti-GFP.mLb.mkD.sorted_peak_957	Nrp2 (+1377), Ino80d (+409188)
Anti-GFP.mLb.mkD.sorted_peak_999	Zdbf2 (-24)
Anti-GFP.mLb.mkD.sorted_peak_1005	Adam23 (+1737), Dytn (+239295)
Anti-GFP.mLb.mkD.sorted_peak_1020	Creb1 (+79)
Anti-GFP.mLb.mkD.sorted_peak_1023	Mettl21a (-319)
Anti-GFP.mLb.mkD.sorted_peak_1031	Plekhm3 (+938)
Anti-GFP.mLb.mkD.sorted_peak_1035	Cryge (-540)
Anti-GFP.mLb.mkD.sorted_peak_1036	Crygd (-327)
Anti-GFP.mLb.mkD.sorted_peak_1037	Crygc (-142)
Anti-GFP.mLb.mkD.sorted_peak_1039	Cryga (+296)
Anti-GFP.mLb.mkD.sorted_peak_1056	Kansl1l (+118)
Anti-GFP.mLb.mkD.sorted_peak_1057	Acadl (+410)
Anti-GFP.mLb.mkD.sorted_peak_1059	Lancl1 (+108)
Anti-GFP.mLb.mkD.sorted_peak_1070	Erbb4 (+1017)
Anti-GFP.mLb.mkD.sorted_peak_1073	Ikzf2 (-2042)
Anti-GFP.mLb.mkD.sorted_peak_1090	Fn1 (-97)
Anti-GFP.mLb.mkD.sorted_peak_1115	March4 (+1049), Xrcc5 (+228460)
Anti-GFP.mLb.mkD.sorted_peak_1137	Igfbp5 (+1787), Igfbp2 (+48594)
Anti-GFP.mLb.mkD.sorted_peak_1170	Slc11a1 (-6634), Catip (+6461)
Anti-GFP.mLb.mkD.sorted_peak_1171	Ctdsp1 (-14912), Slc11a1 (+1394)
Anti-GFP.mLb.mkD.sorted_peak_1181	Cyp27a1 (-252)
Anti-GFP.mLb.mkD.sorted_peak_1182	Prkag3 (-60)
Anti-GFP.mLb.mkD.sorted_peak_1188	Wnt10a (+582)
Anti-GFP.mLb.mkD.sorted_peak_1195	Fev (+1393), Cdk5r2 (+29092)
Anti-GFP.mLb.mkD.sorted_peak_1196	Cryba2 (+477)
Anti-GFP.mLb.mkD.sorted_peak_1198	Cryba2 (-6919), Cfap65 (+35537)
Anti-GFP.mLb.mkD.sorted_peak_1200	Cfap65 (-13980), Ihh (+2093)
Anti-GFP.mLb.mkD.sorted_peak_1205	Zfand2b (+90)
Anti-GFP.mLb.mkD.sorted_peak_1208	Abcb6 (-5622), Atg9a (+5912)
Anti-GFP.mLb.mkD.sorted_peak_1215	Dnajb2 (+1417), Ptprn (+26390)
Anti-GFP.mLb.mkD.sorted_peak_1227	Speg (-4945)
Anti-GFP.mLb.mkD.sorted_peak_1229	Gmppa (-52714), Speg (+7932)
Anti-GFP.mLb.mkD.sorted_peak_1233	Gmppa (-33228), Speg (+27418)
Anti-GFP.mLb.mkD.sorted_peak_1249	Tmem198 (+9777), Obsl1 (+17004)
Anti-GFP.mLb.mkD.sorted_peak_1253	Slc4a3 (+5330)
Anti-GFP.mLb.mkD.sorted_peak_1277	Epha4 (+948)
Anti-GFP.mLb.mkD.sorted_peak_1279	Pax3 (-1561)
Anti-GFP.mLb.mkD.sorted_peak_1287	BC035947 (+111), Mogat1 (+878)
Anti-GFP.mLb.mkD.sorted_peak_1322	Irs1 (+1398), Gm9747 (+56906)
Anti-GFP.mLb.mkD.sorted_peak_1324	Col4a4 (-198), Col4a3 (+71)
Anti-GFP.mLb.mkD.sorted_peak_1328	Tm4sf20 (-2449)
Anti-GFP.mLb.mkD.sorted_peak_1342	Sphkap (+287)
Anti-GFP.mLb.mkD.sorted_peak_1361	Fbxo36 (-1038), Trip12 (+501)
Anti-GFP.mLb.mkD.sorted_peak_1399	Ncl (-28020), Nmur1 (+1924)
Anti-GFP.mLb.mkD.sorted_peak_1424	Pde6d (-3452), Cops7b (+3095)
Anti-GFP.mLb.mkD.sorted_peak_1426	Nppc (+607)
Anti-GFP.mLb.mkD.sorted_peak_1427	Dis3l2 (+899)
Anti-GFP.mLb.mkD.sorted_peak_1430	Alppl2 (+2613), Dis3l2 (+383479)
Anti-GFP.mLb.mkD.sorted_peak_1432	Akp3 (+2621), Ecel1 (+28892)
Anti-GFP.mLb.mkD.sorted_peak_1434	Ecel1 (+1578), Akp3 (+29935)
Anti-GFP.mLb.mkD.sorted_peak_1438	Chrng (+498)
Anti-GFP.mLb.mkD.sorted_peak_1457	3110079O15Rik (+5118), Ngef (+98481)
Anti-GFP.mLb.mkD.sorted_peak_1484	Arl4c (-3933)
Anti-GFP.mLb.mkD.sorted_peak_1527	Gbx2 (+2193), Agap1 (+474180)
Anti-GFP.mLb.mkD.sorted_peak_1543	Col6a3 (-65574), Mlph (-5559)
Anti-GFP.mLb.mkD.sorted_peak_1544	Mlph (-205)
Anti-GFP.mLb.mkD.sorted_peak_1551	Lrrfip1 (+625)
Anti-GFP.mLb.mkD.sorted_peak_1557	Ube2f (+412)
Anti-GFP.mLb.mkD.sorted_peak_1560	Scly (-176)
Anti-GFP.mLb.mkD.sorted_peak_1563	Erfe (-11974), Klhl30 (+3440)
Anti-GFP.mLb.mkD.sorted_peak_1565	Erfe (+3901), Ilkap (+28452)
Anti-GFP.mLb.mkD.sorted_peak_1566	Ilkap (+323)
Anti-GFP.mLb.mkD.sorted_peak_1569	Traf3ip1 (+543)
Anti-GFP.mLb.mkD.sorted_peak_1571	Asb1 (+41)
Anti-GFP.mLb.mkD.sorted_peak_1576	Twist2 (-27)
Anti-GFP.mLb.mkD.sorted_peak_1586	Otos (+434)
Anti-GFP.mLb.mkD.sorted_peak_1595	Capn10 (+579)
Anti-GFP.mLb.mkD.sorted_peak_1599	Kif1a (+178)
Anti-GFP.mLb.mkD.sorted_peak_1611	Hdlbp (+33157), Ano7 (+71714)
Anti-GFP.mLb.mkD.sorted_peak_1613	Farp2 (+612)
Anti-GFP.mLb.mkD.sorted_peak_1616	Stk25 (+937)
Anti-GFP.mLb.mkD.sorted_peak_1621	Thap4 (+20511), Bok (+48609)
Anti-GFP.mLb.mkD.sorted_peak_1640	Fam174a (+432)
Anti-GFP.mLb.mkD.sorted_peak_1642	St8sia4 (+443)
Anti-GFP.mLb.mkD.sorted_peak_1653	D1Ertd622e (+469)
Anti-GFP.mLb.mkD.sorted_peak_1661	Pam (+195)
Anti-GFP.mLb.mkD.sorted_peak_1688	Cdh20 (+582)
Anti-GFP.mLb.mkD.sorted_peak_1700	Pign (-329)
Anti-GFP.mLb.mkD.sorted_peak_1720	Kdsr (+56)
Anti-GFP.mLb.mkD.sorted_peak_1777	Clasp1 (+400)
Anti-GFP.mLb.mkD.sorted_peak_1844	Sctr (+322)
Anti-GFP.mLb.mkD.sorted_peak_1856	Steap3 (+12271), 3110009E18Rik (+137616)
Anti-GFP.mLb.mkD.sorted_peak_1859	C1ql2 (+1246), Marco (+163196)
Anti-GFP.mLb.mkD.sorted_peak_1871	Insig2 (-314)
Anti-GFP.mLb.mkD.sorted_peak_1875	Ccdc93 (+690)
Anti-GFP.mLb.mkD.sorted_peak_1877	Htr5b (+587)
Anti-GFP.mLb.mkD.sorted_peak_1897	Actr3 (+1115)
Anti-GFP.mLb.mkD.sorted_peak_1899	Gpr39 (+411)
Anti-GFP.mLb.mkD.sorted_peak_1925	Ubxn4 (+50)
Anti-GFP.mLb.mkD.sorted_peak_1943	Thsd7b (+265)
Anti-GFP.mLb.mkD.sorted_peak_1947	Cd55b (+298)
Anti-GFP.mLb.mkD.sorted_peak_1948	Cd55 (+366)
Anti-GFP.mLb.mkD.sorted_peak_1963	Rassf5 (+45748), Eif2d (+46329)
Anti-GFP.mLb.mkD.sorted_peak_1972	Fam72a (-1215), Srgap2 (+659)
Anti-GFP.mLb.mkD.sorted_peak_1973	Avpr1b (+757)
Anti-GFP.mLb.mkD.sorted_peak_1980	Slc41a1 (-385)
Anti-GFP.mLb.mkD.sorted_peak_1990	Slc45a3 (-6774), Nucks1 (+53279)
Anti-GFP.mLb.mkD.sorted_peak_1991	Slc45a3 (+478)
Anti-GFP.mLb.mkD.sorted_peak_1996	Mfsd4a (-230)
Anti-GFP.mLb.mkD.sorted_peak_2028	Tmcc2 (+4972), Nuak2 (+70183)
Anti-GFP.mLb.mkD.sorted_peak_2058	Pik3c2b (+765)
Anti-GFP.mLb.mkD.sorted_peak_2088	Kiss1 (-10272), Gm28040 (+1776)
Anti-GFP.mLb.mkD.sorted_peak_2126	Optc (-1728)
Anti-GFP.mLb.mkD.sorted_peak_2127	Optc (-11028), Prelp (+3214)
Anti-GFP.mLb.mkD.sorted_peak_2148	Adora1 (+309)
Anti-GFP.mLb.mkD.sorted_peak_2150	Myog (+702)
Anti-GFP.mLb.mkD.sorted_peak_2152	Ppfia4 (+5661), Myog (+37278)
Anti-GFP.mLb.mkD.sorted_peak_2188	Ppp1r12b (+164)
Anti-GFP.mLb.mkD.sorted_peak_2204	Gpr37l1 (-2483)
Anti-GFP.mLb.mkD.sorted_peak_2226	Elf3 (-24259), Rnpep (+1257)
Anti-GFP.mLb.mkD.sorted_peak_2228	Lmod1 (-21)
Anti-GFP.mLb.mkD.sorted_peak_2273	Tnnt2 (-1096)
Anti-GFP.mLb.mkD.sorted_peak_2276	Pkp1 (+586)
Anti-GFP.mLb.mkD.sorted_peak_2279	Cacna1s (-2377), Ascl5 (-280)
Anti-GFP.mLb.mkD.sorted_peak_2286	Mroh3 (-3147)
Anti-GFP.mLb.mkD.sorted_peak_2301	Kif14 (-4814)
Anti-GFP.mLb.mkD.sorted_peak_2366	Lhx9 (-5366), 2310009B15Rik (+9057)
Anti-GFP.mLb.mkD.sorted_peak_2371	Dennd1b (+413)
Anti-GFP.mLb.mkD.sorted_peak_2376	Aspm (-654)
Anti-GFP.mLb.mkD.sorted_peak_2419	Uchl5 (-147), Trove2 (-57)
Anti-GFP.mLb.mkD.sorted_peak_2422	Rgs2 (+272)
Anti-GFP.mLb.mkD.sorted_peak_2431	Brinp3 (+2979)
Anti-GFP.mLb.mkD.sorted_peak_2439	Pla2g4a (+471)
Anti-GFP.mLb.mkD.sorted_peak_2483	1700025G04Rik (-235)
Anti-GFP.mLb.mkD.sorted_peak_2496	Arpc5 (+84)
Anti-GFP.mLb.mkD.sorted_peak_2567	Rgs8 (-142)
Anti-GFP.mLb.mkD.sorted_peak_2568	Rgs16 (-78768), Rgs8 (+8556)
Anti-GFP.mLb.mkD.sorted_peak_2574	Rnasel (-213)
Anti-GFP.mLb.mkD.sorted_peak_2587	Zfp648 (+3719), Cacna1e (+521450)
Anti-GFP.mLb.mkD.sorted_peak_2589	Cacna1e (+645)
Anti-GFP.mLb.mkD.sorted_peak_2598	Stx6 (+724)
Anti-GFP.mLb.mkD.sorted_peak_2606	Xpr1 (+506)
Anti-GFP.mLb.mkD.sorted_peak_2609	Acbd6 (+299)
Anti-GFP.mLb.mkD.sorted_peak_2612	Lhx4 (+1935), Acbd6 (+181970)
Anti-GFP.mLb.mkD.sorted_peak_2613	Qsox1 (+380)
Anti-GFP.mLb.mkD.sorted_peak_2614	Cep350 (+217)
Anti-GFP.mLb.mkD.sorted_peak_2627	Nphs2 (+102)
Anti-GFP.mLb.mkD.sorted_peak_2633	Abl2 (-42)
Anti-GFP.mLb.mkD.sorted_peak_2640	Fam20b (+353)
Anti-GFP.mLb.mkD.sorted_peak_2648	Ralgps2 (-194)
Anti-GFP.mLb.mkD.sorted_peak_2664	Rasal2 (+15)
Anti-GFP.mLb.mkD.sorted_peak_2675	Brinp2 (-15)
Anti-GFP.mLb.mkD.sorted_peak_2676	Astn1 (+425)
Anti-GFP.mLb.mkD.sorted_peak_2680	Rfwd2 (+91)
Anti-GFP.mLb.mkD.sorted_peak_2682	4930523C07Rik (-30578), Tnr (+520815)
Anti-GFP.mLb.mkD.sorted_peak_2684	Mrps14 (+406)
Anti-GFP.mLb.mkD.sorted_peak_2703	Ankrd45 (+17600), Prdx6 (+90852)
Anti-GFP.mLb.mkD.sorted_peak_2713	Fasl (+69)
Anti-GFP.mLb.mkD.sorted_peak_2717	4930558K02Rik (+2794), Pigc (+7614)
Anti-GFP.mLb.mkD.sorted_peak_2726	Vamp4 (+964)
Anti-GFP.mLb.mkD.sorted_peak_2732	Prrx1 (+268)
Anti-GFP.mLb.mkD.sorted_peak_2736	Kifap3 (+401)
Anti-GFP.mLb.mkD.sorted_peak_2739	BC055324 (-644), Mettl18 (+551)
Anti-GFP.mLb.mkD.sorted_peak_2741	F5 (-431)
Anti-GFP.mLb.mkD.sorted_peak_2775	Mpc2 (-340), Dcaf6 (-232)
Anti-GFP.mLb.mkD.sorted_peak_2793	Creg1 (+778)
Anti-GFP.mLb.mkD.sorted_peak_2797	Cd247 (+927)
Anti-GFP.mLb.mkD.sorted_peak_2801	Pou2f1 (+1155), Cd247 (+212842)
Anti-GFP.mLb.mkD.sorted_peak_2816	Mael (+200)
Anti-GFP.mLb.mkD.sorted_peak_2821	Tada1 (+536)
Anti-GFP.mLb.mkD.sorted_peak_2822	Pogk (+672)
Anti-GFP.mLb.mkD.sorted_peak_2851	Lmx1a (-68968), Rxrg (+22205)
Anti-GFP.mLb.mkD.sorted_peak_2856	Lmx1a (+1042), Pbx1 (+741298)
Anti-GFP.mLb.mkD.sorted_peak_2874	Uap1 (-166)
Anti-GFP.mLb.mkD.sorted_peak_2878	Nos1ap (+42)
Anti-GFP.mLb.mkD.sorted_peak_2916	Mpz (-213), Sdhc (+105)
Anti-GFP.mLb.mkD.sorted_peak_2917	Mpz (+9345), Pcp4l1 (+36212)
Anti-GFP.mLb.mkD.sorted_peak_2930	B4galt3 (-407)
Anti-GFP.mLb.mkD.sorted_peak_2977	Dcaf8 (+644)
Anti-GFP.mLb.mkD.sorted_peak_2980	Pea15a (+451)
Anti-GFP.mLb.mkD.sorted_peak_2992	Kcnj9 (+3270), Igsf8 (+13681)
Anti-GFP.mLb.mkD.sorted_peak_3017	Dusp23 (+309)
Anti-GFP.mLb.mkD.sorted_peak_3032	Grem2 (+247)
Anti-GFP.mLb.mkD.sorted_peak_3039	Chml (+876)
Anti-GFP.mLb.mkD.sorted_peak_3050	Sdccag8 (-590), Cep170 (-3)
Anti-GFP.mLb.mkD.sorted_peak_3060	1700016C15Rik (-281636), Zbtb18 (+3883)
Anti-GFP.mLb.mkD.sorted_peak_3076	Cox20 (-176)
Anti-GFP.mLb.mkD.sorted_peak_3082	Efcab2 (-265)
Anti-GFP.mLb.mkD.sorted_peak_3113	Sccpdh (+163)
Anti-GFP.mLb.mkD.sorted_peak_3123	Cdc42bpa (-1070)
Anti-GFP.mLb.mkD.sorted_peak_3132	Psen2 (-2606)
Anti-GFP.mLb.mkD.sorted_peak_3158	Lin9 (-121)
Anti-GFP.mLb.mkD.sorted_peak_3167	H3f3a (+229)
Anti-GFP.mLb.mkD.sorted_peak_3190	Wdr26 (-809)
Anti-GFP.mLb.mkD.sorted_peak_3197	Ccdc121 (+626)
Anti-GFP.mLb.mkD.sorted_peak_3198	Lbr (-797)
Anti-GFP.mLb.mkD.sorted_peak_3236	Vmn1r1 (-4768)
Anti-GFP.mLb.mkD.sorted_peak_3244	Trp53bp2 (+402)
Anti-GFP.mLb.mkD.sorted_peak_3251	Capn2 (-857)
Anti-GFP.mLb.mkD.sorted_peak_3255	Ccdc185 (+847)
Anti-GFP.mLb.mkD.sorted_peak_3275	Hhipl2 (+110)
Anti-GFP.mLb.mkD.sorted_peak_3276	Hhipl2 (+4655), 1700056E22Rik (+610881)
Anti-GFP.mLb.mkD.sorted_peak_3286	Hlx (+3311), Dusp10 (+694927)
Anti-GFP.mLb.mkD.sorted_peak_3297	Marc2 (-662)
Anti-GFP.mLb.mkD.sorted_peak_3298	Marc2 (-6652), C130074G19Rik (+30685)
Anti-GFP.mLb.mkD.sorted_peak_3333	Spata17 (-204), Gpatch2 (+158)
Anti-GFP.mLb.mkD.sorted_peak_3341	Esrrg (-390396), Gpatch2 (+391920)
Anti-GFP.mLb.mkD.sorted_peak_3344	Esrrg (+140)
Anti-GFP.mLb.mkD.sorted_peak_3359	Kcnk2 (-285)
Anti-GFP.mLb.mkD.sorted_peak_3363	Ptpn14 (+554)
Anti-GFP.mLb.mkD.sorted_peak_3393	Angel2 (+481)
Anti-GFP.mLb.mkD.sorted_peak_3395	Vash2 (+1321), Angel2 (+49189)
Anti-GFP.mLb.mkD.sorted_peak_3411	Tmem206 (+851)
Anti-GFP.mLb.mkD.sorted_peak_3420	Ints7 (-149), Dtl (+57)
Anti-GFP.mLb.mkD.sorted_peak_3423	Lpgat1 (+457)
Anti-GFP.mLb.mkD.sorted_peak_3429	Slc30a1 (+464)
Anti-GFP.mLb.mkD.sorted_peak_3439	Rcor3 (+991)
Anti-GFP.mLb.mkD.sorted_peak_3459	Sertad4 (+361)
Anti-GFP.mLb.mkD.sorted_peak_3464	A130010J15Rik (+5459), Traf3ip3 (+28042)
Anti-GFP.mLb.mkD.sorted_peak_3470	Plxna2 (+616)
Anti-GFP.mLb.mkD.sorted_peak_3477	Cr2 (+109)
Anti-GFP.mLb.mkD.sorted_peak_3491	Mthfd1l (-100085), Plekhg1 (+132682)
Anti-GFP.mLb.mkD.sorted_peak_3544	Ccdc170 (-26378), Armt1 (+51027)
Anti-GFP.mLb.mkD.sorted_peak_3560	Mtrf1l (+653)
Anti-GFP.mLb.mkD.sorted_peak_3561	Rgs17 (-25)
Anti-GFP.mLb.mkD.sorted_peak_3566	Oprm1 (+41)
Anti-GFP.mLb.mkD.sorted_peak_3569	Ipcef1 (-230808), Cnksr3 (+1718)
Anti-GFP.mLb.mkD.sorted_peak_3572	Cnksr3 (-258312), Ulbp1 (+3089)
Anti-GFP.mLb.mkD.sorted_peak_3577	Lrp11 (+1298), Pcmt1 (+72493)
Anti-GFP.mLb.mkD.sorted_peak_3584	Nup43 (-2562), Pcmt1 (-1333)
Anti-GFP.mLb.mkD.sorted_peak_3585	Lats1 (-505)
Anti-GFP.mLb.mkD.sorted_peak_3589	Ginm1 (-177)
Anti-GFP.mLb.mkD.sorted_peak_3591	Zc3h12d (+9)
Anti-GFP.mLb.mkD.sorted_peak_3598	Tab2 (+349)
Anti-GFP.mLb.mkD.sorted_peak_3619	Sash1 (-316)
Anti-GFP.mLb.mkD.sorted_peak_3622	Samd5 (-169)
Anti-GFP.mLb.mkD.sorted_peak_3629	Adgb (-42468), Rab32 (+85958)
Anti-GFP.mLb.mkD.sorted_peak_3641	Fbxo30 (+331)
Anti-GFP.mLb.mkD.sorted_peak_3642	Epm2a (-725)
Anti-GFP.mLb.mkD.sorted_peak_3665	Utrn (-7625), Stx11 (+94902)
Anti-GFP.mLb.mkD.sorted_peak_3685	Phactr2 (+265)
Anti-GFP.mLb.mkD.sorted_peak_3688	Pex3 (+111), Adat2 (+134)
Anti-GFP.mLb.mkD.sorted_peak_3695	Hivep2 (-293)
Anti-GFP.mLb.mkD.sorted_peak_3702	Nmbr (-15)
Anti-GFP.mLb.mkD.sorted_peak_3728	Cited2 (-754)
Anti-GFP.mLb.mkD.sorted_peak_3735	Heca (+1001), Txlnb (+150810)
Anti-GFP.mLb.mkD.sorted_peak_3743	Ect2l (-2813)
Anti-GFP.mLb.mkD.sorted_peak_3744	Ccdc28a (+39)
Anti-GFP.mLb.mkD.sorted_peak_3781	Tnfaip3 (+623)
Anti-GFP.mLb.mkD.sorted_peak_3789	Ifngr1 (+353)
Anti-GFP.mLb.mkD.sorted_peak_3791	Il20ra (+172)
Anti-GFP.mLb.mkD.sorted_peak_3796	Pex7 (+9)
Anti-GFP.mLb.mkD.sorted_peak_3798	Map3k5 (+606)
Anti-GFP.mLb.mkD.sorted_peak_3805	Bclaf1 (-161418), Map7 (+2082)
Anti-GFP.mLb.mkD.sorted_peak_3818	Bclaf1 (-103722), Map7 (+59778)
Anti-GFP.mLb.mkD.sorted_peak_3832	Pde7b (-451)
Anti-GFP.mLb.mkD.sorted_peak_3852	Aldh8a1 (-2753)
Anti-GFP.mLb.mkD.sorted_peak_3866	Sgk1 (+1104), 4930444G20Rik (+184791)
Anti-GFP.mLb.mkD.sorted_peak_3896	Slc2a12 (-372)
Anti-GFP.mLb.mkD.sorted_peak_3898	Tbpl1 (+634)
Anti-GFP.mLb.mkD.sorted_peak_3902	Tbpl1 (-87562), Tcf21 (+1165)
Anti-GFP.mLb.mkD.sorted_peak_3905	Eya4 (+721)
Anti-GFP.mLb.mkD.sorted_peak_3920	Moxd1 (+248)
Anti-GFP.mLb.mkD.sorted_peak_3951	Arg1 (-271717), Akap7 (+99963)
Anti-GFP.mLb.mkD.sorted_peak_3959	Arg1 (-368957), Akap7 (+2723)
Anti-GFP.mLb.mkD.sorted_peak_3963	Epb41l2 (+432)
