# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
1110004E09Rik	peak_1985 (+30812)
Adam22	peak_3521 (+101992), peak_3520 (+109004)
Adam26a	peak_4412 (-18638)
Adam29	peak_4428 (+163697)
Adam32	peak_4375 (+8858)
Adam34	peak_4414 (-267717), peak_4413 (-81450)
Adam6a	peak_1149 (+328363), peak_1150 (+787136), peak_1151 (+835022)
Adamts12	peak_1634 (+109778), peak_1635 (+159254)
Adamts15	peak_4657 (+49760)
Adamts19	peak_2306 (+86152)
Adamts2	peak_788 (+20177)
Adamts3	peak_3693 (-70149)
Adamtsl1	peak_3329 (-162203)
Adcy10	peak_366 (+41316)
Adcy2	peak_1307 (-171241), peak_1306 (-159593), peak_1305 (+99627)
Adcy3	peak_932 (+39794)
Adcy8	peak_1740 (-350121)
Adcyap1	peak_2226 (-497374), peak_2227 (+90083)
Adgra3	peak_3608 (-260570), peak_3607 (-55344)
Adgrb3	peak_69 (+238827), peak_68 (+303032)
Adgrl2	peak_3083 (-236543)
Adgrl3	peak_3672 (-852141), peak_3673 (-832170), peak_3674 (-105194), peak_3675 (+398586), peak_3676 (+891085), peak_3677 (+997659)
Adgrv1	peak_1334 (+47082), peak_1333 (+180334)
Adh4	peak_3065 (-19473)
Adipoq	peak_1837 (+18336), peak_1838 (+33067)
Adm	peak_4288 (+61956)
Adora2a	peak_564 (+16450)
Adpgk	peak_4708 (-16601)
Adra2a	peak_2479 (+91369)
Adrb1	peak_2488 (-52987)
Afdn	peak_2033 (-193231)
Aff2	peak_4907 (-212969), peak_4908 (-113723), peak_4909 (+212433)
Afm	peak_3695 (-11253)
Agap1	peak_210 (+11114)
Agbl1	peak_4233 (+502741)
Agbl4	peak_3392 (+320187)
Agpat4	peak_2032 (-618709)
Agr3	peak_977 (-70847)
Agtr1a	peak_1216 (-69821)
Agtr1b	peak_2842 (-565214), peak_2841 (-466669), peak_2840 (-373877), peak_2839 (-256304)
Agtr2	peak_4849 (-74637)
Ahcyl2	peak_3949 (-13923)
Ahr	peak_976 (+30685)
Aif1l	peak_2549 (+11297)
Ajap1	peak_3503 (-14480), peak_3502 (+12393)
Ak1	peak_2553 (+8464)
Ak2	peak_3432 (-11485), peak_3433 (+31376)
Ak7	peak_1120 (-9072)
Akain1	peak_2180 (+269366), peak_2181 (+463274)
Akap11	peak_1551 (-67518)
Akap2	peak_3247 (-143689), peak_3248 (-96237), peak_3249 (-81117)
Akap6	peak_1016 (+19944), peak_1017 (+164301)
Akap7	peak_457 (+23980)
Akr1b7	peak_3956 (+19888)
Akr1c13	peak_1165 (-7661)
Akr1c14	peak_1164 (+27071)
Akr1e1	peak_1171 (-489465), peak_1170 (-454978), peak_1169 (-373562), peak_1168 (-333706), peak_1167 (-204875), peak_1166 (-191433)
Alcam	peak_1895 (+173075)
Aldh18a1	peak_2431 (+26614)
Aldh1a1	peak_2398 (-28292)
Aldh1a7	peak_2399 (-27992)
Aldh1b1	peak_3217 (+11967)
Aldh5a1	peak_1207 (+25832)
Aldh7a1	peak_2303 (+63480)
Aldoart1	peak_3289 (+139382), peak_3288 (+273116), peak_3287 (+309363)
Alg10b	peak_1781 (-31396)
Alg13	peak_5015 (-41726), peak_5016 (-6263)
Alg14	peak_3035 (-11840), peak_3036 (+57946)
Alk	peak_2187 (-31604)
Alkbh4	peak_3854 (+14107)
Amd2	peak_472 (+189806)
Amer1	peak_4953 (+111184)
Amer2	peak_1517 (-50579)
Amigo2	peak_1794 (-114727), peak_1793 (-98632)
Amn	peak_1137 (-34493), peak_1138 (+30904)
Amot	peak_5017 (-421040)
Amph	peak_1200 (+117007)
Amtn	peak_3689 (+33619)
Anapc4	peak_3611 (+37895)
Anapc7	peak_3806 (-11752)
Ank	peak_1664 (-44538)
Ank2	peak_3042 (+268039)
Ankfn1	peak_854 (+26705)
Ankrd16	peak_2502 (+164974), peak_2503 (+199533)
Ankrd35	peak_2996 (-6833)
Ankrd36	peak_695 (+35429), peak_696 (+64901)
Ankrd46	peak_1680 (+41053)
Ankrd50	peak_2879 (+359466)
Ankrd63	peak_2693 (+13859)
Ankrd7	peak_3922 (+33776), peak_3923 (+122850)
Ankrd9	peak_1135 (-29318)
Antxr2	peak_3711 (-12342)
Anxa10	peak_4450 (-127348), peak_4449 (-39834)
Anxa11	peak_1457 (-32712)
Aoah	peak_1201 (-257526), peak_1202 (+66243)
Aox2	peak_144 (+54579)
Apln	peak_4876 (-19407)
Aplp2	peak_4658 (-14893)
Apob	peak_940 (-866180), peak_941 (-175985)
App	peak_1971 (-67194)
Aptx	peak_3202 (+25971)
Aqp4	peak_2242 (-85746)
Ar	peak_4956 (-314844), peak_4957 (-172072), peak_4958 (-45014)
Arap2	peak_3630 (+338709)
Arap3	peak_2279 (-70696)
Arfgap2	peak_2658 (+25955)
Arfgap3	peak_1771 (+12245)
Arfgef1	peak_25 (-150256)
Arglu1	peak_4349 (-278938), peak_4348 (-20805)
Arhgap10	peak_4493 (+180810)
Arhgap11a	peak_2688 (-9668)
Arhgap20	peak_4696 (-193880), peak_4697 (-144996)
Arhgap22	peak_1464 (-11105), peak_1465 (+111554)
Arhgap24	peak_3722 (-72280), peak_3723 (+124226), peak_3724 (+169806)
Arhgap25	peak_4040 (+20060)
Arhgap26	peak_2282 (+75075)
Arhgap31	peak_1871 (+33296)
Arhgap40	peak_2749 (+26564)
Arhgap42	peak_4619 (-306144), peak_4618 (-145269), peak_4617 (-87165), peak_4616 (+7388)
Arhgap6	peak_5046 (+133438)
Arhgap8	peak_1775 (-17029), peak_1776 (+65744)
Arhgef10l	peak_3463 (+75984), peak_3462 (+81697)
Arhgef11	peak_2981 (+13532)
Arhgef16	peak_3505 (-138970), peak_3504 (-47877)
Arhgef17	peak_4270 (+23571)
Arhgef18	peak_4335 (-15992)
Arhgef26	peak_2928 (-132561)
Arhgef28	peak_1367 (+69418)
Arhgef3	peak_1459 (-55310), peak_1460 (-36869)
Arhgef37	peak_2311 (-8479)
Arhgef7	peak_4353 (+7899)
Arid1a	peak_3444 (-34295)
Arid1b	peak_2012 (-646828), peak_2013 (-49169), peak_2014 (+26662), peak_2015 (+102557), peak_2016 (+170594)
Arid3a	peak_580 (+10152)
Arid5b	peak_547 (-66750)
Arl1	peak_597 (+8013)
Arl3	peak_2449 (+9503), peak_2448 (+24564)
Arl4a	peak_990 (+137740), peak_989 (+208728), peak_988 (+471484), peak_987 (+498260)
Arl6	peak_1913 (-261055), peak_1912 (-252869), peak_1911 (-145051), peak_1910 (-65541)
Arl6ip6	peak_2588 (+138168), peak_2589 (+175264)
Armc1	peak_2835 (+147241), peak_2834 (+310035), peak_2833 (+439875)
Arntl2	peak_4140 (-13190)
Arpp21	peak_4803 (-302055)
Arrdc3	peak_1330 (-859605), peak_1331 (-319036), peak_1332 (-200083)
Arsg	peak_889 (-18448)
Arx	peak_4948 (-343011)
Asap1	peak_1739 (-146105)
Asap2	peak_964 (-156471)
Asb1	peak_213 (+92847)
Asb16	peak_875 (-8845)
Asb9	peak_5036 (+62735)
Asf1a	peak_518 (-94127)
Asns	peak_3897 (-6949)
Aspg	peak_1144 (-45709)
Asph	peak_3116 (-54790)
Aspscr1	peak_927 (+14113)
Asrgl1	peak_2382 (-23964)
Ass1	peak_2546 (-44617)
Astn2	peak_3267 (+326644), peak_3266 (+333650)
Asxl3	peak_2253 (+295865)
Atg10	peak_1354 (+54217), peak_1353 (+57742)
Atl2	peak_2200 (-38516)
Atoh8	peak_4020 (+19212)
Atp1a1	peak_3004 (+52998)
Atp23	peak_683 (+38824), peak_682 (+200543)
Atp2a2	peak_3807 (-24906)
Atp2b1	peak_615 (-363922), peak_616 (-325318)
Atp2c1	peak_4787 (-32898)
Atp2c2	peak_4564 (+33912)
Atp5g3	peak_2634 (-60017)
Atp5j	peak_1970 (-107878)
Atp5o	peak_1993 (+24306), peak_1992 (+40751)
Atp6ap1l	peak_1352 (+241544), peak_1351 (+312439)
Atp6v0a2	peak_3816 (+9210)
Atp6v0e2	peak_3981 (-12755)
Atp6v1f	peak_3948 (-11998)
Atp6v1g3	peak_314 (+38344)
Atp6v1h	peak_4 (-6120), peak_5 (+87160), peak_6 (+106137), peak_7 (+189448)
Atp8a1	peak_3641 (-69542)
Atp8a2	peak_1516 (-68886)
Atp8b2	peak_2984 (+22343)
Atp9b	peak_2354 (+47363)
Atxn2	peak_3801 (-10730)
Atxn7l1	peak_973 (-58322)
Atxn7l3b	peak_649 (-460353), peak_648 (+56418)
Auh	peak_1267 (+49708), peak_1266 (+53502), peak_1265 (+76605)
Aurkc	peak_4154 (-81634), peak_4155 (-18057)
Auts2	peak_3839 (-649200), peak_3838 (-30763), peak_3837 (-19828), peak_3836 (+37339)
Avil	peak_684 (+10745)
Avpr1a	peak_677 (-57014)
Awat2	peak_4961 (+117456)
Axin2	peak_886 (+15206), peak_887 (+21031), peak_888 (+28511)
Azin1	peak_1689 (-67527)
B020004C17Rik	peak_1512 (-16269)
B020004J07Rik	peak_3369 (+39853)
B3galnt1	peak_2946 (+78521)
B3galnt2	peak_1188 (+10373)
B3galt1	peak_2621 (-178078)
B3galt2	peak_328 (-128574)
B430305J03Rik	peak_2927 (-276840), peak_2926 (-78544)
B4galt1	peak_3204 (-23027), peak_3203 (+25095)
B4galt6	peak_2249 (-66277)
B930094E09Rik	peak_2268 (-40524)
BC027072	peak_2186 (+35325)
BC030500	peak_4437 (-613161), peak_4438 (-440264)
BC030870	peak_4463 (-461384), peak_4462 (-413387), peak_4461 (-324453), peak_4460 (-274067), peak_4459 (-193415), peak_4458 (-168273), peak_4457 (-55187)
BC034090	peak_349 (+214)
BC048403	peak_673 (-32898)
BC052040	peak_2689 (-419232)
Bach1	peak_1978 (+30838), peak_1979 (+39828)
Bach2	peak_3182 (-10836)
Bag3	peak_4310 (+16727)
Bahcc1	peak_925 (+53888)
Bambi	peak_2229 (+34654)
Banf2	peak_2725 (+109900)
Banp	peak_4585 (+23433)
Bard1	peak_175 (+116127)
Barhl1	peak_2537 (-57784), peak_2536 (-27344)
Barhl2	peak_3735 (+256792)
Barx1	peak_1255 (+31721)
Batf	peak_1084 (+11500)
Baz2b	peak_2609 (+15633), peak_2608 (+37055), peak_2607 (+75522)
Bbox1	peak_2682 (+68566)
Bbs9	peak_4643 (+10442)
Bcat1	peak_4135 (+30312), peak_4134 (+73888)
Bche	peak_2952 (-155624), peak_2951 (-148423)
Bcl11a	peak_740 (+204379), peak_741 (+518789), peak_742 (+733545), peak_743 (+803657)
Bcl11b	peak_1125 (-8595)
Bcl2l10	peak_4738 (+27933)
Bcl2l14	peak_4119 (-27726)
Bcl7c	peak_4309 (+17042), peak_4308 (+41457)
Bclaf1	peak_445 (-38901), peak_446 (-25677)
Bdkrb1	peak_1119 (-11988)
Begain	peak_1130 (-163262)
Bend5	peak_3393 (-169927)
Best3	peak_657 (+21917)
Bet1	peak_3888 (-195253)
Bhlha9	peak_836 (-70928)
Bicral	peak_2132 (+7200)
Bid	peak_4097 (+12841)
Bin1	peak_2270 (+37111)
Bmp1	peak_1534 (+30124)
Bmp7	peak_2787 (+26190), peak_2786 (+168931)
Bmper	peak_4644 (-186284), peak_4645 (+61516), peak_4646 (+385483)
Bmpr1b	peak_3074 (+215573)
Bnc2	peak_3326 (+37104)
Bod1	peak_759 (-8534), peak_758 (+79782)
Bola3	peak_4036 (+18211)
Bpifa3	peak_2740 (-42687)
Brd7	peak_4511 (-20279)
Brinp1	peak_3278 (-474872), peak_3277 (-262372), peak_3276 (-209937), peak_3275 (+286214)
Brinp2	peak_352 (+24583)
Brinp3	peak_334 (-669432), peak_335 (-490346), peak_336 (-470254)
Brip1	peak_850 (+144878)
Brms1l	peak_1026 (+80808)
Brpf3	peak_2084 (+14213)
Brsk2	peak_4328 (+52131)
Bsn	peak_4797 (+6496)
Btaf1	peak_2428 (+99409)
Btbd7	peak_1109 (+10929)
Btbd9	peak_2093 (+92497)
Btg1	peak_613 (+57020)
Btrc	peak_2444 (-52367), peak_2445 (+87116)
C030005K15Rik	peak_614 (-319115)
C1d	peak_719 (+260898)
C1galt1	peak_3898 (+80126), peak_3899 (+84190), peak_3900 (+138727)
C1qb	peak_3455 (+24130)
C1qtnf7	peak_3598 (-17518)
C4b	peak_2103 (+26693)
C6	peak_1618 (-54437), peak_1619 (+48980)
C87414	peak_3706 (-77365), peak_3705 (+27661)
CN725425	peak_1782 (+85424)
Cabyr	peak_2240 (-9663)
Cachd1	peak_3365 (-120301)
Cacna1d	peak_1463 (-14448)
Cacna1e	peak_347 (-73016)
Cacna1g	peak_860 (+40184)
Cacna1h	peak_2071 (+28024)
Cacna2d1	peak_3538 (+138303), peak_3539 (+233717)
Cacna2d2	peak_4794 (+44337)
Cacnb2	peak_2510 (+122867)
Cacul1	peak_2495 (-62984), peak_2494 (-21726)
Cacybp	peak_356 (-208485)
Cad	peak_3574 (+14130)
Cadm1	peak_4689 (+41833), peak_4690 (+173982)
Cadm2	peak_1933 (-926970), peak_1932 (-313503), peak_1931 (+229663), peak_1930 (+866295)
Cadps2	peak_3933 (-22750)
Calb2	peak_4548 (+15459)
Calcoco1	peak_1804 (-14410)
Calcr	peak_3887 (+117561)
Calm2	peak_2217 (-12860)
Camk2a	peak_2310 (+43878)
Camk4	peak_2272 (+105191)
Camkmt	peak_2212 (+45659)
Cand1	peak_665 (-47598), peak_664 (+35398)
Cand2	peak_4088 (+16525)
Cap2	peak_1247 (+74168)
Capn1	peak_2377 (-14776)
Capn3	peak_2695 (+31161)
Car10	peak_856 (-404944)
Car2	peak_2826 (+100854)
Car8	peak_3112 (+47177), peak_3111 (+103271), peak_3110 (+505002), peak_3109 (+610649)
Carmil3	peak_1511 (+7798)
Casp12	peak_4610 (+19706), peak_4611 (+184165)
Casp7	peak_2486 (+12930)
Casr	peak_1865 (+6822)
Cast	peak_1317 (-28245)
Casz1	peak_3484 (-14172), peak_3485 (+25967), peak_3486 (+41204)
Cav3	peak_4079 (+12908)
Cavin4	peak_3222 (+138538)
Cbfa2t2	peak_2741 (+31003)
Cblb	peak_1894 (-302067)
Cbln4	peak_2781 (+73704)
Cbr4	peak_4446 (-106859), peak_4447 (-7374), peak_4448 (+29172)
Cbs	peak_2096 (+15812)
Cbx4	peak_922 (-42896)
Cc2d2a	peak_3599 (+10646)
Ccdc112	peak_2291 (-44321)
Ccdc115	peak_92 (+22119), peak_91 (+136775)
Ccdc126	peak_3984 (+14852)
Ccdc141	peak_2637 (-5751)
Ccdc150	peak_138 (+14863)
Ccdc162	peak_490 (+41063)
Ccdc171	peak_3322 (+42010), peak_3323 (+72526), peak_3324 (+224669), peak_3325 (+433127)
Ccdc173	peak_2623 (+23258)
Ccdc178	peak_2252 (-76735)
Ccdc30	peak_3412 (+9280)
Ccdc50	peak_1844 (+346928)
Ccdc54	peak_1893 (-77515), peak_1892 (+71414)
Ccdc59	peak_635 (-31737)
Ccdc6	peak_551 (-103137)
Ccdc60	peak_3779 (-20351), peak_3778 (+94942)
Ccdc68	peak_2332 (-247435)
Ccdc70	peak_4370 (+18790)
Ccdc71l	peak_971 (+39655)
Ccdc7a	peak_4600 (+35431), peak_4599 (+116293)
Ccdc85a	peak_752 (+229976), peak_751 (+244193), peak_750 (+344073)
Ccdc88a	peak_754 (+65017)
Ccdc90b	peak_4258 (-489069)
Ccdc92	peak_3818 (+26379), peak_3817 (+44958)
Ccin	peak_3212 (+9909)
Cck	peak_4820 (+22097)
Ccl21a	peak_3207 (+6720)
Ccl25	peak_4338 (+30564), peak_4339 (+42020), peak_4340 (+55743)
Ccl9	peak_844 (+10973)
Ccnd2	peak_4107 (-82955), peak_4106 (-30551)
Ccnd3	peak_2133 (+26672), peak_2134 (+41241)
Ccnf	peak_2068 (-14148)
Ccng1	peak_774 (-356421), peak_773 (-260964)
Ccng2	peak_3702 (+84707)
Ccnh	peak_1343 (-354546)
Ccnj	peak_2432 (+10969)
Ccnk	peak_1126 (+35465)
Ccr4	peak_4805 (+11995)
Ccsap	peak_4593 (+25563)
Ccser2	peak_1474 (+372246), peak_1473 (+423253)
Cd163l1	peak_4324 (+6080)
Cd180	peak_1378 (-272101), peak_1379 (-201441), peak_1380 (+195544)
Cd2	peak_3001 (-12748)
Cd209a	peak_4337 (-44930)
Cd226	peak_2367 (+172939)
Cd2ap	peak_2124 (-14828)
Cd46	peak_415 (+35315)
Cd55	peak_297 (-28444)
Cd6	peak_2384 (+31460)
Cdc34b	peak_862 (+373)
Cdc37	peak_4640 (+7194)
Cdc42bpb	peak_1139 (+24587)
Cdc42ep2	peak_2376 (-12919)
Cdc42ep4	peak_902 (-152124), peak_901 (-104761), peak_900 (-77107)
Cdc42se2	peak_796 (-19305), peak_795 (-8842)
Cdh10	peak_1646 (-89079), peak_1647 (+759965), peak_1648 (+805855)
Cdh11	peak_4531 (+637379)
Cdh12	peak_1652 (+150577), peak_1653 (+231084)
Cdh18	peak_1654 (-548460), peak_1655 (-224743)
Cdh19	peak_256 (-301222)
Cdh2	peak_2245 (-825699), peak_2244 (-152503)
Cdh20	peak_244 (-550904), peak_245 (-488447), peak_246 (+200989)
Cdh22	peak_2761 (+12672), peak_2760 (+38771)
Cdh26	peak_2794 (+343817)
Cdh4	peak_2795 (-265041)
Cdh5	peak_4532 (-340069), peak_4533 (-38856)
Cdh6	peak_1641 (-209510)
Cdh7	peak_254 (-947955), peak_255 (-915814)
Cdh8	peak_4529 (-864705), peak_4528 (-443720), peak_4527 (+571030), peak_4526 (+717120), peak_4525 (+987266)
Cdh9	peak_1644 (-869410), peak_1645 (-656260)
Cdhr3	peak_972 (-71371)
Cdk13	peak_1198 (-32878)
Cdk15	peak_146 (+76586), peak_147 (+111278)
Cdk5rap2	peak_3281 (+341396), peak_3280 (+623316), peak_3279 (+689084)
Cdk6	peak_3511 (-279084)
Cdkn1c	peak_4331 (+71690)
Cdkn2c	peak_3388 (+64602)
Cdkn3	peak_1492 (-15029)
Cdo1	peak_2292 (+35223)
Cdr1	peak_4896 (-80526), peak_4895 (-73090)
Cds1	peak_3718 (+71215), peak_3719 (+97138)
Ceacam12	peak_4172 (+42197)
Ceacam5	peak_4171 (-18329)
Cecr2	peak_4096 (-21821)
Celf4	peak_2260 (-942712), peak_2259 (+215517)
Cenpf	peak_402 (+106221)
Cenpq	peak_2119 (-30373)
Cenpw	peak_465 (+325220)
Cep126	peak_4614 (-186262)
Cep128	peak_1088 (+106350)
Cep164	peak_4685 (+23155), peak_4684 (+29935), peak_4683 (+76125)
Cep170	peak_382 (+259601)
Cep170b	peak_1147 (+16775)
Ces1f	peak_4514 (-19294)
Ces2a	peak_4534 (-38489)
Ces2b	peak_4535 (-6183)
Ces4a	peak_4536 (+6471)
Ces5a	peak_4516 (-48931), peak_4515 (+50123)
Cetn3	peak_1335 (+542581), peak_1336 (+552421), peak_1337 (+745969)
Cfap206	peak_3186 (+8744)
Cfap53	peak_2339 (+11976)
Cfap54	peak_605 (+21167)
Cfap69	peak_3515 (-13365), peak_3514 (+33471)
Cfap77	peak_2538 (+38348)
Cfhr1	peak_320 (-109595), peak_319 (-89784), peak_318 (-27082), peak_317 (+13578)
Cfl2	peak_1022 (-27205)
Cgn	peak_2994 (+7226)
Cgnl1	peak_4733 (+46604)
Chd3	peak_819 (+11657)
Chd5	peak_3500 (+46695)
Chd7	peak_3115 (+185272)
Chic2	peak_3660 (+70757)
Chil6	peak_3015 (-8162)
Chl1	peak_4062 (+71183), peak_4063 (+208432)
Chmp7	peak_1532 (-16889)
Chordc1	peak_4631 (-435736), peak_4632 (-318406), peak_4633 (-282532)
Chrm2	peak_3962 (-298706), peak_3963 (+108990)
Chrm3	peak_1181 (+58714)
Chrna9	peak_3638 (-16247)
Chst7	peak_4846 (-228142)
Chst8	peak_4200 (-7258)
Chsy3	peak_2307 (-60021)
Cib1	peak_4239 (+12081)
Cidea	peak_2322 (-12302), peak_2323 (+20995)
Cit	peak_3774 (+22416), peak_3775 (+75230), peak_3776 (+81514)
Cited2	peak_439 (-902629), peak_440 (-585884), peak_441 (-579508)
Cks1brt	peak_4503 (+14443)
Clcnkb	peak_3467 (+8054)
Cldn11	peak_2864 (+13099)
Cldn17	peak_1981 (-20330)
Cldn34a	peak_5024 (-39369)
Cldn34b3	peak_4917 (-27624)
Cldn34c1	peak_4989 (-118814), peak_4990 (-77516)
Cldn34c4	peak_4995 (-865826)
Clec14a	peak_1031 (-230679)
Clec4b1	peak_4101 (-7182)
Clic6	peak_1996 (+147234)
Cln8	peak_4360 (-160164)
Clnk	peak_3587 (-161527), peak_3586 (+38655)
Clrn1	peak_2920 (+32679)
Clvs2	peak_469 (-18299), peak_468 (+18819), peak_467 (+132949)
Cmklr1	peak_3761 (-11540), peak_3760 (+18723), peak_3759 (+69826), peak_3758 (+79399)
Cmtm8	peak_4806 (-9442)
Cnbd1	peak_3153 (-67617), peak_3152 (-27009), peak_3151 (+175679), peak_3150 (+515624)
Cnga3	peak_97 (-31425)
Cngb1	peak_4518 (+64489)
