# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak_1	Xkr4 (+139545)
peak_66	Col19a1 (+91091)
peak_67	Lmbrd1 (+441152)
peak_68	Adgrb3 (+303032)
peak_69	Adgrb3 (+238827)
peak_70	4931408C20Rik (-345199)
peak_71	4931408C20Rik (-452505)
peak_72	4931408C20Rik (-472030)
peak_73	4931408C20Rik (-588854)
peak_74	Gm597 (-588133)
peak_75	Gm597 (-922744)
peak_76	Phf3 (+978462)
peak_77	Phf3 (+876890)
peak_78	Phf3 (+826261)
peak_79	Phf3 (+206305)
peak_80	Phf3 (+142683)
peak_81	Phf3 (+113146)
peak_82	Pih1d3 (+78392)
peak_83	Pih1d3 (+269435)
peak_84	Khdrbs2 (-470985)
peak_85	Khdrbs2 (+93069)
peak_86	Gm5415 (-118376)
peak_87	Gm5415 (-473351)
peak_88	Gm5415 (-499079)
peak_89	Prim2 (+412882)
peak_90	Prim2 (+262214)
peak_91	Ccdc115 (+136775)
peak_92	Ccdc115 (+22119)
peak_93	Plekhb2 (+79832)
peak_94	Hs6st1 (-243093)
peak_95	Hs6st1 (-217825)
peak_96	Vwa3b (+13233)
peak_97	Cnga3 (-31425)
peak_98	Lyg2 (-6612)
peak_99	Rpl31 (-21842)
peak_100	Rnf149 (-20779)
peak_101	Rfx8 (-7286)
peak_102	Il1r2 (-28883)
peak_103	Il1r1 (-29986)
peak_104	Il18r1 (-7839)
peak_105	Gpr45 (-49927)
peak_106	Fhl2 (-62438)
peak_107	Nck2 (+108552)
peak_108	Uxs1 (-27403)
peak_109	Tpp2 (-51190)
peak_110	Mettl21c (-14843)
peak_111	Mettl21e (-26197)
peak_112	Mettl21e (-129757)
peak_113	Gulp1 (-132166)
peak_114	Gulp1 (-70436)
peak_115	Col3a1 (-352367)
peak_116	Col3a1 (-145653)
peak_117	Col3a1 (-105716)
peak_118	Wdr75 (-140742)
peak_119	Wdr75 (-26329)
peak_120	Dnah7c (+24436)
peak_121	Slc39a10 (-144493)
peak_122	Slc39a10 (-295450)
peak_123	Slc39a10 (-327715)
peak_124	Slc39a10 (-774592)
peak_125	Slc39a10 (-867227)
peak_126	NONE
peak_127	NONE
peak_128	NONE
peak_129	NONE
peak_130	Tmeff2 (-992742)
peak_131	Tmeff2 (-597541)
peak_132	Nabp1 (+44821)
peak_133	Stat4 (+38568)
peak_134	Stat1 (+47484)
peak_135	Hibch (+48717)
peak_136	Dnah7a (+93142)
peak_137	Hecw2 (+8237)
peak_138	Ccdc150 (+14863)
peak_139	Gtf3c3 (+51920)
peak_140	Plcl1 (+76865)
peak_141	Plcl1 (+91829)
peak_142	Hsfy2 (+537616)
peak_143	Satb2 (-99075)
peak_144	Aox2 (+54579)
peak_145	Trak2 (+14606)
peak_146	Cdk15 (+76586)
peak_147	Cdk15 (+111278)
peak_148	Fzd7 (-9039)
peak_149	Pard3b (-124742)
peak_150	Pard3b (-69305)
peak_151	Pard3b (-51486)
peak_152	Nrp2 (-408640)
peak_153	Nrp2 (-42798)
peak_154	Nrp2 (+56386)
peak_155	Nrp2 (+181848)
peak_156	4933402D24Rik (-35005)
peak_157	4933402D24Rik (-89976)
peak_158	Klf7 (+109509)
peak_159	Fzd5 (-15896)
peak_160	Fzd5 (-41988)
peak_161	Pth2r (+106799)
peak_162	Pth2r (+215289)
peak_163	Crygf (+53337)
peak_164	Map2 (-44061)
peak_165	Cps1 (+419851)
peak_166	Erbb4 (+702057)
peak_167	Erbb4 (+638601)
peak_168	Erbb4 (+518277)
peak_169	Erbb4 (+509557)
peak_170	Erbb4 (+483408)
peak_171	Spag16 (+21209)
peak_172	Spag16 (+142233)
peak_173	Spag16 (+381783)
peak_174	Vwc2l (-90498)
peak_175	Bard1 (+116127)
peak_176	March4 (+108146)
peak_177	March4 (+54508)
peak_178	March4 (-11322)
peak_179	Rpl37a (+28148)
peak_180	Rpl37a (+53936)
peak_181	Igfbp5 (+20407)
peak_182	Igfbp5 (+11952)
peak_183	Tnp1 (-308396)
peak_184	Vil1 (+9643)
peak_185	Slc4a3 (+765933)
peak_186	Slc4a3 (+805255)
peak_187	Slc4a3 (+913508)
peak_188	Pax3 (-50351)
peak_189	Farsb (+75416)
peak_190	Kcne4 (+309713)
peak_191	Scg2 (+59089)
peak_192	Cul3 (-43270)
peak_193	Nyap2 (-93344)
peak_194	Nyap2 (+342726)
peak_195	Nyap2 (+421316)
peak_196	Gm9747 (-59239)
peak_197	Mff (-21579)
peak_198	Slc19a3 (+77920)
peak_199	Slc19a3 (+37574)
peak_200	Krtap28-10 (-3043)
peak_201	Sphkap (-55349)
peak_202	Pid1 (+162455)
peak_203	Pid1 (-95233)
peak_204	Pid1 (-167340)
peak_205	Efhd1 (+17396)
peak_206	Gigyf2 (-17438)
peak_207	Inpp5d (-12582)
peak_208	Ugt1a10 (-20156)
peak_209	Trpm8 (+21801)
peak_210	Agap1 (+11114)
peak_211	Cops8 (-178209)
peak_212	Klhl30 (-12133)
peak_213	Asb1 (+92847)
peak_214	Ndufa10 (+55680)
peak_215	Gpc1 (+23331)
peak_216	Crocc2 (+21688)
peak_217	Pdcd1 (-27784)
peak_218	Pdcd1 (-97945)
peak_219	Pdcd1 (-175807)
peak_220	Pdcd1 (-208217)
peak_221	Pdcd1 (-342090)
peak_222	Fam174a (-74642)
peak_223	St8sia4 (-115925)
peak_224	St8sia4 (-573452)
peak_225	D1Ertd622e (+238536)
peak_226	D1Ertd622e (+149185)
peak_227	Ppip5k2 (-95160)
peak_228	Pam (-105690)
peak_229	Slco6d1 (-35864)
peak_230	Slco6d1 (+230200)
peak_231	Slco6d1 (+468560)
peak_232	Cntnap5b (+51402)
peak_233	Cntnap5b (+863558)
peak_234	NONE
peak_235	NONE
peak_236	NONE
peak_237	NONE
peak_238	NONE
peak_239	NONE
peak_240	NONE
peak_241	NONE
peak_242	NONE
peak_243	NONE
peak_244	Cdh20 (-550904)
peak_245	Cdh20 (-488447)
peak_246	Cdh20 (+200989)
peak_247	Pign (+95499)
peak_248	Phlpp1 (-52108)
peak_249	Serpinb3d (-36815)
peak_250	Serpinb8 (+233219)
peak_251	Serpinb8 (+291732)
peak_252	Serpinb8 (+336546)
peak_253	Serpinb8 (+826593)
peak_254	Cdh7 (-947955)
peak_255	Cdh7 (-915814)
peak_256	Cdh19 (-301222)
peak_257	Dsel (+283609)
peak_258	Dsel (+238773)
peak_259	Dsel (-355874)
peak_260	Dsel (-973640)
peak_261	NONE
peak_262	NONE
peak_263	NONE
peak_264	NONE
peak_265	Cntnap5a (-913748)
peak_266	Cntnap5a (-875534)
peak_267	Cntnap5a (+114797)
peak_268	Gm19965 (+59193)
peak_269	Gm19965 (+364180)
peak_270	Gm19965 (+401239)
peak_271	Gm28363 (-320470)
peak_272	Gm28363 (-262876)
peak_273	Gm28363 (-211439)
peak_274	Gm28363 (-109597)
peak_275	Gm28363 (-13455)
peak_276	Gm29106 (-103135)
peak_277	Gm29106 (-71793)
peak_278	Gm29106 (-48102)
peak_279	Tfcp2l1 (-39343)
peak_280	Tfcp2l1 (+197425)
peak_281	Gli2 (-90709)
peak_282	Ptpn4 (+93228)
peak_283	Insig2 (+333690)
peak_284	Ddx18 (-170116)
peak_285	Ddx18 (-518501)
peak_286	NONE
peak_287	Dpp10 (+188379)
peak_288	Actr3 (+513460)
peak_289	Actr3 (+463200)
peak_290	Nckap5 (+92478)
peak_291	Mgat5 (+215719)
peak_292	Zranb3 (+63983)
peak_293	Lct (+23569)
peak_294	Cxcr4 (-181034)
peak_295	Thsd7b (+64073)
peak_296	Thsd7b (+163150)
peak_297	Cd55 (-28444)
peak_298	Zp3r (+29120)
peak_299	Mapkapk2 (-19270)
peak_300	Rassf5 (+11838)
peak_301	Rab7b (-8450)
peak_302	Slc45a3 (+7259)
peak_303	Tmcc2 (+30867)
peak_304	Lrrn2 (+58002)
peak_305	Ppp1r15b (-24580)
peak_306	Plekha6 (-36546)
peak_307	Plekha6 (+28226)
peak_308	Mgat4e (+19371)
peak_309	Ipo9 (-48691)
peak_310	Mroh3 (-12521)
peak_311	Kif14 (-17589)
peak_312	Zfp281 (-35602)
peak_313	Nr5a2 (-389865)
peak_314	Atp6v1g3 (+38344)
peak_315	Lhx9 (+53378)
peak_316	Dennd1b (+159390)
peak_317	Cfhr1 (+13578)
peak_318	Cfhr1 (-27082)
peak_319	Cfhr1 (-89784)
peak_320	Cfhr1 (-109595)
peak_321	Gm4788 (+64595)
peak_322	Kcnt2 (+71882)
peak_323	Kcnt2 (+410485)
peak_324	Kcnt2 (+476796)
peak_325	Kcnt2 (+773362)
peak_326	Kcnt2 (+943649)
peak_327	NONE
peak_328	B3galt2 (-128574)
peak_329	Trove2 (+6219)
peak_330	Uchl5 (+84860)
peak_331	Rgs2 (+32636)
peak_332	Rgs1 (-71863)
peak_333	Rgs18 (-480062)
peak_334	Brinp3 (-669432)
peak_335	Brinp3 (-490346)
peak_336	Brinp3 (-470254)
peak_337	NONE
peak_338	NONE
peak_339	Pdc (-86604)
peak_340	Pdc (+18589)
peak_341	Rnf2 (-11384)
peak_342	Rnf2 (-16367)
peak_343	Tsen15 (+144544)
peak_344	Ncf2 (+7909)
peak_345	Lamc2 (+32612)
peak_346	Lamc2 (-41142)
peak_347	Cacna1e (-73016)
peak_348	Ier5 (+69844)
peak_349	BC034090 (+214)
peak_350	Tor1aip1 (-75570)
peak_351	Ralgps2 (+17289)
peak_352	Brinp2 (+24583)
peak_353	Pappa2 (+78697)
peak_354	Pappa2 (-63742)
peak_355	Tnn (+7604)
peak_356	Cacybp (-208485)
peak_357	Fasl (+61093)
peak_358	Fasl (+41690)
peak_359	Pigc (-36912)
peak_360	Dnm3 (-11752)
peak_361	Fmo4 (-6228)
peak_362	Mettl11b (+14829)
peak_363	Kifap3 (-7676)
peak_364	Mettl18 (+24700)
peak_365	Xcl1 (-90688)
peak_366	Adcy10 (+41316)
peak_367	Mpzl1 (-28916)
peak_368	Mpzl1 (-33116)
peak_369	Dusp27 (+27159)
peak_370	Gm4846 (+22152)
peak_371	Fam78b (-88936)
peak_372	Fam78b (-61591)
peak_373	Fam78b (+45213)
peak_374	Uck2 (+88311)
peak_375	Lmx1a (-16530)
peak_376	Pbx1 (-197923)
peak_377	Pbx1 (-288675)
peak_378	Olfr16 (+20511)
peak_379	Ifi204 (-26794)
peak_380	Grem2 (-21004)
peak_381	Rgs7 (+146960)
peak_382	Cep170 (+259601)
peak_383	Gm16432 (-55477)
peak_384	Gm16432 (+19726)
peak_385	Kif26b (-25261)
peak_386	Smyd3 (+380972)
peak_387	Smyd3 (+76142)
peak_388	Coq8a (+54311)
peak_389	Stum (+61905)
peak_390	Parp1 (-20815)
peak_391	H3f3a (-16193)
peak_392	Wdr26 (-20833)
peak_393	Enah (-45814)
peak_394	Srp9 (+13037)
peak_395	Trp53bp2 (+52741)
peak_396	Susd4 (+50677)
peak_397	Tlr5 (+132485)
peak_398	Hlx (+98324)
peak_399	Rab3gap2 (+43591)
peak_400	Tgfb2 (+107157)
peak_401	D1Pas1 (+95367)
peak_402	Cenpf (+106221)
peak_403	Ptpn14 (-10732)
peak_404	Smyd2 (+81487)
peak_405	Smyd2 (+71699)
peak_406	Prox1 (+9423)
peak_407	Prox1 (-312633)
peak_408	Rps6kc1 (+245889)
peak_409	Rps6kc1 (+164619)
peak_410	Ppp2r5a (-14024)
peak_411	Kcnh1 (+253264)
peak_412	Hhat (+192753)
peak_413	Hhat (+43559)
peak_414	Syt14 (-34218)
peak_415	Cd46 (+35315)
peak_416	Mthfd1l (-109478)
peak_417	Mthfd1l (-9011)
peak_418	Zbtb2 (+47551)
peak_419	Gm10097 (-157216)
peak_420	Rgs17 (-40981)
peak_421	Ulbp1 (+80959)
peak_422	Ulbp1 (-18608)
peak_423	Ust (+255210)
peak_424	Ust (+199071)
peak_425	Ust (-61968)
peak_426	Sash1 (+135577)
peak_427	Stxbp5 (-183921)
peak_428	Gm10944 (-13656)
peak_429	Grm1 (+107547)
peak_430	Epm2a (+187993)
peak_431	Epm2a (+212134)
peak_432	Utrn (+506399)
peak_433	Utrn (+48200)
peak_434	Plagl1 (+37125)
peak_435	Pex3 (-52074)
peak_436	Nmbr (+627035)
peak_437	NONE
peak_438	NONE
peak_439	Cited2 (-902629)
peak_440	Cited2 (-585884)
peak_441	Cited2 (-579508)
peak_442	Nhsl1 (-43764)
peak_443	Map7 (-24853)
peak_444	Map7 (+37800)
peak_445	Bclaf1 (-38901)
peak_446	Bclaf1 (-25677)
peak_447	Pde7b (-101181)
peak_448	Myb (+83038)
peak_449	Sgk1 (-24401)
peak_450	Slc2a12 (-23649)
peak_451	Tcf21 (+16157)
peak_452	Tcf21 (-39187)
peak_453	Eya4 (-126021)
peak_454	Eya4 (-131163)
peak_455	Eya4 (-151049)
peak_456	Rps12 (+155865)
peak_457	Akap7 (+23980)
peak_458	Tmem200a (+135824)
peak_459	Lama2 (+256601)
peak_460	Ptprk (-33806)
peak_461	2310057J18Rik (+78506)
peak_462	2310057J18Rik (-44041)
peak_463	Rnf146 (-78906)
peak_464	Rspo3 (-238000)
peak_465	Cenpw (+325220)
peak_466	Rnf217 (-64252)
peak_467	Clvs2 (+132949)
peak_468	Clvs2 (+18819)
peak_469	Clvs2 (-18299)
peak_470	Sult3a2 (-35014)
peak_471	Frk (+436949)
peak_472	Amd2 (+189806)
peak_473	Hs3st5 (-370459)
peak_474	Hs3st5 (-230759)
peak_475	Marcks (-569596)
peak_476	Marcks (-796719)
peak_477	Marcks (-831790)
peak_478	Rfpl4b (+596965)
peak_479	Rfpl4b (+557169)
peak_480	Rfpl4b (-25071)
peak_481	Traf3ip2 (-79656)
peak_482	Traf3ip2 (-69393)
peak_483	Mfsd4b1 (+17525)
peak_484	Rpf2 (+34233)
peak_485	Slc22a16 (-92654)
peak_486	Slc22a16 (-33714)
peak_487	Gpr6 (+72672)
peak_488	Gpr6 (-79312)
peak_489	Zbtb24 (-24165)
peak_490	Ccdc162 (+41063)
peak_491	Foxo3 (+25250)
peak_492	Ostm1 (+40600)
peak_493	Scml4 (+102190)
peak_494	Prdm1 (+49056)
peak_495	Prdm1 (+17396)
peak_496	Prdm1 (-80208)
peak_497	Prep (-161488)
peak_498	Prep (-18694)
peak_499	Lin28b (+23783)
peak_500	Hace1 (+261184)
peak_501	Hace1 (+786839)
peak_502	Hace1 (+802579)
peak_503	NONE
peak_504	NONE
peak_505	NONE
peak_506	NONE
peak_507	NONE
peak_508	Grik2 (+763280)
peak_509	Grik2 (+563786)
peak_510	Grik2 (-320553)
peak_511	Rfx6 (+66200)
peak_512	Vgll2 (-31189)
peak_513	Vgll2 (-23335)
peak_514	Gopc (+62653)
peak_515	Nus1 (+104030)
peak_516	Slc35f1 (-41483)
peak_517	Slc35f1 (+260816)
peak_518	Asf1a (-94127)
peak_519	Msl3l2 (-602103)
peak_520	Msl3l2 (-75723)
peak_521	Hsf2 (-456870)
peak_522	Hsf2 (-266939)
peak_523	Fabp7 (-18637)
peak_524	Oit3 (-83050)
peak_525	Psap (-14191)
peak_526	Vsir (-23112)
peak_527	Gm17455 (+140212)
peak_528	Unc5b (-31890)
peak_529	Prf1 (+12142)
peak_530	Pald1 (-11253)
peak_531	Npffr1 (-15309)
peak_532	Tspan15 (+13051)
peak_533	Tacr2 (+33710)
peak_534	Ctnna3 (+205851)
peak_535	Gm10118 (+185663)
peak_536	Lrrtm3 (-695342)
peak_537	NONE
peak_538	NONE
peak_539	NONE
peak_540	Reep3 (+830014)
peak_541	Reep3 (+675435)
peak_542	Reep3 (+628052)
peak_543	Reep3 (+514633)
peak_544	Reep3 (+101920)
peak_545	Reep3 (+86596)
peak_546	Rtkn2 (+117858)
peak_547	Arid5b (-66750)
peak_548	A930033H14Rik (+16728)
peak_549	Rhobtb1 (+23288)
peak_550	Rhobtb1 (+57295)
peak_551	Ccdc6 (-103137)
peak_552	Mrln (+18213)
peak_553	Fam13c (+66115)
peak_554	Ipmk (+476879)
peak_555	Zwint (-161799)
peak_556	Zwint (+283162)
peak_557	Pcdh15 (-527024)
peak_558	Pcdh15 (-384111)
peak_559	Pcdh15 (+314243)
peak_560	Pcdh15 (+421842)
peak_561	Gnaz (-292072)
peak_562	Gnaz (+24317)
peak_563	Rab36 (+6850)
peak_564	Adora2a (+16450)
peak_565	Lrrc75b (+6478)
peak_566	Ggt5 (+14927)
peak_567	Slc5a4b (-6946)
peak_568	Prmt2 (+14930)
peak_569	Dip2a (-29597)
peak_570	Pcnt (+38253)
peak_571	Ftcd (+20880)
peak_572	Slc19a1 (-24515)
peak_573	Slc19a1 (+9184)
peak_574	Pofut2 (+14137)
peak_575	Ube2g2 (+27263)
peak_576	D10Jhu81e (+6740)
peak_577	Olfr1354 (-18428)
peak_578	Olfr8 (-10268)
peak_579	Theg (+8043)
peak_580	Arid3a (+10152)
peak_581	Mum1 (-5888)
peak_582	Tcf3 (-25618)
peak_583	Onecut3 (+19444)
peak_584	Mob3a (+10488)
peak_585	Tle2 (+5183)
peak_586	D10Wsu102e (+44821)
peak_587	1500009L16Rik (-30593)
peak_588	1500009L16Rik (+84152)
peak_589	Nuak1 (+285242)
peak_590	Pwp1 (-221421)
peak_591	Timp3 (-65750)
peak_592	Nt5dc3 (+17683)
peak_593	Stab2 (+99080)
peak_594	1700113H08Rik (+13941)
peak_595	1700113H08Rik (+122759)
peak_596	Spic (-23115)
peak_597	Arl1 (+8013)
peak_598	Slc5a8 (+159624)
peak_599	Uhrf1bp1l (+219784)
peak_600	Uhrf1bp1l (+388284)
peak_601	Tmpo (-23938)
peak_602	Tmpo (-86599)
peak_603	Tmpo (-160999)
peak_604	Nedd1 (-86927)
peak_605	Cfap54 (+21167)
peak_606	Elk3 (+55728)
peak_607	Ntn4 (+92671)
peak_608	Usp44 (-36369)
peak_609	Ndufa12 (+62976)
peak_610	Tmcc3 (-88071)
peak_611	Cradd (-7871)
peak_612	Cradd (-28471)
peak_613	Btg1 (+57020)
peak_614	C030005K15Rik (-319115)
peak_615	Atp2b1 (-363922)
peak_616	Atp2b1 (-325318)
peak_617	Poc1b (-32414)
peak_618	Dusp6 (+181575)
peak_619	Csl (+163911)
peak_620	Csl (+159712)
peak_621	Csl (+91498)
peak_622	Csl (+19450)
peak_623	Kitl (-124483)
peak_624	Gm4301 (-122964)
peak_625	Mgat4c (-229754)
peak_626	Mgat4c (-50642)
peak_627	Nts (+175028)
peak_628	Nts (+166310)
peak_629	Nts (+57029)
peak_630	Lrriq1 (+21979)
peak_631	Slc6a15 (+317090)
peak_632	Slc6a15 (+342228)
peak_633	Slc6a15 (+386879)
peak_634	Gm21293 (-150925)
peak_635	Ccdc59 (-31737)
peak_636	Mettl25 (-84141)
peak_637	Ppfia2 (+65389)
peak_638	Lin7a (+94777)
peak_639	Pawr (-67120)
peak_640	Nav3 (-224872)
peak_641	Nav3 (-364315)
peak_642	E2f7 (-117302)
peak_643	E2f7 (+15068)
peak_644	Zdhhc17 (+23406)
peak_645	Phlda1 (+88556)
peak_646	Kcnc2 (+52269)
peak_647	Kcnc2 (+153661)
peak_648	Atxn7l3b (+56418)
peak_649	Atxn7l3b (-460353)
peak_650	Trhde (+269098)
peak_651	Trhde (+265649)
peak_652	Tph2 (+149094)
peak_653	Tph2 (+20902)
peak_654	Tph2 (-27178)
peak_655	Ptprr (+5979)
peak_656	Cnot2 (-146767)
peak_657	Best3 (+21917)
peak_658	Yeats4 (+29411)
peak_659	Cpm (-34659)
peak_660	Mdm2 (+34565)
peak_661	Rap1b (-80212)
peak_662	Dyrk2 (+65300)
peak_663	Dyrk2 (+9473)
peak_664	Cand1 (+35398)
peak_665	Cand1 (-47598)
peak_666	Grip1 (-49338)
peak_667	Hmga2 (+85168)
peak_668	Hmga2 (+79187)
peak_669	Hmga2 (+61836)
peak_670	Hmga2 (+26285)
peak_671	Msrb3 (+47553)
peak_672	Rassf3 (+8417)
peak_673	BC048403 (-32898)
peak_674	Srgap1 (+131564)
peak_675	Srgap1 (+102277)
peak_676	Tmem5 (-16343)
peak_677	Avpr1a (-57014)
peak_678	Ppm1h (-46863)
peak_679	Mon2 (-8301)
peak_680	Lrig3 (-264796)
peak_681	Lrig3 (+229430)
peak_682	Atp23 (+200543)
peak_683	Atp23 (+38824)
peak_684	Avil (+10745)
peak_685	Myl6 (+12076)
peak_686	Esyt1 (+8847)
peak_687	Olfr782 (-7699)
peak_688	Olfr796 (+18695)
peak_689	Tespa1 (-20007)
peak_690	Vmn2r86 (+10949)
peak_691	Smtn (+11326)
peak_692	Sec14l4 (-14478)
peak_693	Rnf215 (+8827)
peak_694	Osm (-5857)
peak_695	Ankrd36 (+35429)
peak_696	Ankrd36 (+64901)
peak_697	Mrps24 (+7695)
peak_698	Urgcp (+12229)
peak_699	Dbnl (-10729)
peak_700	Igfbp3 (-656147)
peak_701	Abca13 (+173019)
peak_702	Vwc2 (-946524)
peak_703	Vwc2 (-64645)
peak_704	Vwc2 (+34185)
peak_705	Ddc (+41902)
peak_706	Ddc (+24970)
peak_707	Ddc (-68266)
peak_708	Cobl (-441145)
peak_709	Cobl (-851055)
peak_710	Cobl (-914186)
peak_711	NONE
peak_712	NONE
peak_713	NONE
peak_714	NONE
peak_715	Vstm2a (-479555)
peak_716	Sec61g (+122700)
peak_717	Sec61g (-7066)
peak_718	Cnrip1 (+47362)
peak_719	C1d (+260898)
peak_720	Etaa1 (+286156)
peak_721	Etaa1 (-10139)
peak_722	Etaa1 (-98541)
peak_723	Etaa1 (-244660)
peak_724	Etaa1 (-343494)
peak_725	Meis1 (+395532)
peak_726	Meis1 (+382671)
peak_727	Meis1 (+33150)
peak_728	Meis1 (-63624)
peak_729	Meis1 (-390391)
peak_730	Spred2 (-48392)
peak_731	Spred2 (+41082)
peak_732	Slc1a4 (-63433)
peak_733	Vps54 (-49960)
peak_734	Wdpcp (+62180)
peak_735	Otx1 (+94450)
peak_736	Tmem17 (+134987)
peak_737	Fam161a (+12157)
peak_738	Papolg (+53455)
peak_739	Papolg (+48720)
peak_740	Bcl11a (+204379)
peak_741	Bcl11a (+518789)
peak_742	Bcl11a (+733545)
peak_743	Bcl11a (+803657)
peak_744	Fancl (+40205)
peak_745	Fancl (+81409)
peak_746	Vrk2 (-75948)
peak_747	Vrk2 (-138955)
peak_748	Vrk2 (-768881)
peak_749	Vrk2 (-795467)
peak_750	Ccdc85a (+344073)
peak_751	Ccdc85a (+244193)
peak_752	Ccdc85a (+229976)
peak_753	Pnpt1 (-100095)
peak_754	Ccdc88a (+65017)
peak_755	Rps27a (-54581)
peak_756	Eml6 (+64647)
peak_757	Eml6 (-47683)
peak_758	Bod1 (+79782)
peak_759	Bod1 (-8534)
peak_760	Stk10 (+47299)
peak_761	Fbxw11 (-39352)
peak_762	Fgf18 (+120381)
peak_763	Lcp2 (-32886)
peak_764	Foxi1 (-15203)
peak_765	Pank3 (-69399)
peak_766	Wwc1 (-27498)
peak_767	Wwc1 (-361873)
peak_768	Tenm2 (-777131)
peak_769	NONE
peak_770	NONE
peak_771	Mat2b (+443363)
peak_772	Mat2b (+31440)
peak_773	Ccng1 (-260964)
peak_774	Ccng1 (-356421)
peak_775	Gabrg2 (+619420)
peak_776	Gabrg2 (+290440)
peak_777	Gabrg2 (+111058)
peak_778	Pwwp2a (+22791)
peak_779	Il12b (-94076)
peak_780	Sox30 (+33922)
peak_781	Havcr1 (+15899)
peak_782	Timd4 (+100419)
peak_783	Sgcd (-88773)
peak_784	Sgcd (-414943)
peak_785	Rack1 (-77638)
peak_786	Olfr1393 (-16621)
peak_787	Tbc1d9b (+8507)
peak_788	Adamts2 (+20177)
peak_789	Grm6 (+9230)
peak_790	Jade2 (-23478)
peak_791	Jade2 (-40527)
peak_792	Tcf7 (+7320)
peak_793	Tcf7 (-16191)
peak_794	Irf1 (+25041)
peak_795	Cdc42se2 (-8842)
peak_796	Cdc42se2 (-19305)
peak_797	Glra1 (-62745)
peak_798	Nmur2 (-162715)
peak_799	Gria1 (-279743)
peak_800	Gria1 (-204623)
peak_801	Fam114a2 (+172745)
peak_802	Sap30l (-21969)
peak_803	Sh3bp5l (+14763)
peak_804	Trim11 (+60565)
peak_805	Obscn (+42362)
peak_806	Obscn (+11562)
peak_807	Srebf1 (-12007)
peak_808	Gm10428 (-2231)
peak_809	Zfp286 (-14572)
peak_810	Hs3st3b1 (+116953)
peak_811	Hs3st3a1 (-136976)
peak_812	1700086D15Rik (+33172)
peak_813	Shisa6 (+65182)
peak_814	Myh8 (-18076)
peak_815	Myh13 (+43440)
peak_816	Pik3r6 (-8448)
peak_817	Myh10 (+60605)
peak_818	Gucy2e (-31737)
peak_819	Chd3 (+11657)
peak_820	Dnah2 (+56806)
peak_821	Dnah2 (+19532)
peak_822	4930544D05Rik (-7131)
peak_823	Kif1c (+26577)
peak_824	Nlrp1b (-6652)
peak_825	Wscd1 (+70086)
peak_826	P2rx5 (+7225)
peak_827	Olfr380 (-12378)
peak_828	Mettl16 (-21452)
peak_829	Rtn4rl1 (+11379)
peak_830	Rtn4rl1 (+25865)
peak_831	Rtn4rl1 (+53221)
peak_832	Rtn4rl1 (+72217)
peak_833	Slc43a2 (+20343)
peak_834	Doc2b (-48008)
peak_835	Nxn (+24867)
peak_836	Bhlha9 (-70928)
peak_837	Taok1 (-17193)
peak_838	Lgals9 (-51551)
peak_839	Gm9964 (+18098)
