# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	20748	Mobp	11	6.969879e-4	1.000000e+0	1.000000e+0	1.785479e+1	1.680221e-1	3	3.328489e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4814,peak_4815,peak_4816	Mobp
Ensembl Genes	6829	Irak4	12	9.470665e-4	1.000000e+0	1.000000e+0	4.527951e+1	4.417009e-2	2	8.750017e-6	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_1785,peak_1786	Irak4
Ensembl Genes	14843	Vmn2r9	13	9.686712e-4	1.000000e+0	1.000000e+0	1.591868e+1	1.884579e-1	3	3.733318e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3737,peak_3738,peak_3739	Vmn2r9
Ensembl Genes	12862	2610301B20Rik	14	1.006846e-3	1.000000e+0	1.000000e+0	5.410169e+0	1.109023e+0	6	2.196955e-4	1.188590e-3	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3118,peak_3119,peak_3120,peak_3121,peak_3122,peak_3123	2610301B20Rik
Ensembl Genes	13813	Man1c1	15	1.245074e-3	1.000000e+0	1.000000e+0	1.457827e+1	2.057858e-1	3	4.076580e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3447,peak_3448,peak_3449	Man1c1
Ensembl Genes	20460	Spsb4	16	1.343089e-3	1.000000e+0	1.000000e+0	1.419514e+1	2.113399e-1	3	4.186607e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4767,peak_4768,peak_4769	Spsb4
Ensembl Genes	2314	Ddc	17	1.462627e-3	1.000000e+0	1.000000e+0	1.377545e+1	2.177788e-1	3	4.314159e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_705,peak_706,peak_707	Ddc
Ensembl Genes	12786	Ssx2ip	18	1.482155e-3	1.000000e+0	1.000000e+0	1.371122e+1	2.187988e-1	3	4.334367e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3078,peak_3079,peak_3080	Ssx2ip
Ensembl Genes	4515	Akr1e1	19	1.675351e-3	1.000000e+0	1.000000e+0	4.888645e+0	1.227334e+0	6	2.431327e-4	1.188590e-3	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_1166,peak_1167,peak_1168,peak_1169,peak_1170,peak_1171	Akr1e1
Ensembl Genes	9	Atp6v1h	20	1.675751e-3	1.000000e+0	1.000000e+0	8.096743e+0	4.940258e-1	4	9.786565e-5	7.923930e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4,peak_5,peak_6,peak_7	Atp6v1h
Ensembl Genes	18365	Fam53b	21	1.723004e-3	1.000000e+0	1.000000e+0	1.300163e+1	2.307404e-1	3	4.570926e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4316,peak_4317,peak_4318	Fam53b
Ensembl Genes	8083	Rnf8	22	1.847006e-3	1.000000e+0	1.000000e+0	3.223160e+1	6.205090e-2	2	1.229218e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2088,peak_2089	Rnf8
Ensembl Genes	56	Crispld1	23	1.996245e-3	1.000000e+0	1.000000e+0	7.712804e+0	5.186181e-1	4	1.027373e-4	7.923930e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_44,peak_45,peak_46,peak_47	Crispld1
Ensembl Genes	8627	Epb41l3	24	2.032089e-3	1.000000e+0	1.000000e+0	7.674685e+0	5.211940e-1	4	1.032476e-4	7.923930e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2176,peak_2177,peak_2178,peak_2179	Epb41l3
Ensembl Genes	21601	Prps1	25	2.072518e-3	1.000000e+0	1.000000e+0	1.217835e+1	2.463389e-1	3	4.879930e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_5008,peak_5009,peak_5010	Prps1
Ensembl Genes	9898	Arl3	26	2.232954e-3	1.000000e+0	1.000000e+0	2.925275e+1	6.836963e-2	2	1.354391e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2448,peak_2449	Arl3
Ensembl Genes	328	March4	27	2.490148e-3	1.000000e+0	1.000000e+0	1.140861e+1	2.629594e-1	3	5.209180e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_176,peak_177,peak_178	March4
Ensembl Genes	12894	Mmp16	28	2.545126e-3	1.000000e+0	1.000000e+0	3.190570e+0	2.820813e+0	9	5.587981e-4	1.782884e-3	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3141,peak_3142,peak_3143,peak_3144,peak_3145,peak_3146,peak_3147,peak_3148,peak_3149	Mmp16
Ensembl Genes	3745	Sec14l1	29	2.617952e-3	1.000000e+0	1.000000e+0	1.120676e+1	2.676956e-1	3	5.303003e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_913,peak_914,peak_915	Sec14l1
Ensembl Genes	9948	Tcf7l2	30	2.645722e-3	1.000000e+0	1.000000e+0	5.398186e+0	9.262371e-1	5	1.834860e-4	9.904913e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2480,peak_2481,peak_2482,peak_2483,peak_2484	Tcf7l2
Ensembl Genes	17097	Fcgbp	31	2.721430e-3	1.000000e+0	1.000000e+0	2.643378e+1	7.566077e-2	2	1.498827e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4189,peak_4190	Fcgbp
Ensembl Genes	606	Gm28363	32	2.722595e-3	1.000000e+0	1.000000e+0	5.361883e+0	9.325082e-1	5	1.847282e-4	9.904913e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_271,peak_272,peak_273,peak_274,peak_275	Gm28363
Ensembl Genes	8380	Pgk2	33	2.835921e-3	1.000000e+0	1.000000e+0	1.089112e+1	2.754539e-1	3	5.456693e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2114,peak_2115,peak_2116	Pgk2
Ensembl Genes	3616	Pitpnc1	34	2.868035e-3	1.000000e+0	1.000000e+0	1.084734e+1	2.765654e-1	3	5.478713e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_883,peak_884,peak_885	Pitpnc1
Ensembl Genes	14926	Tchp	35	2.933410e-3	1.000000e+0	1.000000e+0	2.543576e+1	7.862946e-2	2	1.557636e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3768,peak_3769	Tchp
Ensembl Genes	14960	Cit	36	2.944326e-3	1.000000e+0	1.000000e+0	1.074592e+1	2.791757e-1	3	5.530422e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3774,peak_3775,peak_3776	Cit
Ensembl Genes	13250	Lurap1l	37	2.979289e-3	1.000000e+0	1.000000e+0	6.894401e+0	5.801809e-1	4	1.149328e-4	7.923930e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3306,peak_3307,peak_3308,peak_3309	Lurap1l
Ensembl Genes	13703	Zbtb8b	38	3.002096e-3	1.000000e+0	1.000000e+0	2.513527e+1	7.956946e-2	2	1.576257e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3435,peak_3436	Zbtb8b
Ensembl Genes	3081	Gm9964	39	3.121571e-3	1.000000e+0	1.000000e+0	2.463643e+1	8.118060e-2	2	1.608173e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_839,peak_840	Gm9964
Ensembl Genes	10323	Rpl12	40	3.146446e-3	1.000000e+0	1.000000e+0	2.453616e+1	8.151236e-2	2	1.614746e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2554,peak_2555	Rpl12
Ensembl Genes	19603	Gm10715	41	3.175466e-3	1.000000e+0	1.000000e+0	1.045884e+1	2.868386e-1	3	5.682223e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4602,peak_4603,peak_4604	Gm10715
Ensembl Genes	4089	Vcpkmt	42	3.432166e-3	1.000000e+0	1.000000e+0	1.017097e+1	2.949573e-1	3	5.843052e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_1050,peak_1051,peak_1052	Vcpkmt
Ensembl Genes	11386	Sdcbp2	43	3.482783e-3	1.000000e+0	1.000000e+0	2.328764e+1	8.588246e-2	2	1.701317e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2734,peak_2735	Sdcbp2
Ensembl Genes	7548	Hspa13	44	3.653231e-3	1.000000e+0	1.000000e+0	9.945122e+0	3.016554e-1	3	5.975741e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_1949,peak_1950,peak_1951	Hspa13
Ensembl Genes	17428	Slc6a21	45	3.680525e-3	1.000000e+0	1.000000e+0	2.263487e+1	8.835924e-2	2	1.750381e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4217,peak_4218	Slc6a21
Ensembl Genes	13691	Ak2	46	3.926826e-3	1.000000e+0	1.000000e+0	2.189179e+1	9.135844e-2	2	1.809795e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3432,peak_3433	Ak2
Ensembl Genes	4039	Ppp2r3c	47	3.951341e-3	1.000000e+0	1.000000e+0	2.182166e+1	9.165207e-2	2	1.815612e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_1023,peak_1024	Ppp2r3c
Ensembl Genes	14912	Svop	48	3.989208e-3	1.000000e+0	1.000000e+0	2.171459e+1	9.210395e-2	2	1.824563e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3764,peak_3765	Svop
Ensembl Genes	10453	Baz2b	49	4.012427e-3	1.000000e+0	1.000000e+0	9.614471e+0	3.120296e-1	3	6.181253e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2607,peak_2608,peak_2609	Baz2b
Ensembl Genes	7263	Adipoq	50	4.020492e-3	1.000000e+0	1.000000e+0	2.162729e+1	9.247575e-2	2	1.831929e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_1837,peak_1838	Adipoq
Ensembl Genes	18299	Bcl7c	51	4.125595e-3	1.000000e+0	1.000000e+0	2.134128e+1	9.371509e-2	2	1.856480e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4308,peak_4309	Bcl7c
Ensembl Genes	17682	Vmn2r65	52	4.176986e-3	1.000000e+0	1.000000e+0	2.120538e+1	9.431570e-2	2	1.868378e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4246,peak_4247	Vmn2r65
Ensembl Genes	2034	Hmga2	53	4.225270e-3	1.000000e+0	1.000000e+0	6.243424e+0	6.406741e-1	4	1.269164e-4	7.923930e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_667,peak_668,peak_669,peak_670	Hmga2
Ensembl Genes	9175	Cidea	54	4.386523e-3	1.000000e+0	1.000000e+0	2.067620e+1	9.672955e-2	2	1.916196e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2322,peak_2323	Cidea
Ensembl Genes	611	Gm29106	55	4.658802e-3	1.000000e+0	1.000000e+0	9.108643e+0	3.293575e-1	3	6.524515e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_276,peak_277,peak_278	Gm29106
Ensembl Genes	9176	Tubb6	56	4.739411e-3	1.000000e+0	1.000000e+0	1.986563e+1	1.006764e-1	2	1.994381e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2324,peak_2325	Tubb6
Ensembl Genes	20871	Glod5	57	4.804174e-3	1.000000e+0	1.000000e+0	1.972666e+1	1.013857e-1	2	2.008432e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4824,peak_4825	Glod5
Ensembl Genes	14648	Smr2	58	5.036378e-3	1.000000e+0	1.000000e+0	1.925059e+1	1.038929e-1	2	2.058101e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3686,peak_3687	Smr2
Ensembl Genes	8476	Ccnd3	59	5.056748e-3	1.000000e+0	1.000000e+0	1.921040e+1	1.041103e-1	2	2.062407e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2133,peak_2134	Ccnd3
Ensembl Genes	3652	Cdc42ep4	60	5.087128e-3	1.000000e+0	1.000000e+0	8.822277e+0	3.400483e-1	3	6.736297e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_900,peak_901,peak_902	Cdc42ep4
Ensembl Genes	19419	Ddx19a	61	5.293920e-3	1.000000e+0	1.000000e+0	1.875964e+1	1.066119e-1	2	2.111962e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4551,peak_4552	Ddx19a
Ensembl Genes	4846	A830005F24Rik	62	5.334182e-3	1.000000e+0	1.000000e+0	1.868612e+1	1.070313e-1	2	2.120272e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_1253,peak_1254	A830005F24Rik
Ensembl Genes	3759	Socs3	63	5.385813e-3	1.000000e+0	1.000000e+0	1.859304e+1	1.075671e-1	2	2.130886e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_919,peak_920	Socs3
Ensembl Genes	5486	Kcnk16	64	5.393182e-3	1.000000e+0	1.000000e+0	1.857987e+1	1.076434e-1	2	2.132396e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_1443,peak_1444	Kcnk16
Ensembl Genes	12352	Gm4778	65	5.436010e-3	1.000000e+0	1.000000e+0	1.850383e+1	1.080857e-1	2	2.141159e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2991,peak_2992	Gm4778
Ensembl Genes	9917	Stn1	66	5.644027e-3	1.000000e+0	1.000000e+0	1.814690e+1	1.102117e-1	2	2.183274e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2453,peak_2454	Stn1
Ensembl Genes	7438	Slc9c1	67	5.814942e-3	1.000000e+0	1.000000e+0	1.786807e+1	1.119315e-1	2	2.217343e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_1881,peak_1882	Slc9c1
Ensembl Genes	10304	Fam102a	68	6.009495e-3	1.000000e+0	1.000000e+0	1.756527e+1	1.138610e-1	2	2.255567e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2551,peak_2552	Fam102a
Ensembl Genes	18951	Lzts1	69	6.046545e-3	1.000000e+0	1.000000e+0	1.750927e+1	1.142252e-1	2	2.262782e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4471,peak_4472	Lzts1
Ensembl Genes	21747	Glra2	70	6.158416e-3	1.000000e+0	1.000000e+0	4.407696e+0	1.134380e+0	5	2.247186e-4	9.904913e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_5038,peak_5039,peak_5040,peak_5041,peak_5042	Glra2
Ensembl Genes	1928	Csl	71	6.253478e-3	1.000000e+0	1.000000e+0	5.576544e+0	7.172901e-1	4	1.420939e-4	7.923930e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_619,peak_620,peak_621,peak_622	Csl
Ensembl Genes	15071	Vps37b	72	6.277363e-3	1.000000e+0	1.000000e+0	1.717161e+1	1.164713e-1	2	2.307276e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3812,peak_3813	Vps37b
Ensembl Genes	331	Rpl37a	73	6.452981e-3	1.000000e+0	1.000000e+0	1.692693e+1	1.181549e-1	2	2.340628e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_179,peak_180	Rpl37a
Ensembl Genes	18945	Sh2d4a	74	6.490168e-3	1.000000e+0	1.000000e+0	5.516612e+0	7.250827e-1	4	1.436376e-4	7.923930e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4467,peak_4468,peak_4469,peak_4470	Sh2d4a
Ensembl Genes	12880	Fam92a	75	6.666737e-3	1.000000e+0	1.000000e+0	5.473648e+0	7.307741e-1	4	1.447651e-4	7.923930e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3124,peak_3125,peak_3126,peak_3127	Fam92a
Ensembl Genes	4884	Auh	76	6.860693e-3	1.000000e+0	1.000000e+0	7.908570e+0	3.793353e-1	3	7.514567e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_1265,peak_1266,peak_1267	Auh
Ensembl Genes	2563	Tcf7	77	6.934682e-3	1.000000e+0	1.000000e+0	1.630417e+1	1.226680e-1	2	2.430031e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_792,peak_793	Tcf7
Ensembl Genes	16808	Psg28	78	6.986069e-3	1.000000e+0	1.000000e+0	1.624156e+1	1.231408e-1	2	2.439399e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4174,peak_4175	Psg28
Ensembl Genes	20646	Fbxw15	79	7.091662e-3	1.000000e+0	1.000000e+0	1.611506e+1	1.241075e-1	2	2.458549e-5	3.961965e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4798,peak_4799	Fbxw15
Ensembl Genes	20048	Cep164	80	7.358440e-3	1.000000e+0	1.000000e+0	7.707354e+0	3.892386e-1	3	7.710749e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4683,peak_4684,peak_4685	Cep164
Ensembl Genes	10435	Rprm	81	7.385081e-3	1.000000e+0	1.000000e+0	4.215001e+0	1.186239e+0	5	2.349919e-4	9.904913e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2590,peak_2591,peak_2592,peak_2593,peak_2594	Rprm
Ensembl Genes	11680	Zfp217	82	7.524716e-3	1.000000e+0	1.000000e+0	5.283334e+0	7.570977e-1	4	1.499797e-4	7.923930e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2776,peak_2777,peak_2778,peak_2779	Zfp217
