# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610030E20Rik	unnamed (-872)
Acaa1b	unnamed (+426)
Acan	unnamed (+46)
Acbd6	unnamed (+181970)
Acbd7	unnamed (+30)
Accsl	unnamed (-87065)
Ace	unnamed (-537)
Acer2	unnamed (+253)
Acot12	unnamed (-109)
Acot2	unnamed (+556)
Acot3	unnamed (-12735), unnamed (+3113)
Acot4	unnamed (+1037)
Acot5	unnamed (-14061), unnamed (+301)
Acot6	unnamed (+998)
Acp7	unnamed (+211)
Acrbp	unnamed (-133)
Acsl6	unnamed (+58)
Acsm3	unnamed (-16297), unnamed (-1210)
Acss2	unnamed (+406)
Actl6b	unnamed (+509)
Actn2	unnamed (+285)
Actn4	unnamed (+74485)
Actr5	unnamed (-12042)
Actrt3	unnamed (+88901)
Acvrl1	unnamed (-496)
Acyp2	unnamed (+185)
Adad2	unnamed (+21006)
Adam11	unnamed (-506)
Adam12	unnamed (-672)
Adam22	unnamed (+323)
Adam23	unnamed (+168691)
Adam32	unnamed (-118)
Adam39	unnamed (+39601)
Adamts1	unnamed (-96857), unnamed (0)
Adamts15	unnamed (+590)
Adamts16	unnamed (+263)
Adamts17	unnamed (+960)
Adamts18	unnamed (-70)
Adamts19	unnamed (+332)
Adamts2	unnamed (+949)
Adamts20	unnamed (+273), unnamed (+808061)
Adamts3	unnamed (-218)
Adamts5	unnamed (+1155)
Adamts7	unnamed (-80)
Adamts8	unnamed (+91)
Adamtsl3	unnamed (-267)
Adamtsl4	unnamed (-48887), unnamed (+508)
Adarb2	unnamed (+318)
Adcy1	unnamed (-403695)
Adcy2	unnamed (+102)
Adcy4	unnamed (-4458), unnamed (+478)
Adcy5	unnamed (+752)
Adcy6	unnamed (-1240)
Adcy7	unnamed (-16070)
Adcy8	unnamed (+613)
Adcyap1	unnamed (+2961)
Adcyap1r1	unnamed (+200), unnamed (+224853)
Add2	unnamed (+379)
Adgra1	unnamed (+334)
Adgrb2	unnamed (-6603)
Adgrb3	unnamed (-46)
Adgrf1	unnamed (-5083)
Adgrg2	unnamed (+58)
Adgrg6	unnamed (+368)
Adgrl3	unnamed (-288738)
Adgrl4	unnamed (-3)
Adk	unnamed (+23422)
Adm	unnamed (+490)
Adora1	unnamed (+309)
Adora2a	unnamed (+459)
Adora2b	unnamed (+249)
Adprhl2	unnamed (+33476)
Adra1b	unnamed (+65167)
Adra1d	unnamed (+469)
Adra2a	unnamed (+1607)
Adra2b	unnamed (-47)
Adra2c	unnamed (+1630)
Adrb1	unnamed (+486)
Adrb2	unnamed (+304)
Adrb3	unnamed (+2539)
Adssl1	unnamed (-46)
Aebp1	unnamed (+238)
Afap1l2	unnamed (+190)
Aff2	unnamed (+260)
Aga	unnamed (+48)
Agbl2	unnamed (-91)
Agbl3	unnamed (+203)
Agbl4	unnamed (-46444)
Agmat	unnamed (+690)
Agtr1a	unnamed (+299)
Aif1l	unnamed (+224)
Aifm1	unnamed (+49731)
Aig1	unnamed (-42)
Aipl1	unnamed (-4920)
Aire	unnamed (+650)
Ak4	unnamed (+77111), unnamed (+89560)
Ak5	unnamed (+753)
Ak8	unnamed (+408)
Akain1	unnamed (+260), unnamed (+530587)
Akap10	unnamed (-27290), unnamed (-21234)
Akap2	unnamed (-285919)
Akap5	unnamed (+47)
Akap6	unnamed (+1032)
Akap7	unnamed (+99963)
Akp3	unnamed (+2621), unnamed (+29935)
Akr1b10	unnamed (+247)
Akr1e1	unnamed (+159)
Alas1	unnamed (+21973)
Alcam	unnamed (+1644)
Aldh1a2	unnamed (+177)
Aldh1l1	unnamed (-353)
Aldh5a1	unnamed (+449)
Alg3	unnamed (+20004)
Alk	unnamed (-274)
Alkal1	unnamed (-68)
Alkal2	unnamed (+227)
Alox12e	unnamed (+396)
Alox15	unnamed (+396)
Alox5	unnamed (+543)
Alox8	unnamed (+570)
Aloxe3	unnamed (-3296)
Alppl2	unnamed (+2613)
Alx3	unnamed (+1315)
Alx4	unnamed (+2403)
Amdhd1	unnamed (+5076)
Amer2	unnamed (+1363)
Amer3	unnamed (-41), unnamed (+98365)
Amigo2	unnamed (+158)
Amn	unnamed (+2388)
Ampd3	unnamed (-3706)
Ang	unnamed (-6161)
Angel2	unnamed (+49189)
Ank1	unnamed (+493), unnamed (+83670)
Ank2	unnamed (-90105)
Ankef1	unnamed (-101)
Ankrd13b	unnamed (+22433)
Ankrd29	unnamed (-581)
Ankrd33b	unnamed (+432), unnamed (+141874)
Ankrd34b	unnamed (+629)
Ankrd37	unnamed (+90)
Ankrd44	unnamed (-871)
Ankrd53	unnamed (+409)
Ankrd63	unnamed (+964), unnamed (+27577)
Ankrd65	unnamed (+1156)
Anks1	unnamed (+166368)
Anks1b	unnamed (-703218), unnamed (+253516)
Anks6	unnamed (+502)
Ano1	unnamed (+37)
Ano5	unnamed (-190)
Antxr1	unnamed (+463)
Antxr2	unnamed (-867)
Anxa2	unnamed (+11)
Anxa4	unnamed (-27351)
Anxa5	unnamed (-178)
Aoah	unnamed (-702072)
Ap2m1	unnamed (-3930)
Ap3b2	unnamed (-320)
Apaf1	unnamed (+252737)
Apba1	unnamed (+50)
Apba2	unnamed (+614)
Apbb1	unnamed (+103)
Apbb2	unnamed (+280613)
Apela	unnamed (+1712)
Aph1b	unnamed (+335)
Aph1c	unnamed (+27)
Apln	unnamed (+464)
Apoa1	unnamed (+1575)
Apob	unnamed (+194)
Apoc2	unnamed (+7901)
Apoc3	unnamed (+5105)
Apold1	unnamed (+920)
App	unnamed (+769)
Aptx	unnamed (+229489)
Aqp11	unnamed (+988)
Aqp2	unnamed (+5379)
Aqp3	unnamed (+43543)
Aqp4	unnamed (+253457)
Aqp5	unnamed (-6593), unnamed (+336)
Aqp6	unnamed (+549)
Aqp7	unnamed (-6501)
Arap1	unnamed (+25389)
Arap3	unnamed (-1548)
Areg	unnamed (+65)
Arfgef3	unnamed (+431)
Arg1	unnamed (-271717)
Arg2	unnamed (+1145)
Arhgap10	unnamed (+617087)
Arhgap20	unnamed (+753)
Arhgap24	unnamed (-577)
Arhgap27	unnamed (+20294)
Arhgap29	unnamed (+810)
Arhgap31	unnamed (+1108)
Arhgap6	unnamed (+686)
Arhgap8	unnamed (-5106)
Arhgef10	unnamed (+196)
Arhgef28	unnamed (+574)
Arhgef37	unnamed (+18)
Arhgef4	unnamed (-123682)
Arhgef40	unnamed (+2406)
Arhgef5	unnamed (+526)
Arhgef9	unnamed (+137)
Arid1b	unnamed (+422677)
Arid3c	unnamed (-106)
Arid5a	unnamed (-4576)
Arl8a	unnamed (+14651)
Armc2	unnamed (+88), unnamed (+132657)
Armcx6	unnamed (+118)
Armt1	unnamed (+51027)
Arnt2	unnamed (+77)
Arpp21	unnamed (-47344)
Arrb1	unnamed (-24), unnamed (+90464)
Arsb	unnamed (+359)
Arsi	unnamed (-47)
Arsj	unnamed (-425234), unnamed (+141)
Art1	unnamed (+11493)
Art2b	unnamed (+129597)
Art5	unnamed (+5772)
Arx	unnamed (-4819)
As3mt	unnamed (+947)
Asah2	unnamed (-46663)
Ascl1	unnamed (+195)
Ascl2	unnamed (+917)
Ascl4	unnamed (+954)
Ascl5	unnamed (-280)
Asic2	unnamed (+804)
Aspdh	unnamed (-21599), unnamed (-3487)
Asphd1	unnamed (-521)
Asphd2	unnamed (-2630)
Astn1	unnamed (+425)
Astn2	unnamed (+394)
Asxl3	unnamed (-998)
Atg5	unnamed (-119247)
Atoh1	unnamed (+739)
Atoh7	unnamed (-183)
Atoh8	unnamed (+328)
Atp10a	unnamed (+326)
Atp12a	unnamed (-177)
Atp1b2	unnamed (+3430)
Atp2b2	unnamed (-107486)
Atp2b3	unnamed (+464)
Atp2c2	unnamed (+276)
Atp4a	unnamed (+5198)
Atp6v0a1	unnamed (+54688)
Atp6v1b1	unnamed (-29082)
Atp8a2	unnamed (+296)
Atp8b1	unnamed (+78)
Atp8b3	unnamed (+364)
Atp8b5	unnamed (-206595)
Atp9a	unnamed (+138513)
Atxn1	unnamed (+611)
Atxn7l1	unnamed (+380)
Avp	unnamed (+3576)
Axdnd1	unnamed (-634)
B2m	unnamed (+1322)
B3galnt1	unnamed (+1230)
B3galt5	unnamed (+44855)
B3gat1	unnamed (+306), unnamed (+22211)
B3gat2	unnamed (-248)
B3gnt6	unnamed (+5855)
B9d2	unnamed (-525)
BB014433	unnamed (+33880)
BC026585	unnamed (+221)
BC030870	unnamed (-488726)
BC034090	unnamed (-11720)
BC035947	unnamed (+111)
BC048403	unnamed (-98035)
BC048507	unnamed (+94)
BC051142	unnamed (+700)
Bace2	unnamed (+675)
Bag2	unnamed (+605)
Baiap2	unnamed (+70073)
Baiap2l2	unnamed (+25468)
Baiap3	unnamed (-16)
Banp	unnamed (+280028)
Barhl1	unnamed (-1454), unnamed (+6302)
Barhl2	unnamed (+1867)
Barx1	unnamed (+657)
Barx2	unnamed (-818)
Batf3	unnamed (-261)
Bcan	unnamed (-23585), unnamed (+330)
Bcap29	unnamed (+734)
Bche	unnamed (+266)
Bcl11a	unnamed (+1712)
Bcl11b	unnamed (-371)
Bcl2	unnamed (+589)
Bcl2l10	unnamed (+652)
Bcl2l14	unnamed (+19113)
Bcl3	unnamed (-29039)
Bcorl1	unnamed (+1497)
Bdp1	unnamed (-4266)
Bean1	unnamed (+973)
Begain	unnamed (-1126), unnamed (+14928)
Best2	unnamed (+6285)
Bfsp1	unnamed (+641)
Bglap3	unnamed (+6556)
Bhlha15	unnamed (+604)
Bhlha9	unnamed (+1026)
Bhlhe22	unnamed (+856)
Bhlhe23	unnamed (+1102)
Bhmt2	unnamed (-107)
Bicc1	unnamed (+48)
Bicd1	unnamed (+216), unnamed (+157273)
Bicdl2	unnamed (+406)
Bin2	unnamed (-16507), unnamed (+382)
Blk	unnamed (+165619)
Bloc1s6	unnamed (+26867)
Bmi1	unnamed (+15105)
Bmp2	unnamed (+935)
Bmp3	unnamed (+617)
Bmp6	unnamed (+1183)
Bmp8b	unnamed (+246)
Bmper	unnamed (-24)
Bmpr1b	unnamed (-186986)
Bnc1	unnamed (-1702)
Boc	unnamed (+234)
Boll	unnamed (0)
Brdt	unnamed (+109)
Brinp1	unnamed (+271)
Brinp3	unnamed (+2979)
Brip1	unnamed (+311908)
Bsx	unnamed (-2049), unnamed (+4216)
Btaf1	unnamed (+248674)
Btbd11	unnamed (+211799)
Btbd17	unnamed (+6644)
Btbd3	unnamed (+275)
Btn1a1	unnamed (+371)
Bves	unnamed (+46)
C130060K24Rik	unnamed (+223)
C130074G19Rik	unnamed (+30685)
C1ql3	unnamed (+605)
C1qtnf6	unnamed (-1413)
C2cd4a	unnamed (+1162)
C2cd4b	unnamed (+810), unnamed (+71731)
C2cd4d	unnamed (+1292)
C4b	unnamed (+71513)
C530025M09Rik	unnamed (-232)
CK137956	unnamed (-156)
Cabyr	unnamed (+17)
Cacna1c	unnamed (+26)
Cacna1e	unnamed (+645), unnamed (+521450)
Cacna1h	unnamed (+1070)
Cacna1i	unnamed (+375)
Cacna1s	unnamed (-2377)
Cacna2d2	unnamed (+128144)
Cacna2d3	unnamed (-43)
Cacnb2	unnamed (-110)
Cacnb4	unnamed (-124)
Cacng3	unnamed (+454)
Cacng4	unnamed (-154)
Cadm3	unnamed (+234)
Cadm4	unnamed (+254)
Cadps	unnamed (+433)
Cadps2	unnamed (+405)
Calb2	unnamed (-283)
Calcr	unnamed (+590)
Calcrl	unnamed (+188)
Calm3	unnamed (+16534)
Camk2d	unnamed (+388)
Camk4	unnamed (+561)
Camta2	unnamed (+6700)
Cand1	unnamed (-213503)
Cap2	unnamed (+515)
Capn11	unnamed (-5780)
Capn12	unnamed (+6433)
Capn5	unnamed (-15352), unnamed (+19612)
Car10	unnamed (-448)
Car11	unnamed (+762)
Car12	unnamed (-277)
Car13	unnamed (+267)
Car14	unnamed (-1122)
Car15	unnamed (+5068)
Car3	unnamed (-88)
Car4	unnamed (-155)
Car7	unnamed (+718)
Car9	unnamed (+1621)
Cartpt	unnamed (+118)
Casd1	unnamed (+643)
Casp7	unnamed (-321)
Casp8	unnamed (+392)
Casr	unnamed (+734)
Catip	unnamed (+6461)
Catsperg1	unnamed (+2178)
Cav1	unnamed (+928)
Cav2	unnamed (+370)
Cbfa2t3	unnamed (+20528)
Cblb	unnamed (+420881)
Cbln4	unnamed (+662)
Cbr4	unnamed (+272062)
Cbx2	unnamed (+16606)
Cbx4	unnamed (+906)
Cbx7	unnamed (-80873)
Cbx8	unnamed (+1401)
Cby3	unnamed (+15550)
Cc2d1a	unnamed (+16625)
Ccbe1	unnamed (+346)
Ccdc105	unnamed (+547)
Ccdc113	unnamed (-832)
Ccdc114	unnamed (-4747)
Ccdc122	unnamed (+30)
Ccdc125	unnamed (-921)
Ccdc136	unnamed (+6553)
Ccdc141	unnamed (+19)
Ccdc149	unnamed (-2315), unnamed (+103100)
Ccdc150	unnamed (+368)
Ccdc158	unnamed (-800)
Ccdc170	unnamed (-26378)
Ccdc175	unnamed (-51123)
Ccdc182	unnamed (+533)
Ccdc183	unnamed (+1187)
Ccdc185	unnamed (+847)
Ccdc3	unnamed (+522)
Ccdc30	unnamed (+55915)
Ccdc39	unnamed (+222)
Ccdc63	unnamed (+6365)
Ccdc65	unnamed (+201)
Ccdc68	unnamed (-579282), unnamed (+127992)
Ccdc69	unnamed (+512)
Ccdc83	unnamed (-37030)
Ccdc85a	unnamed (+538)
Ccdc86	unnamed (+8228)
Ccdc89	unnamed (+135)
Ccin	unnamed (+153)
Cck	unnamed (+435)
Cckbr	unnamed (-179)
Ccm2l	unnamed (+6082)
Ccna1	unnamed (-48)
Ccnd2	unnamed (-1015)
Ccser1	unnamed (+328)
Cd109	unnamed (+204)
Cd14	unnamed (+988)
Cd1d1	unnamed (+135)
Cd22	unnamed (+5218)
Cd248	unnamed (+4151)
Cd300lg	unnamed (+40957)
Cd302	unnamed (-119)
Cd34	unnamed (+60)
Cd38	unnamed (+634)
Cd40	unnamed (+346)
Cd44	unnamed (+851)
Cd55	unnamed (+366)
Cd72	unnamed (-24330)
Cd82	unnamed (+455)
Cd83	unnamed (-83)
Cda	unnamed (-50), unnamed (+5839)
Cdc14b	unnamed (+26699)
Cdc20b	unnamed (-36467), unnamed (-1403)
Cdc27	unnamed (-20311)
Cdc42bpb	unnamed (+104235)
Cdc42ep2	unnamed (+610)
Cdca7l	unnamed (+1150)
Cdca8	unnamed (+54443)
Cdh11	unnamed (+493)
Cdh13	unnamed (+1247)
Cdh2	unnamed (+1319)
Cdh20	unnamed (+582)
Cdh22	unnamed (+204)
Cdh6	unnamed (+107)
Cdh7	unnamed (+92)
Cdh8	unnamed (+644)
Cdhr1	unnamed (+83)
Cdhr5	unnamed (-1501)
Cdk12	unnamed (+125104)
Cdk15	unnamed (-69)
Cdk18	unnamed (-51565)
Cdk5r1	unnamed (+3375)
Cdkl1	unnamed (-269)
Cdkl4	unnamed (-12420)
Cdkn2a	unnamed (-14642), unnamed (-853), unnamed (+19528)
Cdkn2b	unnamed (+1737)
Cdkn2c	unnamed (+737)
Cdx2	unnamed (+1251), unnamed (+36139)
Cdx4	unnamed (+363)
Ceacam16	unnamed (+9490)
Cebpa	unnamed (-445)
Cela1	unnamed (+1860)
Celf4	unnamed (-452), unnamed (+74007)
Celf6	unnamed (+248)
Celsr3	unnamed (+21891)
Cemip	unnamed (+342)
Cep120	unnamed (+276520)
Cep83	unnamed (-171376)
Cerkl	unnamed (-194)
Cfap100	unnamed (-46)
Cfap206	unnamed (+770)
Cfap221	unnamed (-10)
Cfap44	unnamed (+600)
Cfap54	unnamed (+205)
Cfap69	unnamed (+90124)
Cfap70	unnamed (-259)
Cfap73	unnamed (+2858)
Cfc1	unnamed (+937)
Cflar	unnamed (+846)
Ch25h	unnamed (-122)
Chad	unnamed (+620)
Chdh	unnamed (+496), unnamed (+344647)
Chgb	unnamed (-411)
Chmp1b	unnamed (-71753)
Chn1	unnamed (+189825)
Chn2	unnamed (+1165)
Chpf2	unnamed (+5433)
Chrdl1	unnamed (-124330), unnamed (+495)
Chrdl2	unnamed (-3849)
Chrm1	unnamed (-2067)
Chrm3	unnamed (+821)
Chrna1	unnamed (-5183)
Chrna10	unnamed (+3477)
Chrna3	unnamed (+479)
Chrna4	unnamed (+141)
Chrnb1	unnamed (+253)
Chrnb4	unnamed (+244)
Chrnd	unnamed (-5038)
Chrng	unnamed (+498)
Chst1	unnamed (+1295)
Chst11	unnamed (+203)
Chst15	unnamed (+389)
Chst2	unnamed (+338)
Chst5	unnamed (+820)
Chst7	unnamed (+1022)
Chst9	unnamed (-41855)
Chsy3	unnamed (+162)
Chtop	unnamed (-4493)
Cidea	unnamed (-1137)
Cinp	unnamed (+33771)
Cited1	unnamed (+1006)
Cklf	unnamed (-2376)
Cldn10	unnamed (-46)
Cldn23	unnamed (+45)
Cldn34c1	unnamed (+217)
Cldn5	unnamed (-285)
Clec14a	unnamed (+629), unnamed (+56160)
Clec2e	unnamed (+51975)
Clec2l	unnamed (+106)
Clgn	unnamed (+165)
Clic5	unnamed (+532), unnamed (+547359)
Clic6	unnamed (+284), unnamed (+199728)
Clmp	unnamed (-154474), unnamed (-159)
Clnk	unnamed (-767460)
Clpsl2	unnamed (-541)
Clptm1	unnamed (-5007)
Clstn1	unnamed (+71621), unnamed (+88345), unnamed (+110726)
Clstn2	unnamed (+175)
Clstn3	unnamed (-136)
Clu	unnamed (+1268)
Clvs1	unnamed (+134)
Clvs2	unnamed (-111)
Cmpk2	unnamed (+238)
Cmtm1	unnamed (+396)
Cmtm3	unnamed (+56)
Cmtm5	unnamed (-1285)
Cmtm8	unnamed (+537)
Cmya5	unnamed (+193)
Cnfn	unnamed (+2690)
Cnga1	unnamed (-4969)
Cnih3	unnamed (+217)
Cnmd	unnamed (+766)
Cnnm1	unnamed (-280)
Cnp	unnamed (+611)
Cnr1	unnamed (-298)
Cnrip1	unnamed (+135)
Cntln	unnamed (-80)
Cntn1	unnamed (+331)
Cntn4	unnamed (+446)
Cntn5	unnamed (-20)
Cntnap3	unnamed (-24)
Cntrl	unnamed (+22899)
Cobll1	unnamed (-929)
Coch	unnamed (+277)
Col11a1	unnamed (+132)
Col12a1	unnamed (-453)
Col13a1	unnamed (+458)
Col14a1	unnamed (+579)
Col15a1	unnamed (+80)
Col16a1	unnamed (-1160)
Col19a1	unnamed (+378)
Col1a1	unnamed (+1002)
Col1a2	unnamed (-45)
Col23a1	unnamed (+613)
Col24a1	unnamed (+576)
Col25a1	unnamed (+301)
Col26a1	unnamed (+391)
Col27a1	unnamed (-456)
Col2a1	unnamed (+2768)
Col4a1	unnamed (+579)
Col4a2	unnamed (-558)
Col4a3	unnamed (+71)
Col4a4	unnamed (-198)
Col5a1	unnamed (+623)
Col8a1	unnamed (-86)
Col8a2	unnamed (+1434)
Colca2	unnamed (-449)
Colec12	unnamed (+112)
Colgalt2	unnamed (+220)
Commd10	unnamed (+408629)
Comp	unnamed (+1146)
Comtd1	unnamed (-139481)
Copz1	unnamed (+33399)
Copz2	unnamed (+524)
Coq2	unnamed (+104515)
Coq8a	unnamed (-54401), unnamed (+938)
Corin	unnamed (+311)
Coro6	unnamed (+4834)
Cox4i2	unnamed (-1150)
Cox7a1	unnamed (+811)
Cox8b	unnamed (-960)
Cpe	unnamed (+282)
Cpeb1	unnamed (+513)
Cpeb3	unnamed (+32709)
Cped1	unnamed (+234)
Cplx1	unnamed (+84)
Cplx2	unnamed (+452)
Cpm	unnamed (-58)
Cpn1	unnamed (+108)
Cpne2	unnamed (-408)
Cpne3	unnamed (-4974)
Cpne5	unnamed (-2431)
Cpne6	unnamed (+10803)
Cpne7	unnamed (+417)
Cpne8	unnamed (+75)
Cpq	unnamed (+138)
Cpxm2	unnamed (+364)
Cpz	unnamed (+134977)
Cr2	unnamed (+109)
Crabp1	unnamed (+340)
Cracr2a	unnamed (-16703), unnamed (+190432)
Crb2	unnamed (-4441)
Creb5	unnamed (+959), unnamed (+532490)
Creg2	unnamed (+666)
Crh	unnamed (+1164)
Crhbp	unnamed (+179)
Crhr1	unnamed (+215)
Crhr2	unnamed (+15289)
Crlf1	unnamed (+9196)
Crtac1	unnamed (-53)
Crtam	unnamed (-152325)
Crtc1	unnamed (+64875)
Cryab	unnamed (+484)
Cryba2	unnamed (+477)
Crybb2	unnamed (-6087)
Crybb3	unnamed (+4906)
Crybg1	unnamed (-144742), unnamed (-921)
Crygc	unnamed (-142)
Crygs	unnamed (+5061)
Cryl1	unnamed (+189)
Crym	unnamed (-404)
Csf1	unnamed (+983)
Csgalnact1	unnamed (+380)
Csk	unnamed (-7932)
Csmd1	unnamed (+1356)
Csmd2	unnamed (-150)
Csmd3	unnamed (+1182)
Csrnp3	unnamed (+85940)
Cst6	unnamed (+249)
Cstad	unnamed (-404)
Cthrc1	unnamed (-142)
Ctnna2	unnamed (-73), unnamed (+735710)
Ctnnd2	unnamed (+483)
Ctsb	unnamed (+46279)
Ctsc	unnamed (+300)
Ctsg	unnamed (-13168)
Ctsh	unnamed (+388)
Ctso	unnamed (+238)
Cttn	unnamed (+186195)
Ctxn2	unnamed (-179)
Cuedc1	unnamed (+70688), unnamed (+94870)
Cul5	unnamed (-37649)
Cwc22	unnamed (+130446)
Cwh43	unnamed (+25)
Cx3cl1	unnamed (+40)
Cxcl10	unnamed (-43697)
Cxcl12	unnamed (+386)
Cxcl14	unnamed (+624), unnamed (+37453)
Cxcl3	unnamed (-27)
Cxcl5	unnamed (-142)
Cxcr4	unnamed (+491)
Cxxc4	unnamed (+1645)
Cyb5a	unnamed (-12622)
Cybrd1	unnamed (-15)
Cyp1a1	unnamed (+8865)
Cyp1a2	unnamed (+30118)
Cyp24a1	unnamed (+505)
Cyp26a1	unnamed (-2945)
Cyp26b1	unnamed (+1778)
Cyp27a1	unnamed (-252)
Cyp2d22	unnamed (+534)
Cyp2j9	unnamed (+120)
Cyp2r1	unnamed (-192)
Cyp2s1	unnamed (+173)
Cyp2u1	unnamed (+115)
Cyp2w1	unnamed (+3754)
Cyp46a1	unnamed (+222)
Cyp4f13	unnamed (-4031)
Cyp4f39	unnamed (-15352)
Cyp4v3	unnamed (+72)
Cyp4x1	unnamed (-176)
Cyp7b1	unnamed (-60)
Cys1	unnamed (+843)
Cyth1	unnamed (+10430)
Cyth2	unnamed (-5429)
Cyth4	unnamed (+115433)
D130043K22Rik	unnamed (+24)
D430041D05Rik	unnamed (+101)
D630036H23Rik	unnamed (+521)
D630044L22Rik	unnamed (-466)
Daam2	unnamed (+141)
Dab1	unnamed (-747372)
Dab2	unnamed (+44)
Dab2ip	unnamed (-40381)
Dach1	unnamed (+724)
Dach2	unnamed (-112)
Daglb	unnamed (+650)
Dand5	unnamed (+22765)
Dap	unnamed (+1538)
Dapk2	unnamed (+41)
Dazl	unnamed (-350)
Dbndd2	unnamed (-717)
Dbnl	unnamed (+14076)
Dbp	unnamed (-4483)
Dbx2	unnamed (+2194)
Dcaf12l2	unnamed (+885)
Dcbld2	unnamed (+113197)
Dcdc2a	unnamed (-646)
Dcdc2c	unnamed (-3425)
Dchs1	unnamed (+53)
Dchs2	unnamed (+458)
Dclk1	unnamed (+736)
Dclk2	unnamed (+1441)
Dclk3	unnamed (+231)
Dcp1a	unnamed (-125942)
Dcp2	unnamed (+281647)
Dcpp3	unnamed (+7755)
Dctd	unnamed (+427)
Dctn1	unnamed (-17513)
Ddhd2	unnamed (+33069)
Ddi1	unnamed (-907433)
Ddn	unnamed (+16120)
Ddx31	unnamed (+69651)
Ddx4	unnamed (+339)
Ddx50	unnamed (-73649)
Ddx54	unnamed (+18638)
Ddx60	unnamed (-254)
Deaf1	unnamed (+33988)
Defb25	unnamed (-4422)
Degs2	unnamed (-418)
Dennd1a	unnamed (-51654)
Dennd2d	unnamed (-3401)
Derl3	unnamed (-440)
Des	unnamed (-184)
Dfna5	unnamed (+2179)
Dgkg	unnamed (-149176), unnamed (+698)
Dgki	unnamed (+351)
Dhh	unnamed (+2502)
Dhrs3	unnamed (-21)
Dhx36	unnamed (-96735)
Dio2	unnamed (+925592)
Diras1	unnamed (-5914)
Diras2	unnamed (+1192)
Dis3l2	unnamed (+383479)
Disc1	unnamed (+69)
Disp3	unnamed (+254)
Dixdc1	unnamed (-12051)
