# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1300017J02Rik	peak_163 (+107)
Sprr2k	peak_98 (-3620)
Srpx	peak_170 (+560)
St6galnac4	peak_83 (+6944)
St6galnac6	peak_83 (-12987)
Stab1	peak_40 (+4980)
Sult2a4	peak_137 (-719)
Syna	peak_124 (+348)
Sytl4	peak_179 (+172)
Syvn1	peak_73 (-4353)
Taok3	peak_122 (+13757)
Tas2r117	peak_134 (+38653)
Tas2r123	peak_134 (-5671)
Tas2r144	peak_128 (-2621)
Tekt5	peak_60 (-4715)
Tepp	peak_148 (+1661)
Tjp2	peak_74 (+81944)
Tmem131	peak_5 (+160160)
Tmem144	peak_95 (+21069)
Tmem213	peak_127 (-136)
Tmem214	peak_114 (-9406)
Tmem233	peak_121 (-56)
Tmem265	peak_144 (-1154)
Tmprss11c	peak_116 (-79955)
Tmprss11d	peak_116 (+4157)
Trmt2b	peak_180 (+113)
Trpm4	peak_141 (+48997)
Tspyl2	peak_182 (-4369)
Tulp4	peak_64 (-5951)
U2af1	peak_67 (+15448)
Unc50	peak_6 (+103180)
Vmn1r29	peak_130 (+123672)
Vmn1r30	peak_130 (+4954)
Vsig2	peak_153 (+273)
Vstm4	peak_42 (-21000)
Wdr20rt	peak_33 (+1065)
Wdr72	peak_160 (-277)
Wipf1	peak_86 (+74903)
Yae1d1	peak_36 (+42918)
Zap70	peak_4 (-3127), peak_5 (+17864)
Zbtb24	peak_17 (-141649)
Zc4h2	peak_177 (-355)
Zfp1	peak_149 (+43695)
Zfp174	peak_58 (+5098)
Zfp319	peak_148 (+18774)
Zfp451	peak_3 (-23527)
Zfp597	peak_58 (+20030)
Zfp81	peak_69 (-3373)
Zglp1	peak_152 (+585)

