# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_1	Oprk1 (+413)
peak_109	Cyp2j6 (+261)
peak_110	Gm12790 (-3817), Gm12789 (-1760)
peak_111	Car6 (+3740), Slc2a7 (+48620)
peak_112	Perm1 (-1312)
peak_113	Gm1979 (+47526), Actr3b (+197246)
peak_114	Tmem214 (-9406), Mapre3 (+43965)
peak_115	Gm1043 (-70439), Jakmip1 (+33134)
peak_116	Tmprss11c (-79955), Tmprss11d (+4157)
peak_117	Scarb2 (-49757), Fam47e (-16143)
peak_118	Abcg3 (+409)
peak_119	A830010M20Rik (+36985), Glmn (+62909)
peak_120	Oasl1 (-456)
peak_121	Tmem233 (-56)
peak_122	Taok3 (+13757), Pebp1 (+153739)
peak_123	Anapc7 (-24683), Arpc3 (+5132)
peak_124	Syna (+348)
peak_125	Bet1 (-4628)
peak_126	Lep (-158)
peak_127	Tmem213 (-136), Atp6v0a4 (+430)
peak_128	Tas2r144 (-2621)
peak_129	Olfr452 (-21817), Olfr38 (+6872)
peak_130	Vmn1r30 (+4954), Vmn1r29 (+123672)
peak_131	Grip2 (-194)
peak_132	C1ra (-18210), C1rl (+1082)
peak_133	C1ra (-3371)
peak_134	Tas2r123 (-5671), Tas2r117 (+38653)
peak_135	Pbp2 (+261)
peak_136	Lilra6 (-142404), Lair1 (+5285)
peak_137	Sult2a4 (-719)
peak_138	Dhx34 (-15249), C5ar2 (+5089)
peak_139	Cyp2t4 (+1388), Egln2 (+11700)
peak_140	Ffar3 (+979)
peak_141	Slc6a21 (+1899), Trpm4 (+48997)
peak_142	Olfr641 (-1190)
peak_143	E430018J23Rik (-4164)
peak_144	Tmem265 (-1154)
peak_145	Proz (+201)
peak_146	Defb38 (-33444), Defb39 (+4800)
peak_147	Defa30 (-1860)
peak_148	Tepp (+1661), Zfp319 (+18774)
peak_149	Ctrb1 (+3809), Zfp1 (+43695)
peak_150	Maml2 (-365246), Ccdc82 (+50246)
peak_151	1700012B09Rik (-36)
peak_152	Zglp1 (+585)
peak_153	Vsig2 (+273)
peak_154	Gramd1b (+73832), Scn3b (+112715)
peak_155	Cd3e (+780)
peak_156	Htr3a (+238)
peak_157	Rec114 (+12)
peak_158	Lctl (-3807)
peak_159	Ints14 (-4859), Slc24a1 (-4471)
peak_160	Wdr72 (-277)
peak_161	Plscr4 (-3752)
peak_162	Esyt3 (-5493), Mras (+73370)
peak_163	1300017J02Rik (+107)
peak_164	Iqcf5 (-12676), Iqcf1 (+1905)
peak_165	Ccrl2 (+599)
peak_166	Pdcd6ip (-85191), Clasp2 (-19163)
peak_167	Gadl1 (-1050)
peak_168	Fthl17b (+122)
peak_169	Fthl17f (+239)
peak_170	Srpx (+560)
peak_171	Cxx1a (+340)
peak_172	Cxx1a (-21450), Cxx1b (+5276)
peak_173	Arhgef6 (+12437), Cd40lg (+114149)
peak_174	Ldoc1 (+444)
peak_175	Fmr1nb (-4)
peak_176	Gabre (+30)
peak_177	Zc4h2 (-355)
peak_178	Otud6a (+199)
peak_179	Sytl4 (+172)
peak_180	Trmt2b (+113)
peak_181	D330045A20Rik (-11)
peak_182	Tspyl2 (-4369)

