# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009O20Rik	unnamed (-33333), unnamed (-9992)
Anapc15-ps	unnamed (-7000), unnamed (+56269), unnamed (+68056)
Anapc16	unnamed (+38667)
Ank2	unnamed (+150849), unnamed (+246521)
Ank3	unnamed (-133833)
Ankar	unnamed (+59165)
Ankef1	unnamed (+146833)
Ankle1	unnamed (+36246)
Ankrd26	unnamed (-31502)
Ankrd28	unnamed (+168427)
Ankrd29	unnamed (+37027)
Ankrd33	unnamed (-17340)
Ankrd33b	unnamed (+69874)
Ankrd34c	unnamed (-130104)
Ankrd35	unnamed (+11755)
Ankrd45	unnamed (+27988), unnamed (+53169)
Ankrd46	unnamed (+26224), unnamed (+122247)
Ankrd55	unnamed (-384304), unnamed (-310019), unnamed (-187839), unnamed (-135746)
Ankrd60	unnamed (-6969)
Ankrd63	unnamed (-6926), unnamed (+7391)
Ankrd66	unnamed (+8713)
Anks1	unnamed (+76241), unnamed (+132262)
Anks1b	unnamed (+392547)
Anln	unnamed (+61718)
Ano1	unnamed (+60011)
Ano2	unnamed (-117317), unnamed (-86399)
Ano4	unnamed (-87779)
Ano6	unnamed (-18386)
Ano7	unnamed (+27707)
Anp32a	unnamed (+73883), unnamed (+79975), unnamed (+128981)
Anp32e	unnamed (+44131), unnamed (+56755)
Antxr2	unnamed (-137396), unnamed (+95667)
Ap3b1	unnamed (+237141), unnamed (+344158)
Apaf1	unnamed (+113706)
Apba1	unnamed (+134500)
Apbb2	unnamed (+142182)
Apc	unnamed (-116983)
Apeh	unnamed (-64879)
Aph1c	unnamed (+28665)
Apob	unnamed (-117349)
Apobec4	unnamed (-20156)
Apof	unnamed (-6123)
Apol6	unnamed (+26314)
Apon	unnamed (+8398)
App	unnamed (+93329)
Appbp2	unnamed (+52724)
Appl2	unnamed (+28333)
Aqp11	unnamed (-19543)
Araf	unnamed (-73578)
Arap3	unnamed (-200515), unnamed (-188588), unnamed (-147549), unnamed (-28039)
Arf1	unnamed (-36821)
Arf2	unnamed (+63147), unnamed (+106123)
Arfgef2	unnamed (-57972)
Arfgef3	unnamed (+152288)
Arglu1	unnamed (-60638)
Arhgap12	unnamed (+146186), unnamed (+316378)
Arhgap15	unnamed (+808253)
Arhgap18	unnamed (-76839)
Arhgap21	unnamed (-174425)
Arhgap22	unnamed (+34133), unnamed (+135056)
Arhgap23	unnamed (-21754)
Arhgap27	unnamed (+27327)
Arhgap31	unnamed (+104000)
Arhgap32	unnamed (-118420)
Arhgap33	unnamed (-5942), unnamed (+8452)
Arhgap35	unnamed (-18432)
Arhgap36	unnamed (+23475)
Arhgap39	unnamed (-35968)
Arhgap45	unnamed (+11962)
Arhgap5	unnamed (+100279)
Arhgef10	unnamed (+84673)
Arhgef17	unnamed (-6497), unnamed (+51725)
Arhgef2	unnamed (-13560)
Arhgef28	unnamed (+190171), unnamed (+381785)
Arhgef3	unnamed (-123048)
Arhgef33	unnamed (+66355)
Arhgef4	unnamed (-165896), unnamed (-50851)
Arhgef40	unnamed (+11932)
Arid1b	unnamed (+275833), unnamed (+347176)
Arid2	unnamed (-466885), unnamed (-33325)
Arl11	unnamed (-34538), unnamed (+20924)
Arl4d	unnamed (-24255), unnamed (-19329)
Arl5a	unnamed (+46195)
Arl5c	unnamed (-6863)
Arl8b	unnamed (-81692)
Armc1	unnamed (+537781)
Armc10	unnamed (+29716)
Armc12	unnamed (+8111)
Armc3	unnamed (+77329)
Arntl2	unnamed (-180)
Arrb1	unnamed (+44439)
Arrdc3	unnamed (+80402)
Arx	unnamed (+12014)
Asb14	unnamed (-26937)
Asb16	unnamed (+7879)
Asb18	unnamed (-110031), unnamed (+22217), unnamed (+45996), unnamed (+73713)
Asb2	unnamed (+30724)
Asf1a	unnamed (-16454)
Asic2	unnamed (-460044)
Aspg	unnamed (+23668)
Asph	unnamed (-101428)
Ass1	unnamed (-9060)
Astn2	unnamed (-338513)
Asxl2	unnamed (-39257)
Atf6	unnamed (+95739)
Atg10	unnamed (-147845)
Atg16l2	unnamed (-8435)
Atg4c	unnamed (-31756)
Atg5	unnamed (+112780)
Atic	unnamed (+52159)
Atl2	unnamed (-122657)
Atoh7	unnamed (+92425)
Atp10a	unnamed (-259070)
Atp10b	unnamed (+233624)
Atp11b	unnamed (-421102), unnamed (-412444)
Atp1a1	unnamed (-108289)
Atp1b3	unnamed (-72750)
Atp2b1	unnamed (-824456)
Atp2b4	unnamed (+261)
Atp2c2	unnamed (-21015), unnamed (+56088)
Atp5g2	unnamed (-21895)
Atp5g3	unnamed (-653083)
Atp5j	unnamed (-244753)
Atp5o	unnamed (+46291)
Atp6ap2	unnamed (-459767), unnamed (-335672)
Atp6v0d1	unnamed (-20150)
Atp6v1c1	unnamed (+39535)
Atp8b3	unnamed (+34858)
Atp9b	unnamed (-38537)
Atpaf2	unnamed (+31577)
Atxn1	unnamed (+448211)
Atxn2l	unnamed (-33342)
Atxn7l1	unnamed (-183182), unnamed (-126415), unnamed (+43332)
Auh	unnamed (+270792)
Aurkc	unnamed (-53929), unnamed (-46820)
Auts2	unnamed (-139470)
Axl	unnamed (+6860)
Aym1	unnamed (+15589)
Azi2	unnamed (-167716)
Azin1	unnamed (+134677)
B020004C17Rik	unnamed (+21374)
B3glct	unnamed (+153283), unnamed (+165931)
B3gnt3	unnamed (-9743)
B3gnt4	unnamed (-12778)
B3gnt6	unnamed (-68970)
B4galt1	unnamed (-54631), unnamed (+15292)
B4galt6	unnamed (+21176)
B630019K06Rik	unnamed (+796)
BB014433	unnamed (+17768)
BC034090	unnamed (+8425)
BC048403	unnamed (-46739)
BC049352	unnamed (-49807)
BC051142	unnamed (-6623)
BC052040	unnamed (+278659)
BC107364	unnamed (-23411), unnamed (-12171), unnamed (+11261), unnamed (+16070)
Baalc	unnamed (-231703), unnamed (+57673)
Baat	unnamed (+26545)
Bach1	unnamed (+22391), unnamed (+26929)
Baiap2l2	unnamed (+14956)
Barhl2	unnamed (-9731)
Barx1	unnamed (+43917), unnamed (+69235), unnamed (+139969)
Barx2	unnamed (-84254)
Batf3	unnamed (+27743)
Baz2b	unnamed (+88502)
Bbs10	unnamed (+37487)
Bbs5	unnamed (-11497)
Bbs7	unnamed (-57835)
Bbx	unnamed (-96989), unnamed (+68137), unnamed (+386273)
Bcan	unnamed (+12407)
Bcar3	unnamed (+86207)
Bcas1	unnamed (+138915), unnamed (+159967), unnamed (+181787), unnamed (+207032)
Bcas2	unnamed (+11482)
Bcas3	unnamed (+39718)
Bcat1	unnamed (+266213)
Bcl10	unnamed (-144144)
Bcl11a	unnamed (+85783), unnamed (+227643)
Bcl11b	unnamed (+24286)
Bcl2a1a	unnamed (-97916)
Bcl2a1b	unnamed (-11828)
Bcl2a1c	unnamed (+38069)
Bcl2l1	unnamed (+66313)
Bcl2l14	unnamed (-147363), unnamed (+43355)
Bcl3	unnamed (+12483)
Bcl7a	unnamed (+37790)
Bcl7c	unnamed (+56494)
Bcl9	unnamed (-84992), unnamed (-69592)
Bclaf1	unnamed (-21953)
Bcor	unnamed (-171576), unnamed (-47481), unnamed (+274215), unnamed (+415102)
Bcorl1	unnamed (-55506), unnamed (-28088)
Bean1	unnamed (-28350)
Begain	unnamed (+34281), unnamed (+107770)
Bend3	unnamed (-22411), unnamed (+32267)
Best1	unnamed (+9243)
Bfsp1	unnamed (-26981)
Bhlhe40	unnamed (-95175), unnamed (-89597), unnamed (+40778)
Bhlhe41	unnamed (+50207)
Bicd2	unnamed (+41663)
Blk	unnamed (+148075)
Bloc1s3	unnamed (+15229)
Bmf	unnamed (+38238)
Bmp1	unnamed (+11657), unnamed (+53769)
Bmp2k	unnamed (+90039)
Bmp4	unnamed (-6773)
Bmp6	unnamed (-54869)
Bmp7	unnamed (+115583)
Bmp8b	unnamed (-11891)
Bnc2	unnamed (+128588)
Bnip3	unnamed (-10203)
Bok	unnamed (-16838)
Bptf	unnamed (+112759), unnamed (+119073)
Braf	unnamed (-56026)
Brcc3	unnamed (+58840)
Brd1	unnamed (+71543)
Brd7	unnamed (-91291)
Brdt	unnamed (+28779)
Brf2	unnamed (-31802), unnamed (+7283)
Bsn	unnamed (+30899)
Bsnd	unnamed (-37145)
Btaf1	unnamed (+92538)
Btbd11	unnamed (+443242)
Btbd16	unnamed (-6535)
Btd	unnamed (+20931)
Btg2	unnamed (-14235), unnamed (+32407)
Btnl1	unnamed (+15066)
Btnl9	unnamed (+17523)
Btrc	unnamed (-121031), unnamed (-68690), unnamed (-61566), unnamed (-46521), unnamed (+178579)
Bub1	unnamed (-7713)
C030005K15Rik	unnamed (-363941)
C1qa	unnamed (-45989), unnamed (-32823)
C1ql1	unnamed (-44095), unnamed (-17004)
C1ra	unnamed (+40572)
C1rb	unnamed (-17317)
C2cd4b	unnamed (-59522)
C4b	unnamed (+63769)
CK137956	unnamed (+551480)
Cabin1	unnamed (+95811)
Cabp1	unnamed (-21434), unnamed (+26380)
Cacna1a	unnamed (+143605), unnamed (+151275)
Cacna1c	unnamed (+514247)
Cacna1e	unnamed (-358437)
Cacna1i	unnamed (+84675), unnamed (+108210)
Cacna1s	unnamed (+52542)
Cacna2d2	unnamed (-21702), unnamed (+81489)
Cacnb1	unnamed (+19590)
Cacng2	unnamed (+124424)
Cacybp	unnamed (-96731)
Cadm1	unnamed (-161490), unnamed (+736852)
Calcoco1	unnamed (-188160), unnamed (-23924), unnamed (+29156)
Calcoco2	unnamed (-13083)
Calm1	unnamed (-8251)
Calu	unnamed (-12081)
Caly	unnamed (+11893)
Camk1g	unnamed (-219094)
Camk2a	unnamed (+52661), unnamed (+59172)
Camk2b	unnamed (+58094)
Camk2d	unnamed (+565332), unnamed (+661004)
Camkk2	unnamed (+54163)
Camkmt	unnamed (+364660), unnamed (+374928), unnamed (+394993)
Camta1	unnamed (+474748), unnamed (+732432)
Cand1	unnamed (-452118)
Capg	unnamed (-13602)
Capn10	unnamed (+22792)
Capn11	unnamed (+16948)
Capn2	unnamed (-10853)
Capn8	unnamed (-36635)
Capn9	unnamed (+41741)
Capns1	unnamed (-19841)
Caprin1	unnamed (-21319)
Car15	unnamed (+22071)
Car4	unnamed (+153787)
Car6	unnamed (-11405), unnamed (+35548), unnamed (+43039)
Car7	unnamed (+30111)
Card10	unnamed (-17797)
Card11	unnamed (+127549)
Caskin1	unnamed (+17360)
Casp3	unnamed (+69808)
Casz1	unnamed (+53704), unnamed (+69308), unnamed (+135392), unnamed (+147139)
Cavin1	unnamed (+12256)
Cavin3	unnamed (+47475)
Cbfa2t3	unnamed (+68281)
Cbfb	unnamed (-28021)
Cblc	unnamed (-13478)
Cbln1	unnamed (+434813)
Cbln3	unnamed (+21185)
Cbln4	unnamed (+500756)
Cbr4	unnamed (+62124), unnamed (+227228)
Cbx2	unnamed (-23368), unnamed (-15140)
Cbx4	unnamed (+30808)
Cbx5	unnamed (+57434)
Cbx8	unnamed (-14444)
Cc2d2b	unnamed (+13089)
Ccbe1	unnamed (+251732)
Ccdc102a	unnamed (+18308)
Ccdc112	unnamed (-153657)
Ccdc12	unnamed (+76626)
Ccdc14	unnamed (-33153), unnamed (+54791)
Ccdc162	unnamed (-83926)
Ccdc174	unnamed (-34326)
Ccdc175	unnamed (-118821), unnamed (-38323), unnamed (+68845)
Ccdc177	unnamed (+29737)
Ccdc180	unnamed (-21614)
Ccdc182	unnamed (+402351)
Ccdc184	unnamed (+13213)
Ccdc27	unnamed (-63167)
Ccdc28a	unnamed (-94851), unnamed (-84284)
Ccdc32	unnamed (+52120)
Ccdc54	unnamed (-142032), unnamed (+61775)
Ccdc57	unnamed (+30219)
Ccdc59	unnamed (-40405), unnamed (-22564)
Ccdc6	unnamed (+92003)
Ccdc60	unnamed (+56695)
Ccdc61	unnamed (+17312)
Ccdc63	unnamed (+26397)
Ccdc68	unnamed (-332224), unnamed (-130682)
Ccdc85a	unnamed (+218623)
Ccdc92	unnamed (+113959)
Ccdc92b	unnamed (+19028)
Ccdc97	unnamed (+12301)
Cckbr	unnamed (+9094)
Ccl22	unnamed (-41571)
Ccm2l	unnamed (-12264), unnamed (+15252)
Ccnd1	unnamed (-91357)
Ccnd2	unnamed (+20643)
Ccne1	unnamed (-66068), unnamed (-59802), unnamed (+21989), unnamed (+45753)
Ccnh	unnamed (-840992)
Ccnj	unnamed (-69437), unnamed (+41902)
Ccny	unnamed (-104746)
Ccpg1	unnamed (+40443)
Ccr6	unnamed (+18466)
Cct6b	unnamed (+319225), unnamed (+329366)
Cct7	unnamed (+32755)
Cct8l1	unnamed (+156088)
Cd163l1	unnamed (+16726)
Cd180	unnamed (+403755)
Cd2	unnamed (+123241)
Cd207	unnamed (-24929)
Cd209c	unnamed (-140662)
Cd209f	unnamed (+18310)
Cd24a	unnamed (+144540)
Cd300lg	unnamed (+19642)
Cd302	unnamed (-92102)
Cd47	unnamed (+190499), unnamed (+508635)
Cd80	unnamed (+25208)
Cd83	unnamed (+80180), unnamed (+772814), unnamed (+840181), unnamed (+851384)
Cdc23	unnamed (-43736), unnamed (-28083)
Cdc40	unnamed (+132236)
Cdc42	unnamed (-12680), unnamed (+61246)
Cdc42bpa	unnamed (-42633)
Cdc42ep1	unnamed (-21808)
Cdc42ep4	unnamed (-34512)
Cdc6	unnamed (+19373)
Cdca2	unnamed (+107292)
Cdca7l	unnamed (-154991), unnamed (-54468)
Cdca8	unnamed (+29968), unnamed (+41675)
Cdh16	unnamed (+22284)
Cdh20	unnamed (+225516)
Cdh22	unnamed (+19485), unnamed (+23324), unnamed (+32963), unnamed (+122240), unnamed (+127926)
Cdh23	unnamed (+9243)
Cdh4	unnamed (+324921)
Cdh5	unnamed (+40538)
Cdh6	unnamed (+247113)
Cdh8	unnamed (-944097)
Cdhr2	unnamed (+36003)
Cdhr3	unnamed (-83225), unnamed (-26458), unnamed (+63536)
Cdk1	unnamed (-47001)
Cdk12	unnamed (+81180)
Cdk17	unnamed (+116192), unnamed (+124010)
Cdk18	unnamed (-73061), unnamed (-19941)
Cdk19	unnamed (+116781)
Cdk20	unnamed (+26736)
Cdk5r1	unnamed (+125956)
Cdk5r2	unnamed (-50589)
Cdk5rap3	unnamed (+53891)
Cdk6	unnamed (-191656)
Cdkn1c	unnamed (+15666), unnamed (+306217)
Cdkn2aip	unnamed (-36074)
Cdkn2b	unnamed (-213359)
Cdkn2c	unnamed (+10422)
Cdkn3	unnamed (-363099)
Cdrt4	unnamed (+15931)
Cdyl2	unnamed (-130748), unnamed (-68452)
Ceacam1	unnamed (+55505)
Ceacam15	unnamed (-36437), unnamed (+42280)
Ceacam19	unnamed (-24064)
Ceacam2	unnamed (-61853)
Ceacam9	unnamed (-9787)
Cebpb	unnamed (+236204)
Cecr2	unnamed (-86081)
Cela3a	unnamed (+39391)
Celf4	unnamed (+131787), unnamed (+163151)
Celf5	unnamed (+30170)
Celsr2	unnamed (+10698)
Celsr3	unnamed (+6048), unnamed (+16822)
Cep120	unnamed (+96476), unnamed (+191872)
Cep135	unnamed (+69702), unnamed (+268928), unnamed (+280927)
Cep164	unnamed (+60496), unnamed (+156184)
Cep170b	unnamed (-14679), unnamed (+20880)
Cep19	unnamed (+25002), unnamed (+29752)
Cep192	unnamed (+94879)
Cep57l1	unnamed (+119092)
Cep83	unnamed (-65853)
Cep85	unnamed (+27095)
Cep85l	unnamed (-200551)
Cept1	unnamed (-124954)
Cercam	unnamed (-23794)
Cerk	unnamed (+44485)
Ces4a	unnamed (+10853)
Cetn1	unnamed (+64582)
Cfap43	unnamed (+81450)
Cfap74	unnamed (+42051)
Cfc1	unnamed (-24471)
Cgn	unnamed (-34279)
Cgnl1	unnamed (-37613)
Chac2	unnamed (-183602), unnamed (-30711)
Chaf1b	unnamed (+35691)
Chd2	unnamed (-52919), unnamed (+131702), unnamed (+150123)
Chd3	unnamed (+23824)
Chd3os	unnamed (+5121)
Chd6	unnamed (-68329)
Chd7	unnamed (+174700), unnamed (+219906), unnamed (+230203), unnamed (+445295)
Chdh	unnamed (+120937)
Chia1	unnamed (-61000)
Chil5	unnamed (-19415)
Chit1	unnamed (-17887)
Chn1	unnamed (+177694)
Chrdl2	unnamed (+32527)
Chrm1	unnamed (+14774)
Chrm3	unnamed (-502419)
Chrna1	unnamed (-17314), unnamed (+18859)
Chrnb1	unnamed (+18671)
Chrnb3	unnamed (-6636)
Chst1	unnamed (-69949)
Chst11	unnamed (-85703)
Chst14	unnamed (+50777)
Chst3	unnamed (+85176), unnamed (+92984)
Chst8	unnamed (+137226), unnamed (+143628)
Cipc	unnamed (+27941)
Cisd2	unnamed (+12953)
Cited4	unnamed (-15888), unnamed (+31201), unnamed (+49918), unnamed (+65002)
Ciz1	unnamed (-34045)
Ckm	unnamed (+15270)
Cks2	unnamed (-49763), unnamed (-13468)
Clasp1	unnamed (+70022)
Clasrp	unnamed (-15371)
Clca3a1	unnamed (+22419)
Cldn14	unnamed (+89245)
Cldn18	unnamed (-20473)
Cldn24	unnamed (-72138)
Cldn3	unnamed (-18646), unnamed (+14560)
Cldn34b3	unnamed (-297707)
Cldn4	unnamed (-20634)
Cldn5	unnamed (-95759), unnamed (-90016), unnamed (-80471)
Clec2i	unnamed (-47460)
Clec2l	unnamed (+14077)
Clic4	unnamed (+66600), unnamed (+96948), unnamed (+143795)
Clic6	unnamed (+108543)
Clint1	unnamed (+75200)
Clip1	unnamed (+70434)
Clip2	unnamed (+29661), unnamed (+62825)
Clip4	unnamed (+87722)
Clmn	unnamed (+19125)
Clmp	unnamed (+45002), unnamed (+71414)
Clpsl2	unnamed (-10518)
Clstn1	unnamed (+62711)
Cluh	unnamed (-10882)
Clvs1	unnamed (-403252), unnamed (-358046), unnamed (-347749), unnamed (-132657)
Clybl	unnamed (+225390), unnamed (+252721), unnamed (+269929)
Cmc1	unnamed (-239784)
Cmc2	unnamed (+57716), unnamed (+120012)
Cmip	unnamed (-53058)
Cmtm5	unnamed (+14073)
Cmtm6	unnamed (+21929)
Cmtm7	unnamed (+28747)
Cnih3	unnamed (-94570)
Cnn3	unnamed (-103117), unnamed (-70863)
Cnot10	unnamed (-23859), unnamed (-10821)
Cnot4	unnamed (+144909)
Cnp	unnamed (-19217)
Cntn1	unnamed (-67687)
Cntn3	unnamed (+8974)
Cntnap4	unnamed (+284092)
Coa4	unnamed (+18769)
Coa5	unnamed (+28087)
Cog4	unnamed (+47838)
Cog6	unnamed (+616475)
Col13a1	unnamed (+42026)
Col14a1	unnamed (-186747), unnamed (-27904)
Col16a1	unnamed (-40064)
Col18a1	unnamed (-64110)
Col1a1	unnamed (-62204)
Col26a1	unnamed (+80067), unnamed (+168588)
Col4a2	unnamed (-124648), unnamed (-33367)
Col6a4	unnamed (-52471)
Col8a2	unnamed (-8169), unnamed (+14090)
Colgalt1	unnamed (+43893)
Commd3	unnamed (-85695), unnamed (-63280)
Commd7	unnamed (+39623)
Commd9	unnamed (+280414)
Copz2	unnamed (+12729)
Coq8a	unnamed (-30392)
Coro2b	unnamed (-13869), unnamed (+66734), unnamed (+115740), unnamed (+121832)
Cotl1	unnamed (+9339), unnamed (+41950)
Cox15	unnamed (+24416)
Cox20	unnamed (-42050)
Cox4i2	unnamed (+9259)
Cox6a1	unnamed (-23718)
Cox7a2l	unnamed (-33249)
Cox8b	unnamed (-7418)
Cpa2	unnamed (-14813)
